"plb0196_h","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1986","1-pers.-HH","329","1","1","1","2"
"No","1986","(Married) couple without C. ","862","1","1","1","2"
"No","1986","Couple + C. LE 16 ","1109","1","1","1","2"
"No","1986","Single parent ","221","1","1","1","2"
"No","1986","Couple + C. GT 16 ","933","1","1","1","2"
"No","1986","Couple + C. LE and GT 16","631","1","1","1","2"
"Yes","1986","1-pers.-HH","","","","","1"
"Yes","1986","(Married) couple without C. ","","","","","1"
"Yes","1986","Single parent ","","","","","1"
"Yes","1986","Couple + C. LE 16 ","","","","","1"
"Yes","1986","Couple + C. GT 16 ","","","","","1"
"Yes","1986","Couple + C. LE and GT 16","","","","","1"
"No","1987","1-pers.-HH","","","","","2"
"No","1987","(Married) couple without C. ","","","","","2"
"No","1987","Couple + C. LE 16 ","","","","","2"
"No","1987","Single parent ","","","","","2"
"No","1987","Couple + C. GT 16 ","","","","","2"
"No","1987","Couple + C. LE and GT 16","","","","","2"
"Yes","1987","1-pers.-HH","","","","","1"
"Yes","1987","(Married) couple without C. ","","","","","1"
"Yes","1987","Single parent ","","","","","1"
"Yes","1987","Couple + C. LE 16 ","","","","","1"
"Yes","1987","Couple + C. GT 16 ","","","","","1"
"Yes","1987","Couple + C. LE and GT 16","","","","","1"
"No","1988","1-pers.-HH","330","1","1","1","2"
"No","1988","(Married) couple without C. ","793","1","1","1","2"
"No","1988","Single parent ","214","1","1","1","2"
"No","1988","Couple + C. LE 16 ","979","1","1","1","2"
"No","1988","Couple + C. GT 16 ","960","1","1","1","2"
"No","1988","Couple + C. LE and GT 16","506","1","1","1","2"
"Yes","1988","1-pers.-HH","","","","","1"
"Yes","1988","(Married) couple without C. ","","","","","1"
"Yes","1988","Single parent ","","","","","1"
"Yes","1988","Couple + C. LE 16 ","","","","","1"
"Yes","1988","Couple + C. GT 16 ","","","","","1"
"Yes","1988","Couple + C. LE and GT 16","","","","","1"
"No","1989","1-pers.-HH","318","1","1","1","2"
"No","1989","(Married) couple without C. ","796","1","1","1","2"
"No","1989","Single parent ","212","1","1","1","2"
"No","1989","Couple + C. LE 16 ","952","1","1","1","2"
"No","1989","Couple + C. GT 16 ","888","1","1","1","2"
"No","1989","Couple + C. LE and GT 16","461","1","1","1","2"
"Yes","1989","1-pers.-HH","","","","","1"
"Yes","1989","(Married) couple without C. ","","","","","1"
"Yes","1989","Single parent ","","","","","1"
"Yes","1989","Couple + C. LE 16 ","","","","","1"
"Yes","1989","Couple + C. GT 16 ","","","","","1"
"Yes","1989","Couple + C. LE and GT 16","","","","","1"
"No","1990","1-pers.-HH","300","1","1","1","2"
"No","1990","(Married) couple without C. ","785","1","1","1","2"
"No","1990","Single parent ","199","1","1","1","2"
"No","1990","Couple + C. LE 16 ","942","1","1","1","2"
"No","1990","Couple + C. GT 16 ","837","1","1","1","2"
"No","1990","Couple + C. LE and GT 16","400","1","1","1","2"
"Yes","1990","1-pers.-HH","","","","","1"
"Yes","1990","(Married) couple without C. ","","","","","1"
"Yes","1990","Single parent ","","","","","1"
"Yes","1990","Couple + C. LE 16 ","","","","","1"
"Yes","1990","Couple + C. GT 16 ","","","","","1"
"Yes","1990","Couple + C. LE and GT 16","","","","","1"
