"plb0196_h","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1986","Hamburg","West Germany","94","1","1","1","2"
"No","1986","Schleswig-Holstein","West Germany","124","1","1","1","2"
"No","1986","Schleswig-Holstein","East Germany","","","","","2"
"No","1986","Hamburg","East Germany","","","","","2"
"No","1986","Lower Saxony","West Germany","398","1","1","1","2"
"No","1986","Lower Saxony","East Germany","","","","","2"
"No","1986","Bremen","West Germany","35","1","1","1","2"
"No","1986","Bremen","East Germany","","","","","2"
"No","1986","North Rhine-Westphalia","West Germany","1143","1","1","1","2"
"No","1986","North Rhine-Westphalia","East Germany","","","","","2"
"No","1986","Bavaria","West Germany","762","1","1","1","2"
"No","1986","Baden-Württemberg","West Germany","889","1","1","1","2"
"No","1986","Baden-Württemberg","East Germany","","","","","2"
"No","1986","Bavaria","East Germany","","","","","2"
"No","1986","Hesse","East Germany","","","","","2"
"No","1986","Rhineland-Palatinate,Saarland","West Germany","298","1","1","1","2"
"No","1986","Hesse","West Germany","425","1","1","1","2"
"No","1986","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"No","1986","Berlin","West Germany","162","1","1","1","2"
"No","1986","Berlin","East Germany","","","","","2"
"No","1986","Brandenburg","West Germany","","","","","2"
"No","1986","Brandenburg","East Germany","","","","","2"
"No","1986","Saxony","West Germany","","","","","2"
"No","1986","Saxony","East Germany","","","","","2"
"No","1986","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"No","1986","Mecklenburg-Western Pomerania","East Germany","","","","","2"
"No","1986","Saxony-Anhalt","West Germany","","","","","2"
"No","1986","Saxony-Anhalt","East Germany","","","","","2"
"No","1986","Thuringia","West Germany","","","","","2"
"No","1986","Thuringia","East Germany","","","","","2"
"Yes","1986","Schleswig-Holstein","West Germany","","","","","1"
"Yes","1986","Schleswig-Holstein","East Germany","","","","","1"
"Yes","1986","Hamburg","West Germany","","","","","1"
"Yes","1986","Hamburg","East Germany","","","","","1"
"Yes","1986","Lower Saxony","West Germany","","","","","1"
"Yes","1986","Lower Saxony","East Germany","","","","","1"
"Yes","1986","Bremen","West Germany","","","","","1"
"Yes","1986","Bremen","East Germany","","","","","1"
"Yes","1986","North Rhine-Westphalia","West Germany","","","","","1"
"Yes","1986","North Rhine-Westphalia","East Germany","","","","","1"
"Yes","1986","Hesse","West Germany","","","","","1"
"Yes","1986","Hesse","East Germany","","","","","1"
"Yes","1986","Rhineland-Palatinate,Saarland","West Germany","","","","","1"
"Yes","1986","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Yes","1986","Baden-Württemberg","West Germany","","","","","1"
"Yes","1986","Baden-Württemberg","East Germany","","","","","1"
"Yes","1986","Bavaria","West Germany","","","","","1"
"Yes","1986","Bavaria","East Germany","","","","","1"
"Yes","1986","Berlin","West Germany","","","","","1"
"Yes","1986","Berlin","East Germany","","","","","1"
"Yes","1986","Brandenburg","West Germany","","","","","1"
"Yes","1986","Brandenburg","East Germany","","","","","1"
"Yes","1986","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Yes","1986","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Yes","1986","Saxony","West Germany","","","","","1"
"Yes","1986","Saxony","East Germany","","","","","1"
"Yes","1986","Saxony-Anhalt","West Germany","","","","","1"
"Yes","1986","Saxony-Anhalt","East Germany","","","","","1"
"Yes","1986","Thuringia","West Germany","","","","","1"
"Yes","1986","Thuringia","East Germany","","","","","1"
"No","1987","Hamburg","West Germany","","","","","2"
"No","1987","Schleswig-Holstein","West Germany","","","","","2"
"No","1987","Schleswig-Holstein","East Germany","","","","","2"
"No","1987","Hamburg","East Germany","","","","","2"
"No","1987","Lower Saxony","West Germany","","","","","2"
"No","1987","Lower Saxony","East Germany","","","","","2"
"No","1987","Bremen","West Germany","","","","","2"
"No","1987","Bremen","East Germany","","","","","2"
"No","1987","North Rhine-Westphalia","East Germany","","","","","2"
"No","1987","North Rhine-Westphalia","West Germany","","","","","2"
