"plb0196_h","year","education","n","percent","lower_confidence","upper_confidence"
"Yes","1986","lower secondary degree","","","",""
"Yes","1986","secondary school degree","","","",""
"Yes","1986","college entrance qualification","","","",""
"Yes","1986","Other degree","","","",""
"Yes","1986","no degree/no degree yet","","","",""
"No","1986","lower secondary degree","2007","1","1","1"
"No","1986","secondary school degree","743","1","1","1"
"No","1986","college entrance qualification","462","1","1","1"
"No","1986","Other degree","651","1","1","1"
"No","1986","no degree/no degree yet","395","1","1","1"
"Yes","1987","lower secondary degree","","","",""
"Yes","1987","secondary school degree","","","",""
"Yes","1987","college entrance qualification","","","",""
"Yes","1987","Other degree","","","",""
"Yes","1987","no degree/no degree yet","","","",""
"No","1987","lower secondary degree","","","",""
"No","1987","secondary school degree","","","",""
"No","1987","college entrance qualification","","","",""
"No","1987","Other degree","","","",""
"No","1987","no degree/no degree yet","","","",""
"Yes","1988","lower secondary degree","","","",""
"Yes","1988","secondary school degree","","","",""
"Yes","1988","college entrance qualification","","","",""
"Yes","1988","Other degree","","","",""
"Yes","1988","no degree/no degree yet","","","",""
"No","1988","lower secondary degree","1843","1","1","1"
"No","1988","secondary school degree","748","1","1","1"
"No","1988","college entrance qualification","441","1","1","1"
"No","1988","Other degree","577","1","1","1"
"No","1988","no degree/no degree yet","324","1","1","1"
"Yes","1989","lower secondary degree","","","",""
"Yes","1989","secondary school degree","","","",""
"Yes","1989","college entrance qualification","","","",""
"Yes","1989","Other degree","","","",""
"Yes","1989","no degree/no degree yet","","","",""
"No","1989","lower secondary degree","1778","1","1","1"
"No","1989","secondary school degree","697","1","1","1"
"No","1989","college entrance qualification","441","1","1","1"
"No","1989","Other degree","546","1","1","1"
"No","1989","no degree/no degree yet","307","1","1","1"
"Yes","1990","lower secondary degree","","","",""
"Yes","1990","secondary school degree","","","",""
"Yes","1990","college entrance qualification","","","",""
"Yes","1990","Other degree","","","",""
"Yes","1990","no degree/no degree yet","","","",""
"No","1990","lower secondary degree","1685","1","1","1"
"No","1990","secondary school degree","686","1","1","1"
"No","1990","college entrance qualification","420","1","1","1"
"No","1990","Other degree","523","1","1","1"
"No","1990","no degree/no degree yet","297","1","1","1"
"Yes","1991","lower secondary degree","","","",""
"Yes","1991","secondary school degree","","","",""
"Yes","1991","college entrance qualification","","","",""
"Yes","1991","Other degree","","","",""
"Yes","1991","no degree/no degree yet","","","",""
"No","1991","lower secondary degree","2312","1","1","1"
"No","1991","secondary school degree","1714","1","1","1"
"No","1991","college entrance qualification","666","1","1","1"
"No","1991","Other degree","544","1","1","1"
"No","1991","no degree/no degree yet","302","1","1","1"
"Yes","1992","lower secondary degree","","","",""
"Yes","1992","secondary school degree","","","",""
"Yes","1992","college entrance qualification","","","",""
"Yes","1992","Other degree","","","",""
"Yes","1992","no degree/no degree yet","","","",""
"No","1992","lower secondary degree","2072","1","1","1"
