"plb0196_h","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Full Time","(0) in school","","","",""
"Yes","1986","Full Time","(1a) inadequately completed","","","",""
"Yes","1986","Full Time","(1b) general elementary school","","","",""
"Yes","1986","Full Time","(1c) basic vocational qualification","","","",""
"Yes","1986","Full Time","(2b) intermediate general qualification","","","",""
"Yes","1986","Full Time","(2a) intermediate vocational","","","",""
"Yes","1986","Full Time","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Full Time","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Full Time","(3a) lower tertiary education","","","",""
"Yes","1986","Full Time","(3b) higher tertiary education","","","",""
"Yes","1986","Part Time","(0) in school","","","",""
"Yes","1986","Part Time","(1a) inadequately completed","","","",""
"Yes","1986","Part Time","(1b) general elementary school","","","",""
"Yes","1986","Part Time","(1c) basic vocational qualification","","","",""
"Yes","1986","Part Time","(2b) intermediate general qualification","","","",""
"Yes","1986","Part Time","(2a) intermediate vocational","","","",""
"Yes","1986","Part Time","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Part Time","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Part Time","(3a) lower tertiary education","","","",""
"Yes","1986","Part Time","(3b) higher tertiary education","","","",""
"Yes","1986","Not Working","(0) in school","","","",""
"Yes","1986","Not Working","(1a) inadequately completed","","","",""
"Yes","1986","Not Working","(1b) general elementary school","","","",""
"Yes","1986","Not Working","(1c) basic vocational qualification","","","",""
"Yes","1986","Not Working","(2b) intermediate general qualification","","","",""
"Yes","1986","Not Working","(2a) intermediate vocational","","","",""
"Yes","1986","Not Working","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Not Working","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Not Working","(3a) lower tertiary education","","","",""
"Yes","1986","Not Working","(3b) higher tertiary education","","","",""
"No","1986","Full Time","(0) in school","","","",""
"No","1986","Full Time","(1a) inadequately completed","315","1","1","1"
"No","1986","Full Time","(1b) general elementary school","632","1","1","1"
"No","1986","Full Time","(1c) basic vocational qualification","1197","1","1","1"
"No","1986","Full Time","(2b) intermediate general qualification","95","1","1","1"
"No","1986","Full Time","(2a) intermediate vocational","385","1","1","1"
"No","1986","Full Time","(2c_gen) general maturity certificate","54","1","1","1"
"No","1986","Full Time","(2c_voc) vocational maturity certificate","121","1","1","1"
"No","1986","Full Time","(3a) lower tertiary education","71","1","1","1"
"No","1986","Full Time","(3b) higher tertiary education","160","1","1","1"
"No","1986","Part Time","(0) in school","1","","",""
"No","1986","Part Time","(1a) inadequately completed","67","1","1","1"
"No","1986","Part Time","(1b) general elementary school","287","1","1","1"
"No","1986","Part Time","(1c) basic vocational qualification","346","1","1","1"
"No","1986","Part Time","(2b) intermediate general qualification","73","1","1","1"
"No","1986","Part Time","(2a) intermediate vocational","146","1","1","1"
"No","1986","Part Time","(2c_gen) general maturity certificate","68","1","1","1"
"No","1986","Part Time","(2c_voc) vocational maturity certificate","38","1","1","1"
"No","1986","Part Time","(3a) lower tertiary education","24","","",""
"No","1986","Part Time","(3b) higher tertiary education","63","1","1","1"
"No","1986","Not Working","(0) in school","4","","",""
"No","1986","Not Working","(1a) inadequately completed","9","","",""
"No","1986","Not Working","(1b) general elementary school","32","1","1","1"
"No","1986","Not Working","(1c) basic vocational qualification","38","1","1","1"
"No","1986","Not Working","(2b) intermediate general qualification","4","","",""
"No","1986","Not Working","(2a) intermediate vocational","12","","",""
"No","1986","Not Working","(2c_gen) general maturity certificate","9","","",""
"No","1986","Not Working","(2c_voc) vocational maturity certificate","4","","",""
"No","1986","Not Working","(3a) lower tertiary education","2","","",""
"No","1986","Not Working","(3b) higher tertiary education","4","","",""
"Yes","1987","Full Time","(0) in school","","","",""
"Yes","1987","Full Time","(1a) inadequately completed","","","",""
"Yes","1987","Full Time","(1b) general elementary school","","","",""
"Yes","1987","Full Time","(1c) basic vocational qualification","","","",""
"Yes","1987","Full Time","(2b) intermediate general qualification","","","",""
"Yes","1987","Full Time","(2a) intermediate vocational","","","",""
"Yes","1987","Full Time","(2c_gen) general maturity certificate","","","",""
"Yes","1987","Full Time","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","Full Time","(3a) lower tertiary education","","","",""
"Yes","1987","Full Time","(3b) higher tertiary education","","","",""
