"plj0046","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","lower secondary degree","in school","","","",""
"Big worries","1999","lower secondary degree","inadequately","","","",""
"Big worries","1999","lower secondary degree","general elemantary","604","0.420166300396232","0.39553839579192","0.444794205000544"
"Big worries","1999","lower secondary degree","middle vocational","1525","0.441613158690811","0.425275730873081","0.457950586508542"
"Big worries","1999","lower secondary degree","vocational + Abi","","","",""
"Big worries","1999","lower secondary degree","higher vocational","109","0.377594445506001","0.320401419062244","0.434787471949758"
"Big worries","1999","lower secondary degree","higher education","47","0.430010416186595","0.342160546186383","0.517860286186807"
"Big worries","1999","secondary school degree","in school","","","",""
"Big worries","1999","secondary school degree","inadequately","","","",""
"Big worries","1999","secondary school degree","general elemantary","184","0.35207556425648","0.311489924475618","0.392661204037342"
"Big worries","1999","secondary school degree","middle vocational","964","0.387791136411976","0.368544589950674","0.407037682873278"
"Big worries","1999","secondary school degree","vocational + Abi","","","",""
"Big worries","1999","secondary school degree","higher vocational","139","0.367121150115495","0.317328890612813","0.416913409618176"
"Big worries","1999","secondary school degree","higher education","156","0.33084272085144","0.289224621734992","0.372460819967887"
"Big worries","1999","college entrance qualification","in school","","","",""
"Big worries","1999","college entrance qualification","inadequately","","","",""
"Big worries","1999","college entrance qualification","general elemantary","","","",""
"Big worries","1999","college entrance qualification","middle vocational","76","0.171298990445311","0.135093222680242","0.20750475821038"
"Big worries","1999","college entrance qualification","vocational + Abi","104","0.298556508572782","0.254097425352724","0.34301559179284"
"Big worries","1999","college entrance qualification","higher vocational","46","0.293396659681905","0.223065046537176","0.363728272826634"
"Big worries","1999","college entrance qualification","higher education","238","0.201871000046181","0.179574488072302","0.224167512020061"
"Big worries","1999","Other degree","in school","","","",""
"Big worries","1999","Other degree","inadequately","","","",""
"Big worries","1999","Other degree","general elemantary","74","0.217786268207094","0.175501348250057","0.260071188164132"
"Big worries","1999","Other degree","middle vocational","91","0.251959198728346","0.206861867215395","0.297056530241297"
"Big worries","1999","Other degree","vocational + Abi","","","",""
"Big worries","1999","Other degree","higher vocational","","","",""
"Big worries","1999","Other degree","higher education","","","",""
"Big worries","1999","no degree/no degree yet","in school","79","0.261835120852275","0.213285767134826","0.310384474569724"
"Big worries","1999","no degree/no degree yet","inadequately","91","0.279530336780199","0.234703298138725","0.324357375421673"
"Big worries","1999","no degree/no degree yet","general elemantary","","","",""
"Big worries","1999","no degree/no degree yet","middle vocational","","","",""
