"plj0046","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","Employed","(0) in school","15","","",""
"Big worries","1999","Employed","(1a) inadequately completed","66","0.354537148951262","0.292714063922539","0.416360233979984"
"Big worries","1999","Employed","(1b) general elementary school","288","0.371436608164594","0.338838397505429","0.404034818823759"
"Big worries","1999","Employed","(1c) basic vocational qualification","1004","0.423330399518464","0.403600133163302","0.443060665873625"
"Big worries","1999","Employed","(2a) intermediate vocational","908","0.38625529071088","0.366225968010201","0.406284613411558"
"Big worries","1999","Employed","(2b) intermediate general qualification","130","0.382856928314096","0.332574985365765","0.433138871262428"
"Big worries","1999","Employed","(2c_gen) general maturity certificate","54","0.177401758373265","0.133051259480615","0.221752257265915"
"Big worries","1999","Employed","(2c_voc) vocational maturity certificate","139","0.265609097893665","0.228043876917708","0.303174318869622"
"Big worries","1999","Employed","(3a) lower tertiary education","188","0.224213420924709","0.193917487698308","0.25450935415111"
"Big worries","1999","Employed","(3b) higher tertiary education","137","0.178230845481832","0.151907782193955","0.204553908769708"
"Big worries","1999","Not Employed","(0) in school","64","0.233172074822109","0.182920362188296","0.283423787455923"
"Big worries","1999","Not Employed","(1a) inadequately completed","58","0.29882059278153","0.241029699474389","0.35661148608867"
"Big worries","1999","Not Employed","(1b) general elementary school","400","0.412333394124712","0.383203792985944","0.441462995263481"
"Big worries","1999","Not Employed","(1c) basic vocational qualification","694","0.431970406683735","0.408374748795097","0.455566064572374"
"Big worries","1999","Not Employed","(2a) intermediate vocational","210","0.386998028807579","0.347187359358348","0.426808698256809"
"Big worries","1999","Not Employed","(2b) intermediate general qualification","55","0.30318276437587","0.23508375990552","0.371281768846221"
"Big worries","1999","Not Employed","(2c_gen) general maturity certificate","35","0.162918739413616","0.110683113016374","0.215154365810858"
"Big worries","1999","Not Employed","(2c_voc) vocational maturity certificate","37","0.33928511363952","0.26141095503835","0.417159272240689"
"Big worries","1999","Not Employed","(3a) lower tertiary education","84","0.408118928614349","0.343899353699445","0.472338503529252"
"Big worries","1999","Not Employed","(3b) higher tertiary education","49","0.277243566675457","0.215359793732306","0.339127339618608"
"No worries","1999","Employed","(0) in school","10","","",""
"No worries","1999","Employed","(1a) inadequately completed","64","0.290349704643161","0.231686327455276","0.349013081831046"
"No worries","1999","Employed","(1b) general elementary school","175","0.195957546465662","0.16917836153806","0.222736731393264"
