"plj0046","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","college entrance qualification","(Married) couple without C. ","145","0.256524251645623","0.223206649238618","0.289841854052628"
"Big worries","1999","college entrance qualification","1-pers.-HH","61","0.216939651421227","0.171424090438401","0.262455212404054"
"Big worries","1999","college entrance qualification","Couple + C. GT 16 ","87","0.247162897132611","0.203962190561595","0.290363603703627"
"Big worries","1999","college entrance qualification","Couple + C. LE 16 ","108","0.199438647574781","0.166195390357807","0.232681904791755"
"Big worries","1999","college entrance qualification","Couple + C. LE and GT 16","35","0.214739741334331","0.149024594339475","0.280454888329188"
"Big worries","1999","college entrance qualification","Single parent ","18","","",""
"Big worries","1999","lower secondary degree","(Married) couple without C. ","950","0.461385463671362","0.440049126554118","0.482721800788605"
"Big worries","1999","lower secondary degree","1-pers.-HH","312","0.400090119573775","0.366475752972166","0.433704486175384"
"Big worries","1999","lower secondary degree","Couple + C. GT 16 ","355","0.438707740063889","0.405523361878293","0.471892118249484"
"Big worries","1999","lower secondary degree","Couple + C. LE 16 ","350","0.396261600447078","0.364809067335314","0.427714133558842"
"Big worries","1999","lower secondary degree","Couple + C. LE and GT 16","117","0.398906238034207","0.343951556464497","0.453860919603918"
"Big worries","1999","lower secondary degree","Single parent ","118","0.443929812712032","0.385419803269627","0.502439822154438"
"Big worries","1999","no degree/no degree yet","(Married) couple without C. ","28","","",""
"Big worries","1999","no degree/no degree yet","1-pers.-HH","8","","",""
"Big worries","1999","no degree/no degree yet","Couple + C. GT 16 ","67","0.236361639857323","0.186148878009482","0.286574401705164"
"Big worries","1999","no degree/no degree yet","Couple + C. LE 16 ","25","","",""
"Big worries","1999","no degree/no degree yet","Couple + C. LE and GT 16","42","0.239319520068871","0.176814949886632","0.301824090251109"
"Big worries","1999","no degree/no degree yet","Single parent ","17","","",""
"Big worries","1999","Other degree","(Married) couple without C. ","58","0.258241962085563","0.201431907772759","0.315052016398368"
"Big worries","1999","Other degree","1-pers.-HH","15","","",""
"Big worries","1999","Other degree","Couple + C. GT 16 ","54","0.23043214391414","0.174403099692933","0.286461188135348"
"Big worries","1999","Other degree","Couple + C. LE 16 ","50","0.21046513715687","0.157897574599298","0.263032699714442"
"Big worries","1999","Other degree","Couple + C. LE and GT 16","20","","",""
"Big worries","1999","Other degree","Single parent ","5","","",""
"Big worries","1999","secondary school degree","(Married) couple without C. ","399","0.433831147677289","0.402431449500282","0.465230845854297"
"Big worries","1999","secondary school degree","1-pers.-HH","142","0.363889944705596","0.31776762859681","0.410012260814383"
"Big worries","1999","secondary school degree","Couple + C. GT 16 ","253","0.375343590515323","0.33873368931663","0.411953491714016"
"Big worries","1999","secondary school degree","Couple + C. LE 16 ","407","0.338894556955782","0.31128440586195","0.366504708049613"
"Big worries","1999","secondary school degree","Couple + C. LE and GT 16","140","0.341716511776177","0.293776997253112","0.389656026299242"
"Big worries","1999","secondary school degree","Single parent ","76","0.345109333516762","0.282431394556164","0.407787272477359"
"No worries","1999","college entrance qualification","(Married) couple without C. ","220","0.315922127578096","0.280455579806251","0.351388675349942"
"No worries","1999","college entrance qualification","1-pers.-HH","117","0.357080961448035","0.30416894590594","0.40999297699013"
"No worries","1999","college entrance qualification","Couple + C. GT 16 ","128","0.314781065796057","0.268268780071965","0.361293351520149"
