"plj0046","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1999","direct migration background","Female","264","0.265399140899658","0.239317800710593","0.291480481088723","1"
"Big worries","1999","direct migration background","Male","265","0.256474312242742","0.230853911449663","0.28209471303582","1"
"Big worries","1999","indirect migration background","Female","82","0.311892035808268","0.259469515278788","0.364314556337747","1"
"Big worries","1999","indirect migration background","Male","66","0.247479304290473","0.199205939583362","0.295752668997585","1"
"Big worries","1999","no migration background","Female","2021","0.372866670796319","0.360292121726296","0.385441219866342","1"
"Big worries","1999","no migration background","Male","2033","0.388401536037288","0.375158278019853","0.401644794054724","1"
"No worries","1999","indirect migration background","Female","86","0.270691385340312","0.220413112222481","0.320969658458143","3"
"No worries","1999","indirect migration background","Male","88","0.293314482722725","0.242386232809768","0.344242732635683","3"
"No worries","1999","direct migration background","Male","333","0.303511165072018","0.276536229935687","0.330486100208348","3"
"No worries","1999","no migration background","Male","912","0.176012982304979","0.165665046794988","0.18636091781497","3"
"No worries","1999","direct migration background","Female","321","0.271547671318038","0.245276584422325","0.297818758213751","3"
"No worries","1999","no migration background","Female","908","0.155048195459466","0.145636128172318","0.164460262746615","3"
"Some worries","1999","direct migration background","Male","518","0.440014522685241","0.41089140393257","0.469137641437912","2"
"Some worries","1999","indirect migration background","Female","132","0.41741657885142","0.361614372394971","0.47321878530787","2"
"Some worries","1999","no migration background","Male","2258","0.435585481657733","0.42211270953165","0.449058253783816","2"
"Some worries","1999","indirect migration background","Male","153","0.459206212986801","0.403462148972596","0.514950277001007","2"
"Some worries","1999","direct migration background","Female","516","0.463053187782304","0.433599783075363","0.492506592489244","2"
"Some worries","1999","no migration background","Female","2752","0.472085133744214","0.4591035462545","0.485066721233929","2"
"Big worries","2000","direct migration background","Female","296","0.178166668545176","0.159819672330711","0.196513664759642","1"
"Big worries","2000","direct migration background","Male","284","0.18433460371473","0.165435007094459","0.203234200335001","1"
"Big worries","2000","indirect migration background","Female","72","0.18660053614011","0.14902705362485","0.22417401865537","1"
"Big worries","2000","indirect migration background","Male","69","0.200007141912457","0.161001878484544","0.23901240534037","1"
"Big worries","2000","no migration background","Female","3164","0.309473027902358","0.300576969455413","0.318369086349302","1"
"Big worries","2000","no migration background","Male","3187","0.332092764934149","0.322622738026777","0.34156279184152","1"
"No worries","2000","indirect migration background","Female","131","0.337399833829375","0.291799159219443","0.383000508439307","3"
"No worries","2000","indirect migration background","Male","166","0.382128836588315","0.334747066845085","0.429510606331545","3"
"No worries","2000","direct migration background","Male","636","0.405692478667423","0.381759476924568","0.429625480410279","3"
"No worries","2000","no migration background","Male","2165","0.237023821529179","0.228472860654579","0.245574782403778","3"
"No worries","2000","direct migration background","Female","606","0.36943164995153","0.346290070330805","0.392573229572256","3"
"No worries","2000","no migration background","Female","2216","0.213372234326797","0.205488182139087","0.221256286514507","3"
"Some worries","2000","direct migration background","Male","697","0.409972917617847","0.386000786825972","0.433945048409721","2"
"Some worries","2000","indirect migration background","Female","210","0.475999630030515","0.427833453883415","0.524165806177614","2"
"Some worries","2000","no migration background","Male","4149","0.430883413536673","0.420926059662603","0.440840767410743","2"
"Some worries","2000","direct migration background","Female","769","0.452401681503293","0.428537143883378","0.476266219123208","2"
"Some worries","2000","indirect migration background","Male","169","0.417864021499228","0.369770440108438","0.465957602890018","2"
"Some worries","2000","no migration background","Female","4993","0.477154737770845","0.467542774319482","0.486766701222208","2"
"Big worries","2001","direct migration background","Female","227","0.151954433006287","0.133678049165323","0.170230816847251","1"
