"plj0046","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","direct migration background","West Germany","487","0.251366118886281","0.232843434268507","0.269888803504055"
"Big worries","1999","direct migration background","East Germany","42","0.421685530647761","0.329401165846922","0.5139698954486"
"Big worries","1999","indirect migration background","West Germany","140","0.273336148926031","0.237221327507672","0.30945097034439"
"Big worries","1999","indirect migration background","East Germany","","","",""
"Big worries","1999","no migration background","West Germany","2647","0.378399091089261","0.367212175659774","0.389586006518749"
"Big worries","1999","no migration background","East Germany","1407","0.387417721070662","0.371643703720816","0.403191738420509"
"No worries","1999","direct migration background","West Germany","632","0.292722028964855","0.27329355935121","0.312150498578501"
"No worries","1999","direct migration background","East Germany","","","",""
"No worries","1999","indirect migration background","West Germany","170","0.28677883392679","0.250130366595347","0.323427301258233"
"No worries","1999","indirect migration background","East Germany","","","",""
"No worries","1999","no migration background","West Germany","1272","0.169551248786902","0.160895863461285","0.17820663411252"
"No worries","1999","no migration background","East Germany","548","0.149055318024724","0.137523580189116","0.160587055860331"
"Some worries","1999","direct migration background","West Germany","988","0.455911852148864","0.434645603018622","0.477178101279105"
"Some worries","1999","direct migration background","East Germany","46","0.375672922309138","0.28516996291861","0.466175881699666"
"Some worries","1999","indirect migration background","West Germany","275","0.439885017147179","0.399661657892267","0.480108376402091"
"Some worries","1999","indirect migration background","East Germany","","","",""
"Some worries","1999","no migration background","West Germany","3301","0.452049660123836","0.440569626340937","0.463529693906735"
"Some worries","1999","no migration background","East Germany","1709","0.463526960904614","0.447380334049649","0.479673587759579"
"Big worries","2000","direct migration background","West Germany","538","0.175584242665484","0.162270298140896","0.188898187190073"
"Big worries","2000","direct migration background","East Germany","42","0.293442357673787","0.220815907355276","0.366068807992297"
"Big worries","2000","indirect migration background","West Germany","135","0.191798178877107","0.164360839115931","0.219235518638283"
"Big worries","2000","indirect migration background","East Germany","","","",""
"Big worries","2000","no migration background","West Germany","4459","0.31576082330787","0.308123987158156","0.323397659457584"
"Big worries","2000","no migration background","East Germany","1892","0.337038284867945","0.324705052653807","0.349371517082083"
"No worries","2000","direct migration background","West Germany","1194","0.391145315706166","0.374068113362688","0.408222518049643"
"No worries","2000","direct migration background","East Germany","48","0.309804047475938","0.236049404488417","0.383558690463459"
"No worries","2000","indirect migration background","West Germany","295","0.366688335136964","0.333105516794722","0.400271153479205"
"No worries","2000","indirect migration background","East Germany","","","",""
"No worries","2000","no migration background","West Germany","3238","0.228641551400455","0.221741758091381","0.23554134470953"
"No worries","2000","no migration background","East Germany","1143","0.210866004607727","0.200222816768261","0.221509192447193"
"Some worries","2000","direct migration background","West Germany","1405","0.43327044162835","0.415930074234018","0.450610809022682"
"Some worries","2000","direct migration background","East Germany","61","0.396753594850275","0.31872254970695","0.474784639993601"
"Some worries","2000","indirect migration background","West Germany","361","0.44151348598593","0.406908539551736","0.476118432420124"
"Some worries","2000","indirect migration background","East Germany","","","",""
"Some worries","2000","no migration background","West Germany","6534","0.455597625291675","0.447415217629298","0.463780032954052"
"Some worries","2000","no migration background","East Germany","2608","0.452095710524328","0.439110152733257","0.465081268315399"
"Big worries","2001","direct migration background","West Germany","438","0.152294013814069","0.138940005629772","0.165648021998366"
"Big worries","2001","direct migration background","East Germany","","","",""
"Big worries","2001","indirect migration background","West Germany","125","0.171946839853506","0.144814959524159","0.199078720182852"
"Big worries","2001","indirect migration background","East Germany","","","",""
"Big worries","2001","no migration background","West Germany","3239","0.252962227254886","0.245457162454102","0.260467292055669"
"Big worries","2001","no migration background","East Germany","1505","0.285122745631746","0.272937034544878","0.297308456718615"
"No worries","2001","direct migration background","West Germany","1070","0.405912463845646","0.387661365279208","0.424163562412083"
"No worries","2001","direct migration background","East Germany","38","0.298264722813486","0.217414143646395","0.379115301980576"
"No worries","2001","indirect migration background","West Germany","292","0.401037971357979","0.36579714553113","0.436278797184827"
"No worries","2001","indirect migration background","East Germany","","","",""
"No worries","2001","no migration background","West Germany","3465","0.265346298283801","0.257723697422294","0.272968899145308"
"No worries","2001","no migration background","East Germany","1266","0.250010220550485","0.238322609254666","0.261697831846304"
"Some worries","2001","direct migration background","West Germany","1273","0.441793522340285","0.423336794659464","0.460250250021106"
"Some worries","2001","direct migration background","East Germany","56","0.462781181847166","0.37466432663915","0.550898037055182"
"Some worries","2001","indirect migration background","West Germany","326","0.427015188788515","0.391448216174478","0.462582161402552"
"Some worries","2001","indirect migration background","East Germany","","","",""
"Some worries","2001","no migration background","West Germany","6184","0.481691474461314","0.473064987237718","0.490317961684909"
"Some worries","2001","no migration background","East Germany","2502","0.464867033817768","0.451404883582195","0.478329184053342"
"Big worries","2002","direct migration background","West Germany","472","0.185794648648661","0.171025190669693","0.200564106627628"
"Big worries","2002","direct migration background","East Germany","37","0.336215328619336","0.249495576101331","0.42293508113734"
"Big worries","2002","indirect migration background","West Germany","115","0.176613809158291","0.14934022335167","0.203887394964913"
"Big worries","2002","indirect migration background","East Germany","","","",""
"Big worries","2002","no migration background","West Germany","3898","0.304927942790978","0.29733682194501","0.312519063636946"
"Big worries","2002","no migration background","East Germany","1658","0.328630271226074","0.315955785168777","0.341304757283372"
"No worries","2002","direct migration background","West Germany","899","0.342423929061478","0.324404707126972","0.360443150995985"
"No worries","2002","direct migration background","East Germany","30","0.273748075268667","0.191898797666698","0.355597352870635"
"No worries","2002","indirect migration background","West Germany","287","0.346408730317175","0.312377656101905","0.380439804532444"
"No worries","2002","indirect migration background","East Germany","","","",""
"No worries","2002","no migration background","West Germany","3555","0.224956564038062","0.218071551512223","0.2318415765639"
"No worries","2002","no migration background","East Germany","1104","0.202876937342365","0.192025813379765","0.213728061304966"
"Some worries","2002","direct migration background","West Germany","1293","0.471781422289861","0.452824918842676","0.490737925737046"
"Some worries","2002","direct migration background","East Germany","47","0.390036596111998","0.300500071346915","0.479573120877081"
"Some worries","2002","indirect migration background","West Germany","349","0.476977460524534","0.441255338180053","0.512699582869015"
"Some worries","2002","indirect migration background","East Germany","","","",""
"Some worries","2002","no migration background","West Germany","6676","0.470115493170961","0.461885769157905","0.478345217184016"
"Some worries","2002","no migration background","East Germany","2514","0.46849279143156","0.455027934800962","0.481957648062159"
"Big worries","2003","direct migration background","West Germany","408","0.163478965910951","0.148974284517644","0.177983647304258"
"Big worries","2003","direct migration background","East Germany","","","",""
"Big worries","2003","indirect migration background","West Germany","121","0.21249809327923","0.183083895389202","0.241912291169258"
"Big worries","2003","indirect migration background","East Germany","","","",""
"Big worries","2003","no migration background","West Germany","3548","0.289918972749312","0.282272878993181","0.297565066505443"
"Big worries","2003","no migration background","East Germany","1424","0.28751595447968","0.275221350181943","0.299810558777418"
"No worries","2003","direct migration background","West Germany","928","0.37657306706755","0.35756857670017","0.39557755743493"
"No worries","2003","direct migration background","East Germany","30","0.257636478361376","0.173986577572476","0.341286379150277"
"No worries","2003","indirect migration background","West Germany","278","0.362060425347305","0.327503588304534","0.396617262390075"
"No worries","2003","indirect migration background","East Germany","","","",""
"No worries","2003","no migration background","West Germany","3729","0.245800091541315","0.238544353347708","0.253055829734921"
"No worries","2003","no migration background","East Germany","1236","0.226241485012767","0.214876081713746","0.237606888311787"
"Some worries","2003","direct migration background","West Germany","1161","0.459947967021499","0.440399577946154","0.479496356096845"
"Some worries","2003","direct migration background","East Germany","47","0.427310767775478","0.332690348396714","0.521931187154242"
"Some worries","2003","indirect migration background","West Germany","344","0.425441481373465","0.389891388941037","0.460991573805893"
"Some worries","2003","indirect migration background","East Germany","","","",""
"Some worries","2003","no migration background","West Germany","6250","0.464280935709373","0.455876543290563","0.472685328128183"
"Some worries","2003","no migration background","East Germany","2546","0.486242560507553","0.472665631226942","0.499819489788163"
"Big worries","2004","direct migration background","West Germany","504","0.218857245864452","0.202322129383262","0.235392362345642"
"Big worries","2004","direct migration background","East Germany","31","0.299696293822062","0.209905463103721","0.389487124540403"
"Big worries","2004","indirect migration background","West Germany","182","0.283652345474767","0.251751255632466","0.315553435317068"
