"plj0046","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1999","general elemantary","Female","566","0.401840714552463","0.377543017674732","0.426138411430194","1"
"Big worries","1999","general elemantary","Male","296","0.363319449742033","0.33148822054482","0.395150678939246","1"
"Big worries","1999","higher education","Female","187","0.219864855071526","0.192517019165746","0.247212690977307","1"
"Big worries","1999","higher education","Male","271","0.243433764306591","0.217898103136931","0.268969425476252","1"
"Big worries","1999","higher vocational","Female","104","0.329254857254772","0.278551585458648","0.379958129050895","1"
"Big worries","1999","higher vocational","Male","195","0.369887425346872","0.3270101216435","0.412764729050245","1"
"Big worries","1999","in school","Female","34","0.250410407545832","0.183278952377166","0.317541862714499","1"
"Big worries","1999","in school","Male","47","0.285634769385147","0.214976344022398","0.356293194747897","1"
"Big worries","1999","inadequately","Female","59","0.26633149748736","0.211426785180744","0.321236209793975","1"
"Big worries","1999","inadequately","Male","43","0.310941700915377","0.242165063979526","0.379718337851227","1"
"Big worries","1999","middle vocational","Female","1315","0.386395664497951","0.370203924697997","0.402587404297906","1"
"Big worries","1999","middle vocational","Male","1401","0.415909126799473","0.399521724253819","0.432296529345126","1"
"Big worries","1999","vocational + Abi","Female","63","0.274691926625742","0.221450410704331","0.327933442547153","1"
"Big worries","1999","vocational + Abi","Male","67","0.285980738567327","0.228811050101773","0.343150427032881","1"
"No worries","1999","middle vocational","Female","492","0.135943469791801","0.124546656391624","0.147340283191977","3"
"No worries","1999","general elemantary","Female","267","0.14941959282819","0.131751438735525","0.167087746920854","3"
"No worries","1999","higher vocational","Male","67","0.166682740368885","0.133582273842515","0.199783206895255","3"
"No worries","1999","general elemantary","Male","195","0.199075641657996","0.172648322634229","0.225502960681763","3"
"No worries","1999","higher education","Female","234","0.287282772932831","0.25740325702638","0.317162288839282","3"
"No worries","1999","higher education","Male","350","0.328652892504412","0.300703297939118","0.356602487069706","3"
"No worries","1999","higher vocational","Female","71","0.20437153702827","0.160864803051805","0.247878271004736","3"
"No worries","1999","in school","Female","53","0.305414292472006","0.234047578667135","0.376781006276877","3"
"No worries","1999","in school","Male","43","0.292919376105772","0.221731377499217","0.364107374712327","3"
"No worries","1999","inadequately","Female","82","0.310083776249161","0.252634294074583","0.367533258423738","3"
"No worries","1999","inadequately","Male","45","0.258157643147821","0.193133928822601","0.32318135747304","3"
"No worries","1999","middle vocational","Male","531","0.147692388163916","0.135896030641694","0.159488745686138","3"
"No worries","1999","vocational + Abi","Female","74","0.25019731630936","0.198534149024412","0.301860483594307","3"
"No worries","1999","vocational + Abi","Male","70","0.302791996520937","0.244662595501179","0.360921397540696","3"
"Some worries","1999","vocational + Abi","Female","133","0.475110757064898","0.415544888770736","0.534676625359061","2"
"Some worries","1999","vocational + Abi","Male","103","0.411227264911736","0.348974697676441","0.47347983214703","2"
"Some worries","1999","middle vocational","Male","1543","0.436398485036611","0.419909330828083","0.45288763924514","2"
"Some worries","1999","middle vocational","Female","1667","0.477660865710248","0.461050878534579","0.494270852885917","2"
"Some worries","1999","inadequately","Male","86","0.430900655936802","0.357321282210261","0.504480029663344","2"
"Some worries","1999","general elemantary","Female","731","0.448739692619348","0.424090351149808","0.473389034088887","2"
"Some worries","1999","higher vocational","Male","225","0.463429834284243","0.419141549035078","0.507718119533407","2"
"Some worries","1999","in school","Male","67","0.421445854509081","0.344206050545722","0.49868565847244","2"
