"plj0046","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","Schleswig-Holstein","(0) in school","","","",""
"Big worries","1999","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Big worries","1999","Schleswig-Holstein","(1b) general elementary school","","","",""
"Big worries","1999","Schleswig-Holstein","(1c) basic vocational qualification","","","",""
"Big worries","1999","Schleswig-Holstein","(2b) intermediate general qualification","","","",""
"Big worries","1999","Schleswig-Holstein","(2a) intermediate vocational","","","",""
"Big worries","1999","Schleswig-Holstein","(2c_gen) general maturity certificate","","","",""
"Big worries","1999","Schleswig-Holstein","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1999","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"Big worries","1999","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"Big worries","1999","Hamburg","(0) in school","","","",""
"Big worries","1999","Hamburg","(1a) inadequately completed","","","",""
"Big worries","1999","Hamburg","(1b) general elementary school","","","",""
"Big worries","1999","Hamburg","(1c) basic vocational qualification","","","",""
"Big worries","1999","Hamburg","(2b) intermediate general qualification","","","",""
"Big worries","1999","Hamburg","(2a) intermediate vocational","","","",""
"Big worries","1999","Hamburg","(2c_gen) general maturity certificate","","","",""
"Big worries","1999","Hamburg","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1999","Hamburg","(3a) lower tertiary education","","","",""
"Big worries","1999","Hamburg","(3b) higher tertiary education","","","",""
"Big worries","1999","Lower Saxony","(0) in school","","","",""
"Big worries","1999","Lower Saxony","(1a) inadequately completed","","","",""
"Big worries","1999","Lower Saxony","(1b) general elementary school","71","0.492556942136767","0.420709138099253","0.56440474617428"
"Big worries","1999","Lower Saxony","(1c) basic vocational qualification","141","0.445560841082272","0.393340593731645","0.497781088432899"
"Big worries","1999","Lower Saxony","(2b) intermediate general qualification","","","",""
"Big worries","1999","Lower Saxony","(2a) intermediate vocational","88","0.359493988551743","0.299772630911147","0.419215346192338"
"Big worries","1999","Lower Saxony","(2c_gen) general maturity certificate","","","",""
"Big worries","1999","Lower Saxony","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1999","Lower Saxony","(3a) lower tertiary education","","","",""
"Big worries","1999","Lower Saxony","(3b) higher tertiary education","","","",""
"Big worries","1999","Bremen","(0) in school","","","",""
"Big worries","1999","Bremen","(1a) inadequately completed","","","",""
"Big worries","1999","Bremen","(1b) general elementary school","","","",""
"Big worries","1999","Bremen","(1c) basic vocational qualification","","","",""
"Big worries","1999","Bremen","(2b) intermediate general qualification","","","",""
"Big worries","1999","Bremen","(2a) intermediate vocational","","","",""
"Big worries","1999","Bremen","(2c_gen) general maturity certificate","","","",""
"Big worries","1999","Bremen","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1999","Bremen","(3a) lower tertiary education","","","",""
"Big worries","1999","Bremen","(3b) higher tertiary education","","","",""
"Big worries","1999","North Rhine-Westphalia","(0) in school","","","",""
"Big worries","1999","North Rhine-Westphalia","(1a) inadequately completed","38","0.318025558329752","0.239173914205351","0.396877202454154"
"Big worries","1999","North Rhine-Westphalia","(1b) general elementary school","171","0.464102536958845","0.416178957610549","0.512026116307142"
"Big worries","1999","North Rhine-Westphalia","(1c) basic vocational qualification","360","0.419957676320033","0.386719362055111","0.453195990584954"
"Big worries","1999","North Rhine-Westphalia","(2b) intermediate general qualification","33","0.359266391062427","0.261755378786786","0.456777403338068"
"Big worries","1999","North Rhine-Westphalia","(2a) intermediate vocational","150","0.360784254888249","0.315181528135676","0.406386981640822"
"Big worries","1999","North Rhine-Westphalia","(2c_gen) general maturity certificate","","","",""
"Big worries","1999","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","54","0.316388458879542","0.250945604165839","0.381831313593244"
"Big worries","1999","North Rhine-Westphalia","(3a) lower tertiary education","","","",""
"Big worries","1999","North Rhine-Westphalia","(3b) higher tertiary education","39","0.193358812184721","0.13994413288349","0.246773491485952"
"Big worries","1999","Hesse","(0) in school","","","",""
"Big worries","1999","Hesse","(1a) inadequately completed","","","",""
"Big worries","1999","Hesse","(1b) general elementary school","60","0.375837590617786","0.301254651096353","0.450420530139219"
"Big worries","1999","Hesse","(1c) basic vocational qualification","99","0.415132669031042","0.354535355584397","0.475729982477687"
"Big worries","1999","Hesse","(2b) intermediate general qualification","","","",""
"Big worries","1999","Hesse","(2a) intermediate vocational","53","0.486562957097068","0.401618432345137","0.571507481848998"
"Big worries","1999","Hesse","(2c_gen) general maturity certificate","","","",""
"Big worries","1999","Hesse","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1999","Hesse","(3a) lower tertiary education","","","",""
"Big worries","1999","Hesse","(3b) higher tertiary education","","","",""
"Big worries","1999","Rhineland-Palatinate,Saarland","(0) in school","","","",""
"Big worries","1999","Rhineland-Palatinate,Saarland","(1a) inadequately completed","","","",""
"Big worries","1999","Rhineland-Palatinate,Saarland","(1b) general elementary school","49","0.288553717649459","0.221424210168676","0.355683225130242"
"Big worries","1999","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","100","0.368436331527267","0.313759632032713","0.423113031021821"
"Big worries","1999","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","","","",""
"Big worries","1999","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","34","0.302141884970664","0.213463349451871","0.390820420489457"
"Big worries","1999","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","","","",""
"Big worries","1999","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1999","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","","","",""
"Big worries","1999","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","","","",""
"Big worries","1999","Baden-Württemberg","(0) in school","","","",""
"Big worries","1999","Baden-Württemberg","(1a) inadequately completed","","","",""
"Big worries","1999","Baden-Württemberg","(1b) general elementary school","125","0.384641539955968","0.335268956186198","0.434014123725739"
"Big worries","1999","Baden-Württemberg","(1c) basic vocational qualification","220","0.460344889313017","0.418306020517853","0.502383758108182"
"Big worries","1999","Baden-Württemberg","(2b) intermediate general qualification","","","",""
"Big worries","1999","Baden-Württemberg","(2a) intermediate vocational","78","0.340550623204452","0.277787058114092","0.403314188294812"
"Big worries","1999","Baden-Württemberg","(2c_gen) general maturity certificate","","","",""
"Big worries","1999","Baden-Württemberg","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1999","Baden-Württemberg","(3a) lower tertiary education","","","",""
"Big worries","1999","Baden-Württemberg","(3b) higher tertiary education","","","",""
"Big worries","1999","Bavaria","(0) in school","","","",""
"Big worries","1999","Bavaria","(1a) inadequately completed","","","",""
"Big worries","1999","Bavaria","(1b) general elementary school","94","0.307207903845901","0.255262822412682","0.35915298527912"
"Big worries","1999","Bavaria","(1c) basic vocational qualification","285","0.453371690647123","0.414498420597286","0.49224496069696"
"Big worries","1999","Bavaria","(2b) intermediate general qualification","","","",""
"Big worries","1999","Bavaria","(2a) intermediate vocational","110","0.380963581838353","0.326193366308082","0.435733797368624"
"Big worries","1999","Bavaria","(2c_gen) general maturity certificate","","","",""
"Big worries","1999","Bavaria","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1999","Bavaria","(3a) lower tertiary education","","","",""
"Big worries","1999","Bavaria","(3b) higher tertiary education","","","",""
"Big worries","1999","Berlin","(0) in school","","","",""
"Big worries","1999","Berlin","(1a) inadequately completed","","","",""
"Big worries","1999","Berlin","(1b) general elementary school","","","",""
"Big worries","1999","Berlin","(1c) basic vocational qualification","46","0.545361690093324","0.439506061387547","0.651217318799101"
"Big worries","1999","Berlin","(2b) intermediate general qualification","","","",""
"Big worries","1999","Berlin","(2a) intermediate vocational","61","0.442513767309154","0.357460126256688","0.527567408361619"
"Big worries","1999","Berlin","(2c_gen) general maturity certificate","","","",""
"Big worries","1999","Berlin","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1999","Berlin","(3a) lower tertiary education","","","",""
"Big worries","1999","Berlin","(3b) higher tertiary education","","","",""
"Big worries","1999","Brandenburg","(0) in school","","","",""
"Big worries","1999","Brandenburg","(1a) inadequately completed","","","",""
"Big worries","1999","Brandenburg","(1b) general elementary school","","","",""
"Big worries","1999","Brandenburg","(1c) basic vocational qualification","55","0.374068464265477","0.293914863348267","0.454222065182687"
"Big worries","1999","Brandenburg","(2b) intermediate general qualification","","","",""
"Big worries","1999","Brandenburg","(2a) intermediate vocational","80","0.355314174584533","0.28831022815697","0.422318121012096"
"Big worries","1999","Brandenburg","(2c_gen) general maturity certificate","","","",""
"Big worries","1999","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1999","Brandenburg","(3a) lower tertiary education","38","0.393474379253747","0.29958548457063","0.487363273936864"
"Big worries","1999","Brandenburg","(3b) higher tertiary education","","","",""
"Big worries","1999","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Big worries","1999","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Big worries","1999","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"Big worries","1999","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"Big worries","1999","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
"Big worries","1999","Mecklenburg-Western Pomerania","(2a) intermediate vocational","50","0.355263108758201","0.275985527854042","0.43454068966236"
"Big worries","1999","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","",""
"Big worries","1999","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1999","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","",""
"Big worries","1999","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","",""
"Big worries","1999","Saxony","(0) in school","","","",""
"Big worries","1999","Saxony","(1a) inadequately completed","","","",""
"Big worries","1999","Saxony","(1b) general elementary school","","","",""
"Big worries","1999","Saxony","(1c) basic vocational qualification","141","0.493003623859457","0.435162779251213","0.550844468467701"
"Big worries","1999","Saxony","(2b) intermediate general qualification","","","",""
"Big worries","1999","Saxony","(2a) intermediate vocational","185","0.463517360901652","0.413770546257392","0.513264175545911"
"Big worries","1999","Saxony","(2c_gen) general maturity certificate","","","",""
"Big worries","1999","Saxony","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1999","Saxony","(3a) lower tertiary education","47","0.365433878282579","0.285090258868775","0.445777497696383"
"Big worries","1999","Saxony","(3b) higher tertiary education","","","",""
"Big worries","1999","Saxony-Anhalt","(0) in school","","","",""
"Big worries","1999","Saxony-Anhalt","(1a) inadequately completed","","","",""
"Big worries","1999","Saxony-Anhalt","(1b) general elementary school","","","",""
"Big worries","1999","Saxony-Anhalt","(1c) basic vocational qualification","90","0.486871336662501","0.415232664271916","0.558510009053087"
"Big worries","1999","Saxony-Anhalt","(2b) intermediate general qualification","","","",""
"Big worries","1999","Saxony-Anhalt","(2a) intermediate vocational","91","0.447461639916605","0.379061152853521","0.515862126979689"
"Big worries","1999","Saxony-Anhalt","(2c_gen) general maturity certificate","","","",""
"Big worries","1999","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1999","Saxony-Anhalt","(3a) lower tertiary education","33","0.370310761895301","0.277504405252259","0.463117118538342"
"Big worries","1999","Saxony-Anhalt","(3b) higher tertiary education","","","",""
"Big worries","1999","Thuringia","(0) in school","","","",""
