"plj0046","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","16-34 y.","in school","80","0.264953166821987","0.216218850606753","0.31368748303722"
"Big worries","1999","16-34 y.","inadequately","","","",""
"Big worries","1999","16-34 y.","general elemantary","289","0.338326537794427","0.307065985578138","0.369587090010716"
"Big worries","1999","16-34 y.","middle vocational","763","0.341537738825828","0.32182869780101","0.361246779850646"
"Big worries","1999","16-34 y.","vocational + Abi","60","0.300951200751242","0.245622825788589","0.356279575713894"
"Big worries","1999","16-34 y.","higher vocational","64","0.300511789637272","0.240471187538557","0.360552391735988"
"Big worries","1999","16-34 y.","higher education","64","0.150369295434691","0.11602171829659","0.184716872572793"
"Big worries","1999","35-65 y.","in school","","","",""
"Big worries","1999","35-65 y.","inadequately","67","0.288229870206036","0.23564448818647","0.340815252225601"
"Big worries","1999","35-65 y.","general elemantary","360","0.40610027471083","0.375737723244089","0.436462826177571"
"Big worries","1999","35-65 y.","middle vocational","1587","0.419747958533542","0.404146721459915","0.435349195607168"
"Big worries","1999","35-65 y.","vocational + Abi","54","0.178751752863077","0.127417932468288","0.230085573257865"
"Big worries","1999","35-65 y.","higher vocational","196","0.337382068405588","0.296387130643073","0.378377006168103"
"Big worries","1999","35-65 y.","higher education","321","0.219021228502578","0.1969592769467","0.241083180058455"
"Big worries","1999","66 and older","in school","","","",""
"Big worries","1999","66 and older","inadequately","","","",""
"Big worries","1999","66 and older","general elemantary","213","0.410402397067655","0.369514620552124","0.451290173583187"
"Big worries","1999","66 and older","middle vocational","366","0.429067488641416","0.396384984254243","0.461749993028589"
"Big worries","1999","66 and older","vocational + Abi","","","",""
"Big worries","1999","66 and older","higher vocational","39","0.491618817143598","0.383413115067184","0.599824519220013"
"Big worries","1999","66 and older","higher education","73","0.408276169157919","0.34015695347909","0.476395384836749"
"Some worries","1999","16-34 y.","in school","139","0.433064424666802","0.378345705443483","0.487783143890121"
"Some worries","1999","16-34 y.","inadequately","37","0.424911740559634","0.317259716980668","0.5325637641386"
"Some worries","1999","16-34 y.","general elemantary","396","0.454203596285522","0.421307272007302","0.487099920563741"
"Some worries","1999","16-34 y.","middle vocational","1041","0.467676420900182","0.446939642412024","0.488413199388339"
"Some worries","1999","16-34 y.","vocational + Abi","126","0.436231968135167","0.376410771696952","0.496053164573382"
"Some worries","1999","16-34 y.","higher vocational","112","0.47762577668633","0.412213565604047","0.543037987768613"
"Some worries","1999","16-34 y.","higher education","191","0.456504693791609","0.408639265612777","0.504370121970441"
"Some worries","1999","35-65 y.","in school","","","",""
"Some worries","1999","35-65 y.","inadequately","129","0.408728309600268","0.351654539239885","0.465802079960651"
"Some worries","1999","35-65 y.","general elemantary","459","0.430495820459334","0.399883377586778","0.46110826333189"
"Some worries","1999","35-65 y.","middle vocational","1763","0.452206899356561","0.436473112134661","0.467940686578461"
"Some worries","1999","35-65 y.","vocational + Abi","99","0.493184606085133","0.426200639843164","0.560168572327101"
"Some worries","1999","35-65 y.","higher vocational","238","0.47970210218186","0.436385988245764","0.523018216117956"
"Some worries","1999","35-65 y.","higher education","643","0.46348683213511","0.436886313783499","0.49008735048672"
"Some worries","1999","66 and older","in school","","","",""
"Some worries","1999","66 and older","inadequately","","","",""
"Some worries","1999","66 and older","general elemantary","262","0.454946497599279","0.413555068095684","0.496337927102874"
"Some worries","1999","66 and older","middle vocational","406","0.454969782000715","0.42208751859641","0.487852045405021"
"Some worries","1999","66 and older","vocational + Abi","","","",""
"Some worries","1999","66 and older","higher vocational","30","0.384118253381015","0.278843967546208","0.489392539215822"
"Some worries","1999","66 and older","higher education","90","0.409825481957743","0.341666546408865","0.477984417506622"
"No worries","1999","16-34 y.","in school","96","0.301982408511211","0.251281374055271","0.352683442967151"
"No worries","1999","16-34 y.","inadequately","","","",""
"No worries","1999","16-34 y.","general elemantary","195","0.207469865920051","0.180678666306116","0.234261065533987"
"No worries","1999","16-34 y.","middle vocational","420","0.19078584027399","0.17445586579965","0.207115814748331"
"No worries","1999","16-34 y.","vocational + Abi","78","0.262816831113591","0.209721000353208","0.315912661873974"
"No worries","1999","16-34 y.","higher vocational","48","0.221862433676398","0.16745050008703","0.276274367265765"
