"plj0046","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1999","general elemantary","862","0.389933877395445","0.37058534005554","0.409282414735349","1"
"Big worries","1999","higher education","458","0.233815607628524","0.215106213079791","0.252525002177257","1"
"Big worries","1999","higher vocational","299","0.352857493372685","0.320090492065485","0.385624494679886","1"
"Big worries","1999","in school","81","0.267965062529676","0.219209580848596","0.316720544210756","1"
"Big worries","1999","inadequately","102","0.285183293893444","0.242156667578301","0.328209920208586","1"
"Big worries","1999","middle vocational","2716","0.401392644676752","0.389867598752388","0.412917690601117","1"
"Big worries","1999","vocational + Abi","130","0.280145473713417","0.241171276549801","0.319119670877033","1"
"No worries","1999","general elemantary","462","0.164768166925823","0.150051672323978","0.179484661527668","3"
"No worries","1999","higher education","584","0.31177029993887","0.291294522052268","0.332246077825473","3"
"No worries","1999","higher vocational","138","0.18247887813314","0.15599431247727","0.20896344378901","3"
"No worries","1999","middle vocational","1023","0.141913568933299","0.133708836674467","0.150118301192132","3"
"No worries","1999","vocational + Abi","144","0.275605443097125","0.236826632242251","0.314384253951999","3"
"No worries","1999","in school","96","0.299187240102347","0.248780223500708","0.349594256703986","3"
"No worries","1999","inadequately","127","0.288140345953865","0.244980773526907","0.331299918380822","3"
"Some worries","1999","middle vocational","3210","0.456693786389949","0.444982035601923","0.468405537177974","2"
"Some worries","1999","vocational + Abi","236","0.444249083189458","0.401125348348711","0.487372818030205","2"
"Some worries","1999","general elemantary","1117","0.445297955678732","0.425581927272504","0.465013984084961","2"
"Some worries","1999","higher education","924","0.454414092432606","0.432404408702444","0.476423776162767","2"
"Some worries","1999","higher vocational","380","0.464663628494174","0.430464126818163","0.498863130170186","2"
"Some worries","1999","in school","140","0.432847697367977","0.37830509373215","0.487390301003804","2"
"Some worries","1999","inadequately","194","0.426676360152692","0.37954313881058","0.473809581494804","2"
"Big worries","2000","general elemantary","1060","0.315755170495052","0.300421655016452","0.331088685973651","1"
"Big worries","2000","higher education","695","0.182029013040291","0.169755551968121","0.194302474112461","1"
"Big worries","2000","higher vocational","584","0.30270861330041","0.2819132268924","0.32350399970842","1"
"Big worries","2000","in school","83","0.169107648433788","0.135883973623751","0.202331323243824","1"
"Big worries","2000","inadequately","90","0.258525642607384","0.215184042696623","0.301867242518145","1"
"Big worries","2000","middle vocational","4312","0.342293921477673","0.334054514717456","0.350533328237891","1"
"Big worries","2000","vocational + Abi","233","0.192031721824827","0.168973334617011","0.215090109032643","1"
"No worries","2000","general elemantary","916","0.239028247572956","0.224959040554933","0.25309745459098","3"
"No worries","2000","higher education","1443","0.39612207829839","0.380565399215514","0.411678757381265","3"
"No worries","2000","higher vocational","425","0.242990114472402","0.223577119895523","0.262403109049281","3"
"No worries","2000","middle vocational","2427","0.194546072741059","0.18767203348403","0.201420111998087","3"
"No worries","2000","vocational + Abi","367","0.345415683076398","0.317580177823615","0.373251188329182","3"
"No worries","2000","inadequately","147","0.371933653481888","0.324088212991368","0.419779093972408","3"
"No worries","2000","in school","182","0.366708475058707","0.323995878552211","0.409421071565204","3"
"Some worries","2000","vocational + Abi","521","0.462552595098775","0.433365301231345","0.491739888966205","2"
"Some worries","2000","middle vocational","6000","0.463160005781268","0.454500993032511","0.471819018530025","2"
"Some worries","2000","general elemantary","1554","0.445216581931992","0.428821705797697","0.461611458066287","2"
"Some worries","2000","higher education","1659","0.42184890866132","0.406140690210175","0.437557127112464","2"
"Some worries","2000","higher vocational","866","0.454301272227188","0.431764282738489","0.476838261715887","2"
"Some worries","2000","in school","224","0.464183876507505","0.419981402644566","0.508386350370444","2"
"Some worries","2000","inadequately","155","0.369540703910728","0.32175865981418","0.417322748007276","2"
"Big worries","2001","general elemantary","786","0.267460213393075","0.251820472811452","0.283099953974697","1"
"Big worries","2001","higher education","522","0.142333259197553","0.13081229694052","0.153854221454586","1"
"Big worries","2001","higher vocational","426","0.258420378169278","0.237437153683633","0.279403602654922","1"
"Big worries","2001","in school","79","0.144452474695413","0.114883740100485","0.174021209290342","1"
"Big worries","2001","inadequately","55","0.234876767788788","0.187456431585926","0.28229710399165","1"
"Big worries","2001","middle vocational","3256","0.276556663072089","0.268396796320455","0.284716529823723","1"
"Big worries","2001","vocational + Abi","201","0.185511216219165","0.162187727009917","0.208834705428413","1"
"No worries","2001","higher vocational","411","0.261487937953225","0.240424241812698","0.282551634093751","3"
"No worries","2001","general elemantary","864","0.270030766668678","0.254343645698918","0.285717887638438","3"
"No worries","2001","higher education","1488","0.427177060794269","0.410865690966229","0.443488430622308","3"
"No worries","2001","middle vocational","2627","0.232791838912698","0.225082285428476","0.240501392396921","3"
"No worries","2001","vocational + Abi","386","0.364870628015968","0.335986023067352","0.393755232964585","3"
"No worries","2001","inadequately","101","0.314429649955922","0.262493869446552","0.366365430465292","3"
"No worries","2001","in school","231","0.425629438249628","0.384042198929745","0.467216677569511","3"
"Some worries","2001","middle vocational","5660","0.490651498015213","0.48153175029983","0.499771245730595","2"
"Some worries","2001","vocational + Abi","480","0.449618155764867","0.419769838599446","0.479466472930288","2"
"Some worries","2001","general elemantary","1427","0.462509019938247","0.444892097731419","0.480125942145075","2"
"Some worries","2001","higher education","1523","0.430489680008178","0.4141626029007","0.446816757115657","2"
"Some worries","2001","higher vocational","835","0.480091683877498","0.456144446004143","0.504038921750853","2"
"Some worries","2001","in school","233","0.429918087054959","0.388278188219313","0.471557985890604","2"
"Some worries","2001","inadequately","151","0.45069358225529","0.395035668081308","0.506351496429273","2"
"Big worries","2002","general elemantary","828","0.303985632519577","0.287215565399238","0.320755699639915","1"
"Big worries","2002","higher education","743","0.168777831187996","0.157894580014716","0.179661082361276","1"
"Big worries","2002","higher vocational","485","0.301968473706768","0.280396405354729","0.323540542058806","1"
"Big worries","2002","in school","100","0.164808990230591","0.135270034795779","0.194347945665403","1"
"Big worries","2002","inadequately","58","0.295669537764925","0.241635883852661","0.349703191677189","1"
"Big worries","2002","middle vocational","3719","0.337561330553975","0.32894148323106","0.346181177876891","1"
"Big worries","2002","vocational + Abi","222","0.188343126658242","0.165901210316909","0.210785042999576","1"
"No worries","2002","higher vocational","401","0.228601939444505","0.208870776027625","0.248333102861386","3"
"No worries","2002","general elemantary","682","0.212986545207308","0.198059758307223","0.227913332107392","3"
"No worries","2002","higher education","1773","0.376217971920993","0.362141993554658","0.390293950287328","3"
"No worries","2002","middle vocational","2231","0.186957055779649","0.179850190823344","0.194063920735954","3"
"No worries","2002","vocational + Abi","396","0.361475640126814","0.333899906915187","0.389051373338441","3"
"No worries","2002","inadequately","94","0.336150496792064","0.280216673554598","0.392084320029531","3"
"No worries","2002","in school","248","0.387597271543032","0.348807189958682","0.426387353127383","3"
"Some worries","2002","middle vocational","5611","0.475481613666376","0.466378339711923","0.484584887620829","2"
"Some worries","2002","vocational + Abi","548","0.450181233214944","0.421624910007181","0.478737556422706","2"
"Some worries","2002","higher vocational","854","0.469429586848727","0.445980269171019","0.492878904526435","2"
"Some worries","2002","in school","258","0.447593738226377","0.408003959314178","0.487183517138576","2"
"Some worries","2002","inadequately","122","0.368179965443011","0.311071619403351","0.425288311482671","2"
"Some worries","2002","general elemantary","1380","0.483027822273115","0.464809061699568","0.501246582846663","2"
"Some worries","2002","higher education","2034","0.455004196891011","0.440534925153522","0.4694734686285","2"
"Big worries","2003","general elemantary","739","0.293623367070901","0.276511504268599","0.310735229873203","1"
"Big worries","2003","higher education","634","0.155574298273511","0.144793452616417","0.166355143930606","1"
"Big worries","2003","higher vocational","463","0.287526725849374","0.265935103857654","0.309118347841095","1"
"Big worries","2003","in school","89","0.182211908467396","0.151703517542867","0.212720299391925","1"
"Big worries","2003","inadequately","64","0.286528075597249","0.231463760154894","0.341592391039604","1"
"Big worries","2003","middle vocational","3280","0.31011191775919","0.301505678478986","0.318718157039394","1"
"Big worries","2003","vocational + Abi","216","0.197661057639709","0.174694463688382","0.220627651591035","1"
"No worries","2003","general elemantary","684","0.227233890004134","0.211488826900613","0.242978953107655","3"
"No worries","2003","higher education","1782","0.390386343732201","0.375875995551026","0.404896691913376","3"
"No worries","2003","higher vocational","406","0.248608133420062","0.227989836896694","0.269226429943431","3"
"No worries","2003","middle vocational","2483","0.215003005825657","0.207358997882622","0.222647013768692","3"
"No worries","2003","vocational + Abi","393","0.33932158244298","0.312015594086616","0.366627570799344","3"
"No worries","2003","in school","278","0.410837957823672","0.371954650898137","0.449721264749207","3"
"No worries","2003","inadequately","95","0.372843887041372","0.313952802503573","0.431734971579171","3"
"Some worries","2003","middle vocational","5333","0.474885076415153","0.465593566207066","0.484176586623241","2"
