"plj0046","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1999","(Married) couple without C. ","1605","0.409496040157192","0.394509751745581","0.424482328568804","1"
"Big worries","1999","1-pers.-HH","550","0.35254421061601","0.329698466769282","0.375389954462738","1"
"Big worries","1999","Couple + C. GT 16 ","842","0.355888350989367","0.337120456643971","0.374656245334762","1"
"Big worries","1999","Couple + C. LE 16 ","976","0.319611968927317","0.302999593762897","0.336224344091736","1"
"Big worries","1999","Couple + C. LE and GT 16","368","0.306601411149896","0.28006772133421","0.333135100965583","1"
"Big worries","1999","Single parent ","245","0.357384560966955","0.322208533047997","0.392560588885913","1"
"No worries","1999","Couple + C. GT 16 ","528","0.196042074040423","0.180479931406174","0.211604216674673","3"
"No worries","1999","Couple + C. LE 16 ","610","0.198549696706099","0.184339018887333","0.212760374524865","3"
"No worries","1999","1-pers.-HH","350","0.202469061190572","0.183253788388201","0.221684333992942","3"
"No worries","1999","Single parent ","136","0.183845985124019","0.15541339255172","0.212278577696318","3"
"No worries","1999","(Married) couple without C. ","652","0.1464974580166","0.135721018892697","0.157273897140503","3"
"No worries","1999","Couple + C. LE and GT 16","240","0.233280841735311","0.208943295427533","0.257618388043089","3"
"Some worries","1999","1-pers.-HH","780","0.444986728193419","0.421222776358766","0.468750680028071","2"
"Some worries","1999","Couple + C. GT 16 ","1130","0.44806957497021","0.428575933156091","0.467563216784329","2"
"Some worries","1999","Single parent ","332","0.458769453909026","0.422193831719538","0.495345076098514","2"
"Some worries","1999","Couple + C. LE 16 ","1441","0.481838334366584","0.464038121536442","0.499638547196727","2"
"Some worries","1999","(Married) couple without C. ","1879","0.444006501826208","0.428864358684758","0.459148644967657","2"
"Some worries","1999","Couple + C. LE and GT 16","552","0.460117747114793","0.431436164302214","0.488799329927372","2"
"Big worries","2000","(Married) couple without C. ","2423","0.329641617843354","0.319007086599415","0.340276149087294","1"
"Big worries","2000","1-pers.-HH","914","0.279834098660381","0.26459138860531","0.295076808715452","1"
"Big worries","2000","Couple + C. GT 16 ","1142","0.305676315257343","0.291250918726639","0.320101711788048","1"
"Big worries","2000","Couple + C. LE 16 ","1469","0.282342745086436","0.270124483080863","0.29456100709201","1"
"Big worries","2000","Couple + C. LE and GT 16","539","0.270742843665218","0.250893252465022","0.290592434865414","1"
"Big worries","2000","Single parent ","339","0.27052294713046","0.245240819526387","0.295805074734532","1"
"No worries","2000","Couple + C. GT 16 ","934","0.229142704219375","0.215982704324447","0.242302704114302","3"
"No worries","2000","Couple + C. LE 16 ","1349","0.266821514399655","0.25481608062902","0.27882694817029","3"
"No worries","2000","1-pers.-HH","959","0.282765490659231","0.26747436749831","0.298056613820152","3"
"No worries","2000","Single parent ","307","0.281197023391676","0.255610219558863","0.306783827224489","3"
"No worries","2000","(Married) couple without C. ","1589","0.21016901848517","0.200951898488219","0.219386138482121","3"
"No worries","2000","Couple + C. LE and GT 16","525","0.28637219358748","0.26617765060767","0.306566736567289","3"
"Some worries","2000","1-pers.-HH","1459","0.437400410680388","0.420556811688863","0.454244009671913","2"
"Some worries","2000","Couple + C. GT 16 ","1842","0.465180980523282","0.449562805988818","0.480799155057745","2"
"Some worries","2000","Single parent ","540","0.448280029477864","0.41997655221954","0.476583506736189","2"
"Some worries","2000","(Married) couple without C. ","3494","0.460189363671476","0.44891394133179","0.471464786011162","2"
"Some worries","2000","Couple + C. LE 16 ","2396","0.450835740513908","0.437329860752663","0.464341620275154","2"
"Some worries","2000","Couple + C. LE and GT 16","861","0.442884962747303","0.420695303557587","0.465074621937019","2"
"Big worries","2001","(Married) couple without C. ","1798","0.262118538659182","0.251719809057883","0.27251726826048","1"
"Big worries","2001","1-pers.-HH","669","0.226015603571117","0.211018993186624","0.241012213955611","1"
"Big worries","2001","Couple + C. GT 16 ","919","0.266117257734498","0.251713237014588","0.280521278454407","1"
"Big worries","2001","Couple + C. LE 16 ","1113","0.234124256736806","0.222029807137809","0.246218706335804","1"
"Big worries","2001","Couple + C. LE and GT 16","421","0.231717711952076","0.211852699759019","0.251582724145134","1"
"Big worries","2001","Single parent ","248","0.211568065232241","0.187627502754172","0.235508627710311","1"
"No worries","2001","1-pers.-HH","947","0.313630767325243","0.296994877767968","0.330266656882518","3"
"No worries","2001","Couple + C. GT 16 ","1007","0.266429761950029","0.25202035522637","0.280839168673689","3"
"No worries","2001","Couple + C. LE 16 ","1351","0.296267604518622","0.28322604281016","0.309309166227084","3"
"No worries","2001","Single parent ","328","0.304890428312671","0.277905223486418","0.331875633138925","3"
"No worries","2001","(Married) couple without C. ","1712","0.248410409032966","0.238193644362469","0.258627173703463","3"
"No worries","2001","Couple + C. LE and GT 16","540","0.329742020817352","0.307608171264519","0.351875870370185","3"
