"plj0046","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1999","Schleswig-Holstein","no migration background","64","0.269779590173061","0.219130854109963","0.32042832623616","1"
"Big worries","1999","Schleswig-Holstein","direct migration background","7","","","","1"
"Big worries","1999","Schleswig-Holstein","indirect migration background","1","","","","1"
"Big worries","1999","Hamburg","no migration background","44","0.460841361252847","0.365949455713836","0.555733266791857","1"
"Big worries","1999","Hamburg","direct migration background","3","","","","1"
"Big worries","1999","Hamburg","indirect migration background","","","","","1"
"Big worries","1999","Lower Saxony","no migration background","360","0.410904068566998","0.379485537810739","0.442322599323258","1"
"Big worries","1999","Lower Saxony","direct migration background","35","0.247594149709455","0.184187565025769","0.311000734393141","1"
"Big worries","1999","Lower Saxony","indirect migration background","12","","","","1"
"Big worries","1999","Bremen","no migration background","30","0.48017487255636","0.362291678415374","0.598058066697347","1"
"Big worries","1999","Bremen","direct migration background","5","","","","1"
"Big worries","1999","Bremen","indirect migration background","","","","","1"
"Big worries","1999","North Rhine-Westphalia","no migration background","746","0.377365766913799","0.356004220212204","0.398727313615394","1"
"Big worries","1999","North Rhine-Westphalia","direct migration background","157","0.296570235836062","0.2588083143591","0.334332157313024","1"
"Big worries","1999","North Rhine-Westphalia","indirect migration background","43","0.265988432537335","0.199371049841343","0.332605815233326","1"
"Big worries","1999","Hesse","no migration background","205","0.34862403814411","0.310588990621624","0.386659085666595","1"
"Big worries","1999","Hesse","direct migration background","54","0.269289825844039","0.21183680087313","0.326742850814948","1"
"Big worries","1999","Hesse","indirect migration background","14","","","","1"
"Big worries","1999","Rhineland-Palatinate,Saarland","no migration background","196","0.333733766770302","0.29606565743933","0.371401876101273","1"
"Big worries","1999","Rhineland-Palatinate,Saarland","direct migration background","20","","","","1"
"Big worries","1999","Rhineland-Palatinate,Saarland","indirect migration background","3","","","","1"
"Big worries","1999","Baden-Württemberg","no migration background","382","0.393665426463147","0.36362396609095","0.423706886835344","1"
"Big worries","1999","Baden-Württemberg","direct migration background","118","0.238282870221038","0.20290238652783","0.273663353914246","1"
"Big worries","1999","Baden-Württemberg","indirect migration background","42","0.276887783311682","0.207983641124727","0.345791925498637","1"
"Big worries","1999","Bavaria","no migration background","524","0.390504227614797","0.364829367905066","0.416179087324529","1"
"Big worries","1999","Bavaria","direct migration background","79","0.219017994120651","0.173844824161692","0.264191164079609","1"
"Big worries","1999","Bavaria","indirect migration background","22","","","","1"
"Big worries","1999","Berlin","no migration background","195","0.425950439043521","0.379955416544204","0.471945461542838","1"
"Big worries","1999","Berlin","direct migration background","9","","","","1"
"Big worries","1999","Berlin","indirect migration background","4","","","","1"
"Big worries","1999","Brandenburg","no migration background","220","0.356186862356003","0.31734853363501","0.395025191076995","1"
"Big worries","1999","Brandenburg","direct migration background","5","","","","1"
"Big worries","1999","Brandenburg","indirect migration background","1","","","","1"
