"plj0046","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","16-34 y.","(0) in school","78","0.258516960450519","0.210090982687599","0.306942938213439"
"Big worries","1999","16-34 y.","(1a) inadequately completed","24","","",""
"Big worries","1999","16-34 y.","(1b) general elementary school","151","0.335184723037065","0.293515324211324","0.376854121862805"
"Big worries","1999","16-34 y.","(1c) basic vocational qualification","291","0.387055096421476","0.352762974898488","0.421347217944465"
"Big worries","1999","16-34 y.","(2b) intermediate general qualification","146","0.343741342144195","0.297767630255662","0.389715054032729"
"Big worries","1999","16-34 y.","(2a) intermediate vocational","412","0.366923873138059","0.338596151230367","0.395251595045752"
"Big worries","1999","16-34 y.","(2c_gen) general maturity certificate","73","0.17571545698123","0.137699906167201","0.213731007795259"
"Big worries","1999","16-34 y.","(2c_voc) vocational maturity certificate","75","0.291247767094809","0.242595373691099","0.33990016049852"
"Big worries","1999","16-34 y.","(3a) lower tertiary education","33","0.151446892378609","0.10113154416729","0.201762240589929"
"Big worries","1999","16-34 y.","(3b) higher tertiary education","31","0.149481352905386","0.10247166326752","0.196491042543252"
"Big worries","1999","35-65 y.","(0) in school","1","","",""
"Big worries","1999","35-65 y.","(1a) inadequately completed","83","0.309094347747756","0.258462006886702","0.359726688608811"
"Big worries","1999","35-65 y.","(1b) general elementary school","335","0.404700754051375","0.373120997629563","0.436280510473187"
"Big worries","1999","35-65 y.","(1c) basic vocational qualification","1083","0.4361054948029","0.41687314474368","0.455337844862121"
"Big worries","1999","35-65 y.","(2b) intermediate general qualification","28","","",""
"Big worries","1999","35-65 y.","(2a) intermediate vocational","637","0.381996333718574","0.358015881566429","0.405976785870719"
"Big worries","1999","35-65 y.","(2c_gen) general maturity certificate","14","","",""
"Big worries","1999","35-65 y.","(2c_voc) vocational maturity certificate","82","0.22823654058937","0.180424538520035","0.276048542658705"
"Big worries","1999","35-65 y.","(3a) lower tertiary education","194","0.263814817227947","0.229883265862618","0.297746368593276"
