"plj0046","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","Schleswig-Holstein","lower secondary degree","38","0.327011254639274","0.249851796432555","0.404170712845992"
"Big worries","1999","Schleswig-Holstein","secondary school degree","24","","",""
"Big worries","1999","Schleswig-Holstein","college entrance qualification","6","","",""
"Big worries","1999","Schleswig-Holstein","Other degree","","","",""
"Big worries","1999","Schleswig-Holstein","no degree/no degree yet","1","","",""
"Big worries","1999","Hamburg","lower secondary degree","29","","",""
"Big worries","1999","Hamburg","secondary school degree","8","","",""
"Big worries","1999","Hamburg","college entrance qualification","6","","",""
"Big worries","1999","Hamburg","Other degree","2","","",""
"Big worries","1999","Hamburg","no degree/no degree yet","1","","",""
"Big worries","1999","Lower Saxony","lower secondary degree","196","0.467686170692239","0.422625383322223","0.512746958062255"
"Big worries","1999","Lower Saxony","secondary school degree","112","0.334618645572469","0.283785793651479","0.385451497493459"
"Big worries","1999","Lower Saxony","college entrance qualification","42","0.233673080542242","0.173021982119707","0.294324178964778"
"Big worries","1999","Lower Saxony","Other degree","21","","",""
"Big worries","1999","Lower Saxony","no degree/no degree yet","24","","",""
"Big worries","1999","Bremen","lower secondary degree","18","","",""
"Big worries","1999","Bremen","secondary school degree","10","","",""
"Big worries","1999","Bremen","college entrance qualification","1","","",""
"Big worries","1999","Bremen","Other degree","1","","",""
"Big worries","1999","Bremen","no degree/no degree yet","3","","",""
"Big worries","1999","North Rhine-Westphalia","lower secondary degree","487","0.442866273846504","0.41349888906403","0.472233658628979"
"Big worries","1999","North Rhine-Westphalia","secondary school degree","192","0.34940328453484","0.309593326808802","0.389213242260878"
"Big worries","1999","North Rhine-Westphalia","college entrance qualification","116","0.240960797509792","0.20380774518924","0.278113849830343"
"Big worries","1999","North Rhine-Westphalia","Other degree","65","0.270205427162704","0.214372255029468","0.32603859929594"
"Big worries","1999","North Rhine-Westphalia","no degree/no degree yet","58","0.303088360561012","0.240779697013599","0.365397024108426"
"Big worries","1999","Hesse","lower secondary degree","144","0.425596242589893","0.373797216127672","0.477395269052115"
"Big worries","1999","Hesse","secondary school degree","63","0.442215385333196","0.368420942765164","0.516009827901228"
"Big worries","1999","Hesse","college entrance qualification","28","","",""
"Big worries","1999","Hesse","Other degree","21","","",""
"Big worries","1999","Hesse","no degree/no degree yet","10","","",""
"Big worries","1999","Rhineland-Palatinate,Saarland","lower secondary degree","140","0.353759736324163","0.308141018695372","0.399378453952953"
"Big worries","1999","Rhineland-Palatinate,Saarland","secondary school degree","38","0.266392363575977","0.191262071390997","0.341522655760958"
"Big worries","1999","Rhineland-Palatinate,Saarland","college entrance qualification","17","","",""
"Big worries","1999","Rhineland-Palatinate,Saarland","Other degree","14","","",""
"Big worries","1999","Rhineland-Palatinate,Saarland","no degree/no degree yet","6","","",""
"Big worries","1999","Baden-Württemberg","lower secondary degree","310","0.453707245463265","0.418171699216837","0.489242791709692"
"Big worries","1999","Baden-Württemberg","secondary school degree","99","0.37059220033174","0.315006473395203","0.426177927268277"
"Big worries","1999","Baden-Württemberg","college entrance qualification","37","0.188165017141892","0.139521432260961","0.236808602022822"
"Big worries","1999","Baden-Württemberg","Other degree","47","0.197167408457405","0.143228145307264","0.251106671607546"
"Big worries","1999","Baden-Württemberg","no degree/no degree yet","33","0.274824570648565","0.20691306386633","0.3427360774308"
"Big worries","1999","Bavaria","lower secondary degree","363","0.435325825636767","0.401555200380813","0.469096450892721"
"Big worries","1999","Bavaria","secondary school degree","141","0.374620815567111","0.327596925893205","0.421644705241017"
"Big worries","1999","Bavaria","college entrance qualification","52","0.220578006431793","0.171837153482151","0.269318859381434"
"Big worries","1999","Bavaria","Other degree","25","","",""
"Big worries","1999","Bavaria","no degree/no degree yet","22","","",""
"Big worries","1999","Berlin","lower secondary degree","64","0.542653122897876","0.453888601012589","0.631417644783163"
"Big worries","1999","Berlin","secondary school degree","88","0.441877838833453","0.370700289338995","0.513055388327912"
"Big worries","1999","Berlin","college entrance qualification","39","0.277149284638436","0.202199740450183","0.352098828826689"
