"plj0046","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","(Married) couple without C. ","Rural Area","575","0.430588305173514","0.404463512400943","0.456713097946086"
"Big worries","1999","(Married) couple without C. ","Urban Area","1030","0.400648447366675","0.382353505501589","0.418943389231761"
"Big worries","1999","1-pers.-HH","Rural Area","167","0.373244812074751","0.330199775572147","0.416289848577355"
"Big worries","1999","1-pers.-HH","Urban Area","383","0.344939525841359","0.317988436915582","0.371890614767135"
"Big worries","1999","Couple + C. GT 16 ","Rural Area","347","0.377645159665611","0.346164059610212","0.40912625972101"
"Big worries","1999","Couple + C. GT 16 ","Urban Area","495","0.345776034460697","0.322390526289842","0.369161542631552"
"Big worries","1999","Couple + C. LE 16 ","Rural Area","372","0.368895614961161","0.339457459960183","0.398333769962139"
"Big worries","1999","Couple + C. LE 16 ","Urban Area","604","0.297527264589255","0.2774661636923","0.31758836548621"
"Big worries","1999","Couple + C. LE and GT 16","Rural Area","176","0.372683933046573","0.328877418000146","0.416490448092999"
"Big worries","1999","Couple + C. LE and GT 16","Urban Area","192","0.274889634119836","0.241625495466267","0.308153772773404"
"Big worries","1999","Single parent ","Rural Area","93","0.321798601475899","0.264683237857268","0.378913965094529"
"Big worries","1999","Single parent ","Urban Area","152","0.37394027053898","0.32953089429975","0.41834964677821"
"No worries","1999","(Married) couple without C. ","Rural Area","139","0.0934650329537793","0.0781073601825098","0.108822705725049"
"No worries","1999","(Married) couple without C. ","Urban Area","513","0.168743020609635","0.154760384797945","0.182725656421324"
"No worries","1999","1-pers.-HH","Rural Area","77","0.154531060606079","0.122362328574833","0.186699792637324"
"No worries","1999","1-pers.-HH","Urban Area","273","0.220079824042013","0.196590023389057","0.243569624694969"
"No worries","1999","Couple + C. GT 16 ","Rural Area","149","0.168634024803139","0.144319956718035","0.192948092888242"
"No worries","1999","Couple + C. GT 16 ","Urban Area","379","0.20878102272748","0.188797134114154","0.228764911340805"
"No worries","1999","Couple + C. LE 16 ","Rural Area","172","0.171411784000294","0.148418661340352","0.194404906660235"
