"plj0046","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","Baden-Württemberg","Employed","358","0.358324763906917","0.330154133871202","0.386495393942631"
"Big worries","1999","Baden-Württemberg","Not Employed","184","0.345818895063113","0.308440017488789","0.383197772637436"
"Big worries","1999","Bavaria","Employed","405","0.322757321737562","0.296137868759026","0.349376774716097"
"Big worries","1999","Bavaria","Not Employed","220","0.419901599695393","0.380703587543397","0.459099611847388"
"Big worries","1999","Berlin","Employed","132","0.391973472522598","0.338815894190013","0.445131050855182"
"Big worries","1999","Berlin","Not Employed","76","0.406853049122385","0.337002274089569","0.4767038241552"
"Big worries","1999","Brandenburg","Employed","140","0.350787166863269","0.302357768757097","0.399216564969441"
"Big worries","1999","Brandenburg","Not Employed","86","0.365741197274229","0.303360454351833","0.428121940196625"
"Big worries","1999","Bremen","Employed","15","","",""
"Big worries","1999","Bremen","Not Employed","20","","",""
"Big worries","1999","Hamburg","Employed","28","","",""
"Big worries","1999","Hamburg","Not Employed","19","","",""
"Big worries","1999","Hesse","Employed","166","0.316738579584942","0.27841343450463","0.355063724665254"
"Big worries","1999","Hesse","Not Employed","107","0.367632162336828","0.315292498725619","0.419971825948038"
"Big worries","1999","Lower Saxony","Employed","242","0.319754001085621","0.286683376024766","0.352824626146475"
"Big worries","1999","Lower Saxony","Not Employed","165","0.486847872856796","0.438229011964636","0.535466733748955"
"Big worries","1999","Mecklenburg-Western Pomerania","Employed","79","0.316772368224957","0.26107469526061","0.372470041189305"
"Big worries","1999","Mecklenburg-Western Pomerania","Not Employed","41","0.284184840824232","0.207819447766349","0.360550233882115"
"Big worries","1999","North Rhine-Westphalia","Employed","584","0.337611674141914","0.31530848410575","0.359914864178077"
"Big worries","1999","North Rhine-Westphalia","Not Employed","362","0.398982528943345","0.368354938226649","0.42961011966004"
"Big worries","1999","Rhineland-Palatinate,Saarland","Employed","145","0.34348886100021","0.300557313763546","0.386420408236874"
"Big worries","1999","Rhineland-Palatinate,Saarland","Not Employed","74","0.246401525418943","0.197720855669093","0.295082195168793"
"Big worries","1999","Saxony-Anhalt","Employed","170","0.433909936758651","0.386790923216788","0.481028950300515"
"Big worries","1999","Saxony-Anhalt","Not Employed","102","0.422353426991252","0.362883929904131","0.481822924078373"
