"plj0046","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1999","Schleswig-Holstein","West Germany","72","0.280201989514221","0.231525960315801","0.32887801871264","1"
"Big worries","1999","Schleswig-Holstein","East Germany","","","","","1"
"Big worries","1999","Hamburg","West Germany","47","0.425919447812692","0.343715846614871","0.508123049010512","1"
"Big worries","1999","Hamburg","East Germany","","","","","1"
"Big worries","1999","Lower Saxony","West Germany","407","0.38733660007923","0.359423350640557","0.415249849517903","1"
"Big worries","1999","Lower Saxony","East Germany","","","","","1"
"Big worries","1999","Bremen","West Germany","35","0.470512838793495","0.365022588783115","0.576003088803875","1"
"Big worries","1999","Bremen","East Germany","","","","","1"
"Big worries","1999","North Rhine-Westphalia","West Germany","946","0.361531621776524","0.343439628008541","0.379623615544507","1"
"Big worries","1999","North Rhine-Westphalia","East Germany","","","","","1"
"Big worries","1999","Hesse","West Germany","273","0.338294964224665","0.307246104859116","0.369343823590215","1"
"Big worries","1999","Hesse","East Germany","","","","","1"
"Big worries","1999","Rhineland-Palatinate,Saarland","West Germany","219","0.300002481925217","0.267655663110554","0.332349300739881","1"
"Big worries","1999","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Big worries","1999","Baden-Württemberg","West Germany","542","0.353231092841854","0.330740423498196","0.375721762185511","1"
"Big worries","1999","Baden-Württemberg","East Germany","","","","","1"
"Big worries","1999","Bavaria","West Germany","625","0.360511723695972","0.338293319593042","0.382730127798902","1"
"Big worries","1999","Bavaria","East Germany","","","","","1"
"Big worries","1999","Berlin","West Germany","108","0.360531168532818","0.305173184208218","0.415889152857418","1"
"Big worries","1999","Berlin","East Germany","100","0.461132191963038","0.395997753611528","0.526266630314547","1"
"Big worries","1999","Brandenburg","West Germany","","","","","1"
"Big worries","1999","Brandenburg","East Germany","226","0.357113885945379","0.318838441982772","0.395389329907986","1"
"Big worries","1999","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Big worries","1999","Mecklenburg-Western Pomerania","East Germany","120","0.30312578170212","0.258197097360924","0.348054466043317","1"
"Big worries","1999","Saxony","West Germany","","","","","1"
"Big worries","1999","Saxony","East Germany","481","0.416655900652501","0.388223844259546","0.445087957045456","1"
"Big worries","1999","Saxony-Anhalt","West Germany","","","","","1"
"Big worries","1999","Saxony-Anhalt","East Germany","272","0.428518336396449","0.391594280400293","0.465442392392606","1"
"Big worries","1999","Thuringia","West Germany","","","","","1"
"Big worries","1999","Thuringia","East Germany","258","0.351890313841495","0.317055988427885","0.386724639255105","1"
"No worries","1999","Hamburg","West Germany","42","0.244483020354027","0.173035500695307","0.315930540012748","3"
"No worries","1999","Schleswig-Holstein","East Germany","","","","","3"
"No worries","1999","Brandenburg","East Germany","82","0.137681234940369","0.110156627086036","0.165205842794702","3"
"No worries","1999","Hesse","West Germany","195","0.197399671331693","0.171278746881122","0.223520595782263","3"
"No worries","1999","Hesse","East Germany","","","","","3"
"No worries","1999","Schleswig-Holstein","West Germany","97","0.229490841925826","0.183913835477215","0.275067848374438","3"
"No worries","1999","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"No worries","1999","Baden-Württemberg","East Germany","","","","","3"
"No worries","1999","Bavaria","East Germany","","","","","3"
"No worries","1999","Brandenburg","West Germany","","","","","3"
"No worries","1999","Berlin","East Germany","38","0.170418982790453","0.121289157559074","0.219548808021832","3"
"No worries","1999","Bavaria","West Germany","365","0.188439502846408","0.170343473315112","0.206535532377705","3"
"No worries","1999","Berlin","West Germany","74","0.228772926377211","0.180345363144308","0.277200489610113","3"
"No worries","1999","Lower Saxony","West Germany","222","0.172210420289056","0.150576020492832","0.19384482008528","3"
"No worries","1999","Lower Saxony","East Germany","","","","","3"
"No worries","1999","Bremen","West Germany","18","","","","3"
"No worries","1999","Bremen","East Germany","","","","","3"
"No worries","1999","North Rhine-Westphalia","West Germany","548","0.195369694065356","0.180439330621327","0.210300057509386","3"
"No worries","1999","North Rhine-Westphalia","East Germany","","","","","3"
"No worries","1999","Rhineland-Palatinate,Saarland","West Germany","152","0.176434389577389","0.149527616047009","0.203341163107769","3"
"No worries","1999","Hamburg","East Germany","","","","","3"
"No worries","1999","Baden-Württemberg","West Germany","361","0.191761702593406","0.173237095621521","0.210286309565291","3"
"No worries","1999","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"No worries","1999","Mecklenburg-Western Pomerania","East Germany","54","0.128926574563657","0.0961673457998685","0.161685803327445","3"
"No worries","1999","Saxony","West Germany","","","","","3"
