"plj0046","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","(0) in school","79","0.261611504979708","0.213152395392063","0.310070614567354"
"Big worries","1999","(1a) inadequately completed","124","0.328581393747721","0.286162844882072","0.37099994261337"
"Big worries","1999","(1b) general elementary school","688","0.398301636615092","0.376522995220912","0.420080278009271"
"Big worries","1999","(1c) basic vocational qualification","1698","0.427319202024999","0.412180704363782","0.442457699686217"
"Big worries","1999","(2a) intermediate vocational","1118","0.386451052760019","0.368558232032671","0.404343873487368"
"Big worries","1999","(2b) intermediate general qualification","185","0.352084675081127","0.311574870347803","0.392594479814452"
"Big worries","1999","(2c_gen) general maturity certificate","89","0.171742363238009","0.137896129970232","0.205588596505787"
"Big worries","1999","(2c_voc) vocational maturity certificate","176","0.283147656034796","0.249109823352625","0.317185488716968"
"Big worries","1999","(3a) lower tertiary education","272","0.274012660134422","0.245695383806391","0.302329936462454"
"Big worries","1999","(3b) higher tertiary education","186","0.20090966327754","0.176235540544578","0.225583786010501"
"No worries","1999","(0) in school","96","0.301434929991754","0.250840259596522","0.352029600386987"
"No worries","1999","(1a) inadequately completed","138","0.289829266170419","0.248856985263669","0.330801547077169"
"No worries","1999","(1b) general elementary school","368","0.15904118226299","0.142771559419673","0.175310805106306"
"No worries","1999","(1c) basic vocational qualification","517","0.115140504291173","0.105372598000186","0.124908410582161"
"No worries","1999","(2a) intermediate vocational","391","0.148646590345965","0.135574670644043","0.161718510047886"
"No worries","1999","(2b) intermediate general qualification","100","0.183620661942877","0.150782091777958","0.216459232107796"
"No worries","1999","(2c_gen) general maturity certificate","179","0.39971140882958","0.355752974231068","0.443669843428093"
"No worries","1999","(2c_voc) vocational maturity certificate","186","0.272966976990199","0.239310187779831","0.306623766200568"
"No worries","1999","(3a) lower tertiary education","192","0.217383076934971","0.191195873388495","0.243570280481447"
"No worries","1999","(3b) higher tertiary education","392","0.389037176836238","0.359014714197965","0.419059639474511"
"Some worries","1999","(0) in school","141","0.436953565028537","0.382265280605249","0.491641849451826"
"Some worries","1999","(1a) inadequately completed","209","0.38158934008186","0.337718673017666","0.425460007146055"
"Some worries","1999","(1b) general elementary school","885","0.442657181121919","0.420560335309795","0.464754026934043"
"Some worries","1999","(1c) basic vocational qualification","1887","0.457540293683827","0.442294547733728","0.472786039633927"
"Some worries","1999","(2a) intermediate vocational","1336","0.464902356894016","0.446574809609271","0.48322990417876"
"Some worries","1999","(2b) intermediate general qualification","249","0.464294662975996","0.421994962240122","0.506594363711869"
"Some worries","1999","(2c_gen) general maturity certificate","209","0.42854622793241","0.384136481673792","0.472955974191029"
"Some worries","1999","(2c_voc) vocational maturity certificate","311","0.443885366975004","0.406348490213805","0.481422243736204"
"Some worries","1999","(3a) lower tertiary education","489","0.508604262930606","0.476864233071932","0.540344292789281"
"Some worries","1999","(3b) higher tertiary education","435","0.410053159886222","0.379765209204343","0.440341110568101"
"Big worries","2000","(0) in school","83","0.168713319789778","0.135554417309235","0.201872222270321"
"Big worries","2000","(1a) inadequately completed","97","0.263621343529745","0.221128680841738","0.306114006217753"
"Big worries","2000","(1b) general elementary school","854","0.318335960430889","0.301230691413047","0.335441229448731"
"Big worries","2000","(1c) basic vocational qualification","2699","0.358568653772545","0.347891426429384","0.369245881115705"
"Big worries","2000","(2a) intermediate vocational","1947","0.34311961853916","0.330605775108528","0.355633461969791"
"Big worries","2000","(2b) intermediate general qualification","220","0.302912785949194","0.269463916083575","0.336361655814813"
"Big worries","2000","(2c_gen) general maturity certificate","118","0.133559327843112","0.110304201147757","0.156814454538466"
