"plj0046","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","16-34 y.","no migration background","1142","0.334078973847093","0.318261938127228","0.349896009566958"
"Big worries","1999","16-34 y.","direct migration background","124","0.188167383116276","0.15783942496258","0.218495341269972"
"Big worries","1999","16-34 y.","indirect migration background","134","0.275396764691691","0.237995407386409","0.312798121996973"
"Big worries","1999","35-65 y.","no migration background","2277","0.385571558819793","0.373160295249267","0.39798282239032"
"Big worries","1999","35-65 y.","direct migration background","323","0.248166551714292","0.224934824576216","0.271398278852368"
"Big worries","1999","35-65 y.","indirect migration background","","","",""
"Big worries","1999","66 and older","no migration background","635","0.42426513567304","0.399739756586559","0.44879051475952"
"Big worries","1999","66 and older","direct migration background","82","0.415924275626633","0.354949116428761","0.476899434824505"
"Big worries","1999","66 and older","indirect migration background","","","",""
"Some worries","1999","16-34 y.","no migration background","1578","0.458960053633599","0.442249483421493","0.475670623845705"
"Some worries","1999","16-34 y.","direct migration background","294","0.468008162462281","0.429289802786971","0.506726522137592"
"Some worries","1999","16-34 y.","indirect migration background","257","0.446608960309979","0.404985556794486","0.488232363825473"
"Some worries","1999","35-65 y.","no migration background","2713","0.453226545869644","0.440532816706039","0.465920275033249"
"Some worries","1999","35-65 y.","direct migration background","628","0.457286737821113","0.430493291790681","0.484080183851545"
"Some worries","1999","35-65 y.","indirect migration background","","","",""
"Some worries","1999","66 and older","no migration background","719","0.452353208574251","0.427654462614715","0.477051954533788"
"Some worries","1999","66 and older","direct migration background","112","0.405614545503818","0.34487072869965","0.466358362307985"
"Some worries","1999","66 and older","indirect migration background","","","",""
"No worries","1999","16-34 y.","no migration background","696","0.206960972519308","0.193375314803583","0.220546630235033"
"No worries","1999","16-34 y.","direct migration background","220","0.343824454421442","0.306967779390492","0.380681129452393"
"No worries","1999","16-34 y.","indirect migration background","157","0.277994274998329","0.240484361857956","0.315504188138703"
"No worries","1999","35-65 y.","no migration background","918","0.161201895310562","0.151825376272032","0.170578414349092"
"No worries","1999","35-65 y.","direct migration background","377","0.294546710464595","0.270030108658347","0.319063312270842"
"No worries","1999","35-65 y.","indirect migration background","","","",""
"No worries","1999","66 and older","no migration background","206","0.123381655752709","0.107061798108576","0.139701513396842"
"No worries","1999","66 and older","direct migration background","57","0.178461178869549","0.131091858442402","0.225830499296697"
"No worries","1999","66 and older","indirect migration background","","","",""
"Big worries","2000","16-34 y.","no migration background","1615","0.28837935367359","0.276267639537176","0.300491067810004"
"Big worries","2000","16-34 y.","direct migration background","144","0.145436567650691","0.123319265911103","0.167553869390278"
"Big worries","2000","16-34 y.","indirect migration background","119","0.183222388473602","0.154646289325817","0.211798487621388"
"Big worries","2000","35-65 y.","no migration background","3719","0.335118579914914","0.326409958321845","0.343827201507982"
"Big worries","2000","35-65 y.","direct migration background","357","0.178861177796605","0.161886244237168","0.195836111356042"
"Big worries","2000","35-65 y.","indirect migration background","","","",""
"Big worries","2000","66 and older","no migration background","1015","0.319202671266527","0.303081280581223","0.335324061951832"
