"plj0046","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1999","Full Time","Female","640","0.345486133200186","0.324385562933086","0.366586703467286","1"
"Big worries","1999","Full Time","Male","1394","0.351685313591782","0.336670407315719","0.366700219867845","1"
"Big worries","1999","Not Working","Female","1090","0.372442149770534","0.355670609652655","0.389213689888414","1"
"Big worries","1999","Not Working","Male","622","0.399927017558954","0.376935520019316","0.422918515098593","1"
"Big worries","1999","Part Time","Female","637","0.338228330922476","0.317170275561615","0.359286386283336","1"
"Big worries","1999","Part Time","Male","348","0.349677970930376","0.320077482223088","0.379278459637664","1"
"No worries","1999","Not Working","Female","613","0.162303320798897","0.149511753812346","0.175094887785447","3"
"No worries","1999","Not Working","Male","337","0.169792642187057","0.152171763022462","0.187413521351653","3"
"No worries","1999","Full Time","Male","769","0.205442947024376","0.192738354480016","0.218147539568736","3"
"No worries","1999","Part Time","Male","227","0.222144112331154","0.196341273653456","0.247946951008852","3"
"No worries","1999","Full Time","Female","345","0.19474621220292","0.177174246205313","0.212318178200528","3"
"No worries","1999","Part Time","Female","357","0.174878314290252","0.157970550717737","0.191786077862767","3"
"Some worries","1999","Full Time","Male","1722","0.442871739383842","0.427252166361235","0.45849131240645","2"
"Some worries","1999","Not Working","Female","1489","0.465254529430569","0.447950967488748","0.48255809137239","2"
"Some worries","1999","Part Time","Male","422","0.42817791673847","0.397463441058235","0.458892392418705","2"
"Some worries","1999","Not Working","Male","785","0.430280340253988","0.40704327885433","0.453517401653647","2"
"Some worries","1999","Full Time","Female","966","0.459767654596894","0.43765306137786","0.481882247815928","2"
"Some worries","1999","Part Time","Female","945","0.486893354787272","0.464645920650895","0.50914078892365","2"
"Big worries","2000","Full Time","Female","994","0.309388202512876","0.293564340485073","0.325212064540679","1"
"Big worries","2000","Full Time","Male","2103","0.310308198302181","0.299240781299506","0.321375615304857","1"
"Big worries","2000","Not Working","Female","1607","0.29379544604618","0.281962212607743","0.305628679484617","1"
"Big worries","2000","Not Working","Male","975","0.310671182116041","0.294763631687398","0.326578732544683","1"
"Big worries","2000","Part Time","Female","930","0.263031197187617","0.248415734035142","0.277646660340092","1"
"Big worries","2000","Part Time","Male","461","0.299983305012896","0.277228815012707","0.322737795013086","1"
