"plj0046","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","1-pers.-HH","(0) in school","","","",""
"Big worries","1999","1-pers.-HH","(1a) inadequately completed","9","","",""
"Big worries","1999","1-pers.-HH","(1b) general elementary school","131","0.420835264193122","0.3682813146702","0.473389213716044"
"Big worries","1999","1-pers.-HH","(1c) basic vocational qualification","180","0.371183265980846","0.328878873005602","0.413487658956089"
"Big worries","1999","1-pers.-HH","(2b) intermediate general qualification","21","","",""
"Big worries","1999","1-pers.-HH","(2a) intermediate vocational","112","0.369542045645183","0.317226084540049","0.421858006750317"
"Big worries","1999","1-pers.-HH","(2c_gen) general maturity certificate","12","","",""
"Big worries","1999","1-pers.-HH","(2c_voc) vocational maturity certificate","26","","",""
"Big worries","1999","1-pers.-HH","(3a) lower tertiary education","28","","",""
"Big worries","1999","1-pers.-HH","(3b) higher tertiary education","22","","",""
"Big worries","1999","(Married) couple without C. ","(0) in school","1","","",""
"Big worries","1999","(Married) couple without C. ","(1a) inadequately completed","29","","",""
"Big worries","1999","(Married) couple without C. ","(1b) general elementary school","232","0.421648046839436","0.381424537449055","0.461871556229816"
"Big worries","1999","(Married) couple without C. ","(1c) basic vocational qualification","732","0.464631826501396","0.440277222462177","0.488986430540616"
"Big worries","1999","(Married) couple without C. ","(2b) intermediate general qualification","33","0.399644066409154","0.296717009911832","0.502571122906476"
"Big worries","1999","(Married) couple without C. ","(2a) intermediate vocational","317","0.448189746001905","0.412237149320736","0.484142342683074"
"Big worries","1999","(Married) couple without C. ","(2c_gen) general maturity certificate","13","","",""
"Big worries","1999","(Married) couple without C. ","(2c_voc) vocational maturity certificate","50","0.297903611476134","0.234040329775919","0.361766893176349"
"Big worries","1999","(Married) couple without C. ","(3a) lower tertiary education","110","0.359803235168349","0.307942411316615","0.411664059020082"
"Big worries","1999","(Married) couple without C. ","(3b) higher tertiary education","66","0.220241901669299","0.175530216131054","0.264953587207545"
"Big worries","1999","Single parent ","(0) in school","12","","",""
"Big worries","1999","Single parent ","(1a) inadequately completed","5","","",""
"Big worries","1999","Single parent ","(1b) general elementary school","47","0.378370225784909","0.2943531644557","0.462387287114119"
"Big worries","1999","Single parent ","(1c) basic vocational qualification","74","0.451580282702383","0.377423811511742","0.525736753893025"
"Big worries","1999","Single parent ","(2b) intermediate general qualification","19","","",""
"Big worries","1999","Single parent ","(2a) intermediate vocational","53","0.355646751871379","0.277729159544618","0.433564344198139"
"Big worries","1999","Single parent ","(2c_gen) general maturity certificate","5","","",""
"Big worries","1999","Single parent ","(2c_voc) vocational maturity certificate","5","","",""
"Big worries","1999","Single parent ","(3a) lower tertiary education","5","","",""
"Big worries","1999","Single parent ","(3b) higher tertiary education","10","","",""
"Big worries","1999","Couple + C. LE 16 ","(0) in school","","","",""
"Big worries","1999","Couple + C. LE 16 ","(1a) inadequately completed","26","","",""
"Big worries","1999","Couple + C. LE 16 ","(1b) general elementary school","90","0.376783954352585","0.320024973550308","0.433542935154863"
"Big worries","1999","Couple + C. LE 16 ","(1c) basic vocational qualification","288","0.381366707471969","0.347323321604952","0.415410093338987"
"Big worries","1999","Couple + C. LE 16 ","(2b) intermediate general qualification","27","","",""
"Big worries","1999","Couple + C. LE 16 ","(2a) intermediate vocational","353","0.346935271222612","0.316227409083965","0.377643133361259"
"Big worries","1999","Couple + C. LE 16 ","(2c_gen) general maturity certificate","13","","",""
"Big worries","1999","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","56","0.251965562880105","0.195364412055473","0.308566713704737"
"Big worries","1999","Couple + C. LE 16 ","(3a) lower tertiary education","49","0.162864408453752","0.115351119395966","0.210377697511537"
"Big worries","1999","Couple + C. LE 16 ","(3b) higher tertiary education","41","0.190802498048944","0.143758958681627","0.237846037416262"
"Big worries","1999","Couple + C. GT 16 ","(0) in school","32","0.205761715900575","0.139503800600788","0.272019631200363"
"Big worries","1999","Couple + C. GT 16 ","(1a) inadequately completed","36","0.289416831361727","0.212918747480331","0.365914915243124"
"Big worries","1999","Couple + C. GT 16 ","(1b) general elementary school","114","0.377787242326742","0.327634582978894","0.42793990167459"
"Big worries","1999","Couple + C. GT 16 ","(1c) basic vocational qualification","278","0.438581746925669","0.40052251310386","0.476640980747479"
"Big worries","1999","Couple + C. GT 16 ","(2b) intermediate general qualification","49","0.315734797915164","0.241351417136065","0.390118178694263"
"Big worries","1999","Couple + C. GT 16 ","(2a) intermediate vocational","172","0.393646157873395","0.347628954852953","0.439663360893838"
"Big worries","1999","Couple + C. GT 16 ","(2c_gen) general maturity certificate","38","0.242144319828216","0.174486479844253","0.309802159812179"
"Big worries","1999","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","20","","",""
"Big worries","1999","Couple + C. GT 16 ","(3a) lower tertiary education","51","0.344565102997585","0.26747971037323","0.421650495621939"
"Big worries","1999","Couple + C. GT 16 ","(3b) higher tertiary education","28","","",""
"Big worries","1999","Couple + C. LE and GT 16","(0) in school","33","0.252611021542866","0.176742379534807","0.328479663550926"
"Big worries","1999","Couple + C. LE and GT 16","(1a) inadequately completed","9","","",""
"Big worries","1999","Couple + C. LE and GT 16","(1b) general elementary school","43","0.312483442706591","0.239278093481532","0.385688791931651"
"Big worries","1999","Couple + C. LE and GT 16","(1c) basic vocational qualification","89","0.408405659846483","0.34460303459545","0.472208285097516"
"Big worries","1999","Couple + C. LE and GT 16","(2b) intermediate general qualification","34","0.298097260962556","0.208889042675568","0.387305479249545"
"Big worries","1999","Couple + C. LE and GT 16","(2a) intermediate vocational","89","0.364277254825573","0.30181314286017","0.426741366790977"
"Big worries","1999","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","7","","",""
"Big worries","1999","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","13","","",""
"Big worries","1999","Couple + C. LE and GT 16","(3a) lower tertiary education","20","","",""
"Big worries","1999","Couple + C. LE and GT 16","(3b) higher tertiary education","17","","",""
"Some worries","1999","1-pers.-HH","(0) in school","","","",""
"Some worries","1999","1-pers.-HH","(1a) inadequately completed","13","","",""
"Some worries","1999","1-pers.-HH","(1b) general elementary school","150","0.41295685735747","0.360544270793778","0.465369443921161"
"Some worries","1999","1-pers.-HH","(1c) basic vocational qualification","249","0.494844926308844","0.451064886853004","0.538624965764684"
"Some worries","1999","1-pers.-HH","(2b) intermediate general qualification","27","","",""
"Some worries","1999","1-pers.-HH","(2a) intermediate vocational","154","0.435831169773117","0.382086190194201","0.489576149352033"
"Some worries","1999","1-pers.-HH","(2c_gen) general maturity certificate","28","","",""
"Some worries","1999","1-pers.-HH","(2c_voc) vocational maturity certificate","35","0.412499780034618","0.312982146175165","0.512017413894071"
"Some worries","1999","1-pers.-HH","(3a) lower tertiary education","52","0.471273023250721","0.379236353817734","0.563309692683708"
"Some worries","1999","1-pers.-HH","(3b) higher tertiary education","52","0.402955005732026","0.315918793196485","0.489991218267568"
"Some worries","1999","(Married) couple without C. ","(0) in school","1","","",""
"Some worries","1999","(Married) couple without C. ","(1a) inadequately completed","53","0.415959925343318","0.325876220172911","0.506043630513726"
"Some worries","1999","(Married) couple without C. ","(1b) general elementary school","269","0.455772494582425","0.415205474314893","0.496339514849957"
"Some worries","1999","(Married) couple without C. ","(1c) basic vocational qualification","719","0.444714623680107","0.420448570540519","0.468980676819694"
"Some worries","1999","(Married) couple without C. ","(2b) intermediate general qualification","41","0.490426397661143","0.385380560887742","0.595472234434544"
"Some worries","1999","(Married) couple without C. ","(2a) intermediate vocational","330","0.42883612449011","0.393056937439534","0.464615311540686"
"Some worries","1999","(Married) couple without C. ","(2c_gen) general maturity certificate","31","0.338052127108481","0.233072621871368","0.443031632345594"
"Some worries","1999","(Married) couple without C. ","(2c_voc) vocational maturity certificate","99","0.45596016797325","0.386410705252679","0.525509630693822"
"Some worries","1999","(Married) couple without C. ","(3a) lower tertiary education","164","0.499173347497419","0.445145265187356","0.553201429807483"
"Some worries","1999","(Married) couple without C. ","(3b) higher tertiary education","135","0.389697553409794","0.337080379749966","0.442314727069621"
"Some worries","1999","Single parent ","(0) in school","14","","",""
"Some worries","1999","Single parent ","(1a) inadequately completed","13","","",""
"Some worries","1999","Single parent ","(1b) general elementary school","59","0.473939274873903","0.387438022415236","0.560440527332569"
"Some worries","1999","Single parent ","(1c) basic vocational qualification","71","0.393022396528493","0.320241060676564","0.465803732380422"
"Some worries","1999","Single parent ","(2b) intermediate general qualification","23","","",""
"Some worries","1999","Single parent ","(2a) intermediate vocational","68","0.489323879033178","0.407959358366056","0.5706883997003"
"Some worries","1999","Single parent ","(2c_gen) general maturity certificate","16","","",""
"Some worries","1999","Single parent ","(2c_voc) vocational maturity certificate","10","","",""
"Some worries","1999","Single parent ","(3a) lower tertiary education","23","","",""
"Some worries","1999","Single parent ","(3b) higher tertiary education","19","","",""
"Some worries","1999","Couple + C. LE 16 ","(0) in school","2","","",""
"Some worries","1999","Couple + C. LE 16 ","(1a) inadequately completed","28","","",""
"Some worries","1999","Couple + C. LE 16 ","(1b) general elementary school","129","0.443224252897887","0.385037919864517","0.501410585931257"
"Some worries","1999","Couple + C. LE 16 ","(1c) basic vocational qualification","379","0.490607848765231","0.455569947466013","0.525645750064448"
"Some worries","1999","Couple + C. LE 16 ","(2b) intermediate general qualification","38","0.474601045468931","0.362334530237038","0.586867560700823"
"Some worries","1999","Couple + C. LE 16 ","(2a) intermediate vocational","439","0.50666995298438","0.474416323000533","0.538923582968227"
"Some worries","1999","Couple + C. LE 16 ","(2c_gen) general maturity certificate","37","0.606015418328714","0.489013727026387","0.723017109631041"
"Some worries","1999","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","108","0.47760912503067","0.412487088982429","0.54273116107891"
"Some worries","1999","Couple + C. LE 16 ","(3a) lower tertiary education","126","0.563589936183422","0.499773420004572","0.627406452362271"
"Some worries","1999","Couple + C. LE 16 ","(3b) higher tertiary education","116","0.40484481131394","0.346076921750549","0.463612700877331"
"Some worries","1999","Couple + C. GT 16 ","(0) in school","64","0.447056569237875","0.365567067157825","0.528546071317925"
"Some worries","1999","Couple + C. GT 16 ","(1a) inadequately completed","61","0.45707901124322","0.373046921851471","0.541111100634969"
"Some worries","1999","Couple + C. GT 16 ","(1b) general elementary school","167","0.462295097245055","0.41072089621655","0.513869298273561"
"Some worries","1999","Couple + C. GT 16 ","(1c) basic vocational qualification","279","0.421869506042492","0.383990942048406","0.459748070036577"
"Some worries","1999","Couple + C. GT 16 ","(2b) intermediate general qualification","68","0.458116377212187","0.378382408178449","0.537850346245925"
"Some worries","1999","Couple + C. GT 16 ","(2a) intermediate vocational","203","0.465084533069463","0.418104570218864","0.512064495920062"
"Some worries","1999","Couple + C. GT 16 ","(2c_gen) general maturity certificate","63","0.425335659855832","0.347251893645263","0.5034194260664"
"Some worries","1999","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","37","0.429907783485264","0.321424378656885","0.538391188313644"
"Some worries","1999","Couple + C. GT 16 ","(3a) lower tertiary education","68","0.451473993464981","0.370752972944268","0.532195013985694"
"Some worries","1999","Couple + C. GT 16 ","(3b) higher tertiary education","74","0.446057545212666","0.368793525388268","0.523321565037064"
"Some worries","1999","Couple + C. LE and GT 16","(0) in school","58","0.489020567207607","0.401737883548485","0.576303250866729"
"Some worries","1999","Couple + C. LE and GT 16","(1a) inadequately completed","21","","",""
"Some worries","1999","Couple + C. LE and GT 16","(1b) general elementary school","67","0.413796042370305","0.336009356248454","0.491582728492157"
"Some worries","1999","Couple + C. LE and GT 16","(1c) basic vocational qualification","118","0.518284110596408","0.453426626074238","0.583141595118578"
"Some worries","1999","Couple + C. LE and GT 16","(2b) intermediate general qualification","47","0.477517355122102","0.380104130696467","0.574930579547737"
"Some worries","1999","Couple + C. LE and GT 16","(2a) intermediate vocational","118","0.500327772106389","0.435426893146452","0.565228651066327"
"Some worries","1999","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","27","","",""
"Some worries","1999","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","17","","",""
"Some worries","1999","Couple + C. LE and GT 16","(3a) lower tertiary education","41","0.377863628933951","0.265870292210608","0.489856965657294"
"Some worries","1999","Couple + C. LE and GT 16","(3b) higher tertiary education","25","","",""
"No worries","1999","1-pers.-HH","(0) in school","","","",""
"No worries","1999","1-pers.-HH","(1a) inadequately completed","7","","",""
"No worries","1999","1-pers.-HH","(1b) general elementary school","58","0.166207878449408","0.126579806893978","0.205835950004838"
"No worries","1999","1-pers.-HH","(1c) basic vocational qualification","72","0.13397180771031","0.104145331204156","0.163798284216464"
"No worries","1999","1-pers.-HH","(2b) intermediate general qualification","7","","",""
"No worries","1999","1-pers.-HH","(2a) intermediate vocational","61","0.1946267845817","0.151715243702339","0.237538325461061"
"No worries","1999","1-pers.-HH","(2c_gen) general maturity certificate","30","0.461298988413284","0.344520132087415","0.578077844739153"
"No worries","1999","1-pers.-HH","(2c_voc) vocational maturity certificate","33","0.299805445309296","0.207183630326436","0.392427260292156"
"No worries","1999","1-pers.-HH","(3a) lower tertiary education","33","0.278692053430243","0.196025178462958","0.361358928397527"
"No worries","1999","1-pers.-HH","(3b) higher tertiary education","48","0.392236221431758","0.30559801945609","0.478874423407426"
"No worries","1999","(Married) couple without C. ","(0) in school","","","",""
"No worries","1999","(Married) couple without C. ","(1a) inadequately completed","33","0.300192139121144","0.216422192848104","0.383962085394184"
"No worries","1999","(Married) couple without C. ","(1b) general elementary school","78","0.12257945857814","0.0958665266584962","0.149292390497783"
"No worries","1999","(Married) couple without C. ","(1c) basic vocational qualification","160","0.0906535498184968","0.0766332462807522","0.104673853356241"
"No worries","1999","(Married) couple without C. ","(2b) intermediate general qualification","13","","",""
"No worries","1999","(Married) couple without C. ","(2a) intermediate vocational","88","0.122974129507985","0.0992321184912574","0.146716140524713"
"No worries","1999","(Married) couple without C. ","(2c_gen) general maturity certificate","34","0.533629677844801","0.422919836064821","0.644339519624782"
"No worries","1999","(Married) couple without C. ","(2c_voc) vocational maturity certificate","48","0.246136220550616","0.185984344001523","0.306288097099708"
"No worries","1999","(Married) couple without C. ","(3a) lower tertiary education","55","0.141023417334232","0.103414881888456","0.178631952780008"
"No worries","1999","(Married) couple without C. ","(3b) higher tertiary education","129","0.390060544920907","0.337434528565875","0.44268656127594"
"No worries","1999","Single parent ","(0) in school","10","","",""
"No worries","1999","Single parent ","(1a) inadequately completed","4","","",""
"No worries","1999","Single parent ","(1b) general elementary school","22","","",""
"No worries","1999","Single parent ","(1c) basic vocational qualification","28","","",""
"No worries","1999","Single parent ","(2b) intermediate general qualification","13","","",""
"No worries","1999","Single parent ","(2a) intermediate vocational","24","","",""
"No worries","1999","Single parent ","(2c_gen) general maturity certificate","13","","",""
"No worries","1999","Single parent ","(2c_voc) vocational maturity certificate","5","","",""
"No worries","1999","Single parent ","(3a) lower tertiary education","2","","",""
"No worries","1999","Single parent ","(3b) higher tertiary education","11","","",""
"No worries","1999","Couple + C. LE 16 ","(0) in school","","","",""
"No worries","1999","Couple + C. LE 16 ","(1a) inadequately completed","17","","",""
"No worries","1999","Couple + C. LE 16 ","(1b) general elementary school","61","0.179991792749527","0.134992620381175","0.22499096511788"
"No worries","1999","Couple + C. LE 16 ","(1c) basic vocational qualification","115","0.1280254437628","0.104607715308179","0.151443172217422"
"No worries","1999","Couple + C. LE 16 ","(2b) intermediate general qualification","11","","",""
"No worries","1999","Couple + C. LE 16 ","(2a) intermediate vocational","131","0.146394775793008","0.123589330208168","0.169200221377848"
"No worries","1999","Couple + C. LE 16 ","(2c_gen) general maturity certificate","17","","",""
"No worries","1999","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","62","0.270425312089225","0.212515464723313","0.328335159455138"
"No worries","1999","Couple + C. LE 16 ","(3a) lower tertiary education","57","0.273545655362827","0.216183802388955","0.330907508336699"
"No worries","1999","Couple + C. LE 16 ","(3b) higher tertiary education","111","0.404352690637116","0.345596253283231","0.463109127991001"
"No worries","1999","Couple + C. GT 16 ","(0) in school","47","0.34718171486155","0.269152964908885","0.425210464814214"
"No worries","1999","Couple + C. GT 16 ","(1a) inadequately completed","38","0.253504157395053","0.180122511828516","0.326885802961589"
"No worries","1999","Couple + C. GT 16 ","(1b) general elementary school","78","0.159917660428203","0.122002752302515","0.19783256855389"
"No worries","1999","Couple + C. GT 16 ","(1c) basic vocational qualification","96","0.139548747031839","0.112971034068968","0.166126459994709"
"No worries","1999","Couple + C. GT 16 ","(2b) intermediate general qualification","33","0.226148824872649","0.159202251557362","0.293095398187936"
"No worries","1999","Couple + C. GT 16 ","(2a) intermediate vocational","58","0.141269309057141","0.108463062406304","0.174075555707979"
"No worries","1999","Couple + C. GT 16 ","(2c_gen) general maturity certificate","53","0.332520020315952","0.258112685000182","0.406927355631722"
"No worries","1999","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","23","","",""
"No worries","1999","Couple + C. GT 16 ","(3a) lower tertiary education","27","","",""
"No worries","1999","Couple + C. GT 16 ","(3b) higher tertiary education","57","0.366236603322118","0.291351750781946","0.44112145586229"
"No worries","1999","Couple + C. LE and GT 16","(0) in school","35","0.258368411249527","0.181936162802038","0.334800659697015"
"No worries","1999","Couple + C. LE and GT 16","(1a) inadequately completed","24","","",""
"No worries","1999","Couple + C. LE and GT 16","(1b) general elementary school","44","0.273720514923104","0.2033009571765","0.344140072669707"
"No worries","1999","Couple + C. LE and GT 16","(1c) basic vocational qualification","21","","",""
"No worries","1999","Couple + C. LE and GT 16","(2b) intermediate general qualification","20","","",""
"No worries","1999","Couple + C. LE and GT 16","(2a) intermediate vocational","21","","",""
"No worries","1999","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","20","","",""
"No worries","1999","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","7","","",""
"No worries","1999","Couple + C. LE and GT 16","(3a) lower tertiary education","11","","",""
"No worries","1999","Couple + C. LE and GT 16","(3b) higher tertiary education","22","","",""
"Big worries","2000","1-pers.-HH","(0) in school","1","","",""
"Big worries","2000","1-pers.-HH","(1a) inadequately completed","13","","",""
"Big worries","2000","1-pers.-HH","(1b) general elementary school","153","0.321930275029615","0.280812903882401","0.363047646176829"
"Big worries","2000","1-pers.-HH","(1c) basic vocational qualification","367","0.355570720755104","0.326767501712098","0.384373939798109"
"Big worries","2000","1-pers.-HH","(2b) intermediate general qualification","22","","",""
"Big worries","2000","1-pers.-HH","(2a) intermediate vocational","220","0.304936286842042","0.271261664737501","0.338610908946582"
"Big worries","2000","1-pers.-HH","(2c_gen) general maturity certificate","17","","",""
"Big worries","2000","1-pers.-HH","(2c_voc) vocational maturity certificate","47","0.176993221495064","0.13069035686358","0.223296086126548"
"Big worries","2000","1-pers.-HH","(3a) lower tertiary education","31","0.128187864378528","0.0846036941037749","0.171772034653282"
"Big worries","2000","1-pers.-HH","(3b) higher tertiary education","42","0.14167424712466","0.102980363398312","0.180368130851009"
"Big worries","2000","(Married) couple without C. ","(0) in school","","","",""
"Big worries","2000","(Married) couple without C. ","(1a) inadequately completed","21","","",""
"Big worries","2000","(Married) couple without C. ","(1b) general elementary school","287","0.337802986596135","0.306518705145165","0.369087268047105"
