"plj0046","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","Employed","college entrance qualification","338","0.201259715829865","0.182339121984765","0.220180309674964"
"Big worries","1999","Employed","lower secondary degree","1220","0.431909656418389","0.413828303192763","0.449991009644015"
"Big worries","1999","Employed","no degree/no degree yet","76","0.360544714565435","0.302292492728484","0.418796936402385"
"Big worries","1999","Employed","Other degree","141","0.211096983811969","0.178306907270352","0.243887060353586"
"Big worries","1999","Employed","secondary school degree","1142","0.372911478173732","0.355641654294095","0.390181302053369"
"Big worries","1999","Not Employed","college entrance qualification","126","0.288176086375114","0.248635047152449","0.327717125597778"
"Big worries","1999","Not Employed","lower secondary degree","1066","0.43095960842283","0.411990229968193","0.449928986877467"
"Big worries","1999","Not Employed","no degree/no degree yet","122","0.259370105614488","0.221368826139353","0.297371385089624"
"Big worries","1999","Not Employed","Other degree","71","0.24172464731846","0.196082751180164","0.287366543456756"
"Big worries","1999","Not Employed","secondary school degree","301","0.376837279904817","0.344027467743633","0.409647092066"
"No worries","1999","Employed","college entrance qualification","602","0.353323566747818","0.330766461732297","0.375880671763339"
"No worries","1999","Employed","lower secondary degree","362","0.114811667572655","0.103174785781936","0.126448549363373"
"No worries","1999","Employed","no degree/no degree yet","73","0.266197446776155","0.212578362902221","0.319816530650089"
"No worries","1999","Employed","Other degree","178","0.352403565107641","0.314018526705067","0.390788603510215"
"No worries","1999","Employed","secondary school degree","423","0.155137780560166","0.142208560149391","0.168067000970942"
"No worries","1999","Not Employed","college entrance qualification","158","0.270573625908014","0.231788403634263","0.309358848181765"
"No worries","1999","Not Employed","lower secondary degree","335","0.115326503523314","0.103091070589658","0.127561936456969"
"No worries","1999","Not Employed","no degree/no degree yet","160","0.312464461588675","0.272277466707992","0.352651456469358"
"No worries","1999","Not Employed","Other degree","108","0.284212997881109","0.236128663058143","0.332297332704075"
"No worries","1999","Not Employed","secondary school degree","150","0.171955566591186","0.146407324523415","0.197503808658957"
"Some worries","1999","Employed","college entrance qualification","785","0.445416717422317","0.421962541149862","0.468870893694772"
"Some worries","1999","Employed","lower secondary degree","1301","0.453278676008957","0.435107149133772","0.471450202884141"
"Some worries","1999","Employed","no degree/no degree yet","112","0.37325783865841","0.314579641596467","0.431936035720354"
"Some worries","1999","Employed","Other degree","276","0.43649945108039","0.396649423085844","0.476349479074936"
"Some worries","1999","Employed","secondary school degree","1447","0.471950741266101","0.454122596079484","0.489778886452718"
"Some worries","1999","Not Employed","college entrance qualification","220","0.441250287716872","0.397900798974039","0.484599776459706"
"Some worries","1999","Not Employed","lower secondary degree","1217","0.453713888053857","0.434643286768329","0.472784489339384"
"Some worries","1999","Not Employed","no degree/no degree yet","229","0.428165432796837","0.385263323542794","0.471067542050879"
"Some worries","1999","Not Employed","Other degree","159","0.474062354800431","0.420830131615214","0.527294577985648"
"Some worries","1999","Not Employed","secondary school degree","387","0.451207153503998","0.417515813014044","0.484898493993951"
"Big worries","2000","Employed","college entrance qualification","594","0.163708811824053","0.151600120973257","0.175817502674849"
"Big worries","2000","Employed","lower secondary degree","1857","0.383085024995381","0.369566866271802","0.39660318371896"
"Big worries","2000","Employed","no degree/no degree yet","50","0.239489904612021","0.186902234769119","0.292077574454924"
"Big worries","2000","Employed","Other degree","138","0.1453339714483","0.122522924685389","0.16814501821121"
"Big worries","2000","Employed","secondary school degree","1839","0.339445191687953","0.326686137850685","0.35220424552522"
"Big worries","2000","Not Employed","college entrance qualification","207","0.189899152107577","0.166856547644339","0.212941756570814"
"Big worries","2000","Not Employed","lower secondary degree","1622","0.341172056814644","0.327898770210086","0.354445343419202"
"Big worries","2000","Not Employed","no degree/no degree yet","130","0.205554126248013","0.174511900481616","0.236596352014411"
"Big worries","2000","Not Employed","Other degree","92","0.149900701338516","0.121217589287983","0.178583813389049"
"Big worries","2000","Not Employed","secondary school degree","518","0.317231045526357","0.294781927749809","0.339680163302905"
"No worries","2000","Employed","college entrance qualification","1454","0.426640660445638","0.410455128779927","0.442826192111349"
"No worries","2000","Employed","lower secondary degree","868","0.17024032559317","0.159789161168902","0.180691490017439"
"No worries","2000","Employed","no degree/no degree yet","97","0.386555604428778","0.326551436323046","0.44655977253451"
"No worries","2000","Employed","Other degree","364","0.414253640466529","0.382371212357355","0.446136068575703"
"No worries","2000","Employed","secondary school degree","1006","0.20693166372383","0.196016054230206","0.217847273217454"
"No worries","2000","Not Employed","college entrance qualification","418","0.362712632858091","0.334467117407074","0.390958148309108"
"No worries","2000","Not Employed","lower secondary degree","879","0.17683512268541","0.166153593790222","0.187516651580598"
"No worries","2000","Not Employed","no degree/no degree yet","243","0.365489723950493","0.328497153277012","0.402482294623974"
"No worries","2000","Not Employed","Other degree","236","0.40523129831663","0.365784191870148","0.444678404763111"
"No worries","2000","Not Employed","secondary school degree","342","0.198247220101092","0.179016376110173","0.217478064092011"
"Some worries","2000","Employed","college entrance qualification","1539","0.409650527730309","0.393557277959124","0.425743777501493"
"Some worries","2000","Employed","lower secondary degree","2243","0.446674649411449","0.432850346732995","0.460498952089903"
"Some worries","2000","Employed","no degree/no degree yet","106","0.373954490959201","0.314333366958386","0.433575614960015"
"Some worries","2000","Employed","Other degree","415","0.440412388085171","0.408281166865903","0.472543609304439"
"Some worries","2000","Employed","secondary school degree","2446","0.453623144588217","0.440208691846069","0.467037597330366"
"Some worries","2000","Not Employed","college entrance qualification","488","0.447388215034332","0.418176782862665","0.476599647205999"
"Some worries","2000","Not Employed","lower secondary degree","2400","0.481992820499946","0.46800358717062","0.495982053829271"
"Some worries","2000","Not Employed","no degree/no degree yet","278","0.428956149801493","0.390937317372274","0.466974982230713"
"Some worries","2000","Not Employed","Other degree","267","0.444868000344855","0.404937631382146","0.484798369307563"
"Some worries","2000","Not Employed","secondary school degree","791","0.48452173437255","0.460415111972028","0.508628356773073"
"Big worries","2001","Employed","college entrance qualification","475","0.138645144880226","0.127003559156302","0.150286730604149"
"Big worries","2001","Employed","lower secondary degree","1365","0.310379081769666","0.296710487827879","0.324047675711453"
"Big worries","2001","Employed","no degree/no degree yet","49","0.231179727710845","0.179536260088887","0.282823195332803"
"Big worries","2001","Employed","Other degree","110","0.133257789352517","0.110024887480062","0.156490691224972"
"Big worries","2001","Employed","secondary school degree","1381","0.272588434818033","0.260088590765214","0.285088278870852"
"Big worries","2001","Not Employed","college entrance qualification","169","0.157385934433488","0.13520012762975","0.179571741237227"
"Big worries","2001","Not Employed","lower secondary degree","1222","0.289007028795963","0.275447190733234","0.302566866858692"
