"plj0046","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","college entrance qualification","Female","186","0.21084838715252","0.185553618435524","0.236143155869516"
"Big worries","1999","college entrance qualification","Male","278","0.231724956950365","0.208145146850169","0.25530476705056"
"Big worries","1999","lower secondary degree","Female","1169","0.431744643234877","0.413472987660738","0.450016298809017"
"Big worries","1999","lower secondary degree","Male","1117","0.431018086879578","0.412262105939419","0.449774067819737"
"Big worries","1999","no degree/no degree yet","Female","102","0.283760078143843","0.240949785061936","0.32657037122575"
"Big worries","1999","no degree/no degree yet","Male","96","0.307724747736356","0.259091792913745","0.356357702558968"
"Big worries","1999","Other degree","Female","90","0.21059890115809","0.172015868669585","0.249181933646595"
"Big worries","1999","Other degree","Male","122","0.231495073512559","0.194671407124797","0.268318739900321"
"Big worries","1999","secondary school degree","Female","756","0.347484125998196","0.327486327923668","0.367481924072724"
"Big worries","1999","secondary school degree","Male","687","0.407491723732189","0.383939248202481","0.431044199261897"
"No worries","1999","college entrance qualification","Female","341","0.324211162931646","0.295185320340316","0.353237005522976"
"No worries","1999","college entrance qualification","Male","419","0.339557841550209","0.313092968718316","0.366022714382102"
"No worries","1999","lower secondary degree","Female","337","0.110702577748541","0.0991282697357992","0.122276885761282"
"No worries","1999","lower secondary degree","Male","360","0.119983927978465","0.107677000415334","0.132290855541596"
"No worries","1999","no degree/no degree yet","Female","138","0.301331800300587","0.257760425550426","0.344903175050747"
"No worries","1999","no degree/no degree yet","Male","95","0.290328186749759","0.242500054591697","0.338156318907821"
"No worries","1999","Other degree","Female","125","0.278153191798442","0.23575142149362","0.320554962103264"
"No worries","1999","Other degree","Male","161","0.369574169780775","0.327433578273041","0.411714761288509"
"No worries","1999","secondary school degree","Female","319","0.157171067188302","0.141885724767429","0.172456409609176"
"No worries","1999","secondary school degree","Male","254","0.16309624771368","0.145387424731272","0.180805070696088"
"Some worries","1999","college entrance qualification","Female","472","0.464940449915834","0.434011507307936","0.495869392523732"
"Some worries","1999","college entrance qualification","Male","533","0.428717201499426","0.401060106361751","0.456374296637102"
"Some worries","1999","lower secondary degree","Female","1317","0.457552779016582","0.439175043589224","0.47593051444394"
"Some worries","1999","lower secondary degree","Male","1201","0.448997985141957","0.430159690110201","0.467836280173712"
"Some worries","1999","no degree/no degree yet","Female","186","0.414908121555571","0.368120464889833","0.461695778221309"
"Some worries","1999","no degree/no degree yet","Male","155","0.401947065513885","0.350285889805491","0.453608241222279"
"Some worries","1999","Other degree","Female","214","0.511247907043468","0.463945904015046","0.55854991007189"
"Some worries","1999","Other degree","Male","221","0.398930756706665","0.356179997076295","0.441681516337035"
"Some worries","1999","secondary school degree","Female","1103","0.495344806813502","0.474347174151482","0.516342439475522"
"Some worries","1999","secondary school degree","Male","731","0.429412028554131","0.405685818920978","0.453138238187284"
"Big worries","2000","college entrance qualification","Female","356","0.168232139833397","0.152390727080759","0.184073552586035"
"Big worries","2000","college entrance qualification","Male","447","0.172525682112977","0.15788935029589","0.187162013930064"
"Big worries","2000","lower secondary degree","Female","1735","0.349694427565462","0.336611773681475","0.362777081449449"
"Big worries","2000","lower secondary degree","Male","1744","0.373727632352692","0.359991139377153","0.387464125328231"
"Big worries","2000","no degree/no degree yet","Female","85","0.18526360513429","0.150687120587137","0.219840089681443"
"Big worries","2000","no degree/no degree yet","Male","95","0.247830258288188","0.206489715582825","0.289170800993551"
"Big worries","2000","Other degree","Female","111","0.139158646182046","0.114437576353494","0.163879716010598"
"Big worries","2000","Other degree","Male","119","0.154784542337123","0.129052473040893","0.180516611633354"
"Big worries","2000","secondary school degree","Female","1234","0.307116602196621","0.292719954976715","0.321513249416527"
"Big worries","2000","secondary school degree","Male","1123","0.367150207162959","0.349895623418005","0.384404790907912"
"No worries","2000","college entrance qualification","Female","845","0.405387460440832","0.384595734356841","0.426179186524824"
"No worries","2000","college entrance qualification","Male","1027","0.414415971304789","0.395333221239473","0.433498721370105"
"No worries","2000","lower secondary degree","Female","883","0.16768394975069","0.157434922673435","0.177932976827945"
"No worries","2000","lower secondary degree","Male","864","0.180352416039159","0.169435720396154","0.191269111682164"
"No worries","2000","no degree/no degree yet","Female","193","0.397214236511183","0.353665945357573","0.440762527664793"
"No worries","2000","no degree/no degree yet","Male","147","0.344646116207879","0.299140425288852","0.390151807126906"
"No worries","2000","Other degree","Female","289","0.393202977528207","0.358314604082918","0.428091350973496"
