"plj0046","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1999","Schleswig-Holstein","1-pers.-HH","12","","","","1"
"Big worries","1999","Schleswig-Holstein","(Married) couple without C. ","28","","","","1"
"Big worries","1999","Schleswig-Holstein","Single parent ","3","","","","1"
"Big worries","1999","Schleswig-Holstein","Couple + C. LE 16 ","14","","","","1"
"Big worries","1999","Schleswig-Holstein","Couple + C. GT 16 ","7","","","","1"
"Big worries","1999","Schleswig-Holstein","Couple + C. LE and GT 16","7","","","","1"
"Big worries","1999","Hamburg","1-pers.-HH","16","","","","1"
"Big worries","1999","Hamburg","(Married) couple without C. ","15","","","","1"
"Big worries","1999","Hamburg","Single parent ","4","","","","1"
"Big worries","1999","Hamburg","Couple + C. LE 16 ","5","","","","1"
"Big worries","1999","Hamburg","Couple + C. GT 16 ","7","","","","1"
"Big worries","1999","Hamburg","Couple + C. LE and GT 16","","","","","1"
"Big worries","1999","Lower Saxony","1-pers.-HH","51","0.436354108767391","0.352385221236052","0.52032299629873","1"
"Big worries","1999","Lower Saxony","(Married) couple without C. ","147","0.448218300195306","0.397476794947029","0.498959805443583","1"
"Big worries","1999","Lower Saxony","Single parent ","15","","","","1"
"Big worries","1999","Lower Saxony","Couple + C. LE 16 ","92","0.388404232306585","0.329161425064754","0.447647039548416","1"
"Big worries","1999","Lower Saxony","Couple + C. GT 16 ","58","0.227994559203234","0.168651504387008","0.287337614019461","1"
"Big worries","1999","Lower Saxony","Couple + C. LE and GT 16","29","","","","1"
"Big worries","1999","Bremen","1-pers.-HH","15","","","","1"
"Big worries","1999","Bremen","(Married) couple without C. ","9","","","","1"
"Big worries","1999","Bremen","Single parent ","3","","","","1"
"Big worries","1999","Bremen","Couple + C. LE 16 ","1","","","","1"
"Big worries","1999","Bremen","Couple + C. GT 16 ","7","","","","1"
"Big worries","1999","Bremen","Couple + C. LE and GT 16","","","","","1"
"Big worries","1999","North Rhine-Westphalia","1-pers.-HH","117","0.341598404360604","0.291482886342993","0.391713922378215","1"
"Big worries","1999","North Rhine-Westphalia","(Married) couple without C. ","338","0.433445648972694","0.399382018588522","0.467509279356865","1"
"Big worries","1999","North Rhine-Westphalia","Single parent ","46","0.438228767211822","0.34832345578775","0.528134078635894","1"
"Big worries","1999","North Rhine-Westphalia","Couple + C. LE 16 ","204","0.300578792649139","0.265465140127052","0.335692445171227","1"
"Big worries","1999","North Rhine-Westphalia","Couple + C. GT 16 ","162","0.356097491885944","0.31298993242126","0.399205051350628","1"
"Big worries","1999","North Rhine-Westphalia","Couple + C. LE and GT 16","58","0.230906082953869","0.176679595487914","0.285132570419824","1"
"Big worries","1999","Hesse","1-pers.-HH","25","","","","1"
"Big worries","1999","Hesse","(Married) couple without C. ","121","0.37896852841599","0.326144202575849","0.431792854256131","1"
"Big worries","1999","Hesse","Single parent ","8","","","","1"
"Big worries","1999","Hesse","Couple + C. LE 16 ","56","0.307727369937535","0.244851419696485","0.370603320178585","1"
"Big worries","1999","Hesse","Couple + C. GT 16 ","40","0.376816704677674","0.301016349581258","0.452617059774091","1"
"Big worries","1999","Hesse","Couple + C. LE and GT 16","17","","","","1"
"Big worries","1999","Rhineland-Palatinate,Saarland","1-pers.-HH","27","","","","1"
"Big worries","1999","Rhineland-Palatinate,Saarland","(Married) couple without C. ","60","0.260242339681204","0.204263253782789","0.316221425579618","1"
"Big worries","1999","Rhineland-Palatinate,Saarland","Single parent ","18","","","","1"
"Big worries","1999","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","45","0.257653541154678","0.193763492785177","0.321543589524178","1"
"Big worries","1999","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","36","0.292556621122007","0.21552899731136","0.369584244932654","1"
"Big worries","1999","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","16","","","","1"
"Big worries","1999","Baden-Württemberg","1-pers.-HH","56","0.288498342879195","0.227654321715789","0.349342364042602","1"
"Big worries","1999","Baden-Württemberg","(Married) couple without C. ","147","0.408853657682936","0.36172431342143","0.455983001944443","1"
"Big worries","1999","Baden-Württemberg","Single parent ","29","","","","1"
"Big worries","1999","Baden-Württemberg","Couple + C. LE 16 ","123","0.327669522781845","0.282620073403213","0.372718972160476","1"
"Big worries","1999","Baden-Württemberg","Couple + C. GT 16 ","122","0.4036047562338","0.352853582569826","0.454355929897773","1"
"Big worries","1999","Baden-Württemberg","Couple + C. LE and GT 16","41","0.267938214662851","0.19729819437157","0.338578234954131","1"
"Big worries","1999","Bavaria","1-pers.-HH","70","0.407619638945001","0.341316400765223","0.473922877124779","1"
"Big worries","1999","Bavaria","(Married) couple without C. ","201","0.39116500777654","0.350491153657557","0.431838861895523","1"
"Big worries","1999","Bavaria","Single parent ","30","0.247681594223799","0.16133202302366","0.334031165423938","1"
"Big worries","1999","Bavaria","Couple + C. LE 16 ","150","0.313622761846539","0.269356067743825","0.357889455949253","1"
"Big worries","1999","Bavaria","Couple + C. GT 16 ","94","0.328837861938143","0.275853311733315","0.381822412142971","1"
"Big worries","1999","Bavaria","Couple + C. LE and GT 16","59","0.379682061438933","0.30069039071485","0.458673732163016","1"
"Big worries","1999","Berlin","1-pers.-HH","35","0.329609659948239","0.241764955116341","0.417454364780138","1"
"Big worries","1999","Berlin","(Married) couple without C. ","75","0.519831733109019","0.43906778427093","0.600595681947109","1"
"Big worries","1999","Berlin","Single parent ","14","","","","1"
"Big worries","1999","Berlin","Couple + C. LE 16 ","42","0.356700590186374","0.264636575008883","0.448764605363865","1"
"Big worries","1999","Berlin","Couple + C. GT 16 ","31","0.457943167196799","0.341228005955383","0.574658328438216","1"
"Big worries","1999","Berlin","Couple + C. LE and GT 16","9","","","","1"
"Big worries","1999","Brandenburg","1-pers.-HH","20","","","","1"
"Big worries","1999","Brandenburg","(Married) couple without C. ","83","0.430926213408091","0.36051253415364","0.501339892662541","1"
"Big worries","1999","Brandenburg","Single parent ","22","","","","1"
"Big worries","1999","Brandenburg","Couple + C. LE 16 ","35","0.297236819775272","0.212212649128394","0.38226099042215","1"
"Big worries","1999","Brandenburg","Couple + C. GT 16 ","44","0.424380985196226","0.332435136495409","0.516326833897044","1"
"Big worries","1999","Brandenburg","Couple + C. LE and GT 16","17","","","","1"
"Big worries","1999","Mecklenburg-Western Pomerania","1-pers.-HH","13","","","","1"
"Big worries","1999","Mecklenburg-Western Pomerania","(Married) couple without C. ","33","0.314021640140245","0.228066059924508","0.399977220355982","1"
"Big worries","1999","Mecklenburg-Western Pomerania","Single parent ","8","","","","1"
"Big worries","1999","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","23","","","","1"
"Big worries","1999","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","19","","","","1"
"Big worries","1999","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","19","","","","1"
"Big worries","1999","Saxony","1-pers.-HH","45","0.412614115756532","0.324161963711135","0.501066267801928","1"
"Big worries","1999","Saxony","(Married) couple without C. ","170","0.437296575745794","0.387223388806338","0.48736976268525","1"
"Big worries","1999","Saxony","Single parent ","20","","","","1"
"Big worries","1999","Saxony","Couple + C. LE 16 ","97","0.406880492672714","0.344205162880765","0.469555822464664","1"
"Big worries","1999","Saxony","Couple + C. GT 16 ","102","0.446607871062361","0.383711998653266","0.509503743471455","1"
"Big worries","1999","Saxony","Couple + C. LE and GT 16","36","0.424201608791387","0.322658893121604","0.525744324461171","1"
"Big worries","1999","Saxony-Anhalt","1-pers.-HH","26","","","","1"
"Big worries","1999","Saxony-Anhalt","(Married) couple without C. ","99","0.480539922386337","0.416387810857111","0.544692033915564","1"
"Big worries","1999","Saxony-Anhalt","Single parent ","10","","","","1"
"Big worries","1999","Saxony-Anhalt","Couple + C. LE 16 ","45","0.4625030701859","0.36667853411264","0.55832760625916","1"
