"plj0046","year","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","college entrance qualification","464","0.222692641509742","0.20542065143819","0.239964631581295"
"Big worries","1999","lower secondary degree","2286","0.43140141825696","0.41831348900057","0.444489347513349"
"Big worries","1999","no degree/no degree yet","198","0.294957926887452","0.262789709573919","0.327126144200986"
"Big worries","1999","Other degree","212","0.22201447616232","0.195346892044985","0.248682060279656"
"Big worries","1999","secondary school degree","1443","0.373997215544094","0.358713109467821","0.389281321620368"
"No worries","1999","college entrance qualification","760","0.332918051412701","0.313354336608766","0.352481766216637"
"No worries","1999","lower secondary degree","697","0.115087084476036","0.10665391497378","0.123520253978292"
"No worries","1999","no degree/no degree yet","233","0.296190198005607","0.263983037517236","0.328397358493977"
"No worries","1999","Other degree","286","0.328096454775702","0.297969065133846","0.358223844417558"
"No worries","1999","secondary school degree","573","0.159788983048579","0.148214933732413","0.171363032364746"
"Some worries","1999","college entrance qualification","1005","0.444389307077556","0.423761163069637","0.465017451085475"
"Some worries","1999","lower secondary degree","2518","0.453511497267004","0.440355858676597","0.466667135857412"
"Some worries","1999","no degree/no degree yet","341","0.408851875106941","0.374172553283995","0.443531196929886"
"Some worries","1999","Other degree","435","0.449889069061978","0.417967434088072","0.481810704035884"
"Some worries","1999","secondary school degree","1834","0.466213801407326","0.450456060351832","0.481971542462821"
"Big worries","2000","college entrance qualification","803","0.170631767440932","0.159879243417659","0.181384291464205"
"Big worries","2000","lower secondary degree","3479","0.361105062719995","0.351628670477368","0.370581454962621"
"Big worries","2000","no degree/no degree yet","180","0.215600006629155","0.188792461154017","0.242407552104292"
"Big worries","2000","Other degree","230","0.147071965458406","0.129219699909862","0.16492423100695"
"Big worries","2000","secondary school degree","2357","0.333456709085615","0.322366500947976","0.344546917223255"
"No worries","2000","college entrance qualification","1872","0.41043342540713","0.396373126081467","0.424493724732794"
"No worries","2000","lower secondary degree","1747","0.173698763341511","0.166224316093607","0.181173210589414"
"No worries","2000","no degree/no degree yet","340","0.371725777036952","0.340222927741179","0.403228626332725"
"No worries","2000","Other degree","600","0.410819941300908","0.386021637669723","0.435618244932093"
"No worries","2000","secondary school degree","1348","0.204590514117294","0.195101001311794","0.214080026922795"
"Some worries","2000","college entrance qualification","2027","0.418934807151938","0.404832426542036","0.43303718776184"
"Some worries","2000","lower secondary degree","4643","0.465196173938494","0.455355454810775","0.475036893066214"
"Some worries","2000","no degree/no degree yet","384","0.412674216333893","0.38058145570685","0.444766976960937"
"Some worries","2000","Other degree","682","0.442108093240686","0.41707517628473","0.467141010196642"
"Some worries","2000","secondary school degree","3237","0.46195277679709","0.450225024772005","0.473680528822176"
"Big worries","2001","college entrance qualification","644","0.143270365149237","0.132941870352158","0.153598859946316"
