"plj0046","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1999","(Married) couple without C. ","Female","789","0.410494074084945","0.389307751766687","0.431680396403204","1"
"Big worries","1999","(Married) couple without C. ","Male","816","0.408611015268303","0.387408874500782","0.429813156035825","1"
"Big worries","1999","1-pers.-HH","Female","351","0.357664811609781","0.328350355983499","0.386979267236064","1"
"Big worries","1999","1-pers.-HH","Male","199","0.3439071213836","0.307474137070974","0.380340105696225","1"
"Big worries","1999","Couple + C. GT 16 ","Female","359","0.338304466692937","0.311065580793102","0.365543352592771","1"
"Big worries","1999","Couple + C. GT 16 ","Male","483","0.370315160374392","0.34446989077571","0.396160429973073","1"
"Big worries","1999","Couple + C. LE 16 ","Female","468","0.306740293739233","0.283588267739675","0.32989231973879","1"
"Big worries","1999","Couple + C. LE 16 ","Male","508","0.331384792451502","0.307587748480222","0.355181836422782","1"
"Big worries","1999","Couple + C. LE and GT 16","Female","160","0.29503735653536","0.257298545244834","0.332776167825886","1"
"Big worries","1999","Couple + C. LE and GT 16","Male","208","0.316756164723745","0.279501120891161","0.354011208556329","1"
"Big worries","1999","Single parent ","Female","157","0.35336634081375","0.309965626652132","0.396767054975367","1"
"Big worries","1999","Single parent ","Male","88","0.365455486333272","0.305400661555822","0.425510311110721","1"
"No worries","1999","Couple + C. LE 16 ","Male","301","0.206196185794152","0.185742786107185","0.226649585481119","3"
"No worries","1999","Single parent ","Female","88","0.178566933978777","0.143793967325941","0.213339900631613","3"
"No worries","1999","Couple + C. LE and GT 16","Female","106","0.204427587403992","0.171056045791311","0.237799129016672","3"
"No worries","1999","1-pers.-HH","Male","160","0.23834733609971","0.205667856333408","0.271026815866013","3"
"No worries","1999","(Married) couple without C. ","Female","305","0.134875148733923","0.120163430324426","0.14958686714342","3"
"No worries","1999","(Married) couple without C. ","Male","347","0.156803753920485","0.141120700455388","0.172486807385582","3"
"No worries","1999","Couple + C. GT 16 ","Female","241","0.191012636472893","0.168381399534","0.213643873411786","3"
"No worries","1999","Couple + C. GT 16 ","Male","287","0.200168507988546","0.178752879315114","0.221584136661978","3"
"No worries","1999","Couple + C. LE and GT 16","Male","134","0.258617775648595","0.223551878846087","0.293683672451103","3"
"No worries","1999","Single parent ","Male","48","0.194449393143918","0.145092328326835","0.243806457961001","3"
"No worries","1999","1-pers.-HH","Female","190","0.181198199536721","0.15764069937807","0.204755699695372","3"
"No worries","1999","Couple + C. LE 16 ","Female","309","0.190189499709307","0.170486126780667","0.209892872637948","3"
"Some worries","1999","Single parent ","Female","221","0.468066725207473","0.422762615955233","0.513370834459714","2"
"Some worries","1999","(Married) couple without C. ","Female","977","0.454630777181131","0.433185445344105","0.476076109018158","2"
"Some worries","1999","Couple + C. LE 16 ","Male","694","0.462419021754346","0.43721276285622","0.487625280652472","2"
"Some worries","1999","Couple + C. GT 16 ","Female","559","0.47068289683417","0.441946749254443","0.499419044413897","2"
"Some worries","1999","1-pers.-HH","Male","294","0.41774554251669","0.379918374919314","0.455572710114065","2"
"Some worries","1999","Single parent ","Male","111","0.44009512052281","0.378189509112448","0.502000731933172","2"
"Some worries","1999","Couple + C. LE and GT 16","Female","295","0.500535056060648","0.459160207607386","0.54190990451391","2"
"Some worries","1999","Couple + C. LE and GT 16","Male","257","0.42462605962766","0.385042659566741","0.464209459688579","2"
"Some worries","1999","(Married) couple without C. ","Male","902","0.434585230811212","0.413205161010648","0.455965300611775","2"
"Some worries","1999","1-pers.-HH","Female","486","0.461136988853498","0.430649824240469","0.491624153466526","2"
"Some worries","1999","Couple + C. GT 16 ","Male","571","0.429516331637063","0.403022476885404","0.456010186388721","2"
"Some worries","1999","Couple + C. LE 16 ","Female","747","0.50307020655146","0.477967680628737","0.528172732474183","2"
"Big worries","2000","(Married) couple without C. ","Female","1193","0.325804614018249","0.310834086497217","0.34077514153928","1"
"Big worries","2000","(Married) couple without C. ","Male","1230","0.33329943776508","0.318193874013113","0.348405001517048","1"
"Big worries","2000","1-pers.-HH","Female","528","0.276497255705763","0.256589390548297","0.296405120863228","1"
"Big worries","2000","1-pers.-HH","Male","386","0.284492497396945","0.260799771085531","0.308185223708359","1"
"Big worries","2000","Couple + C. GT 16 ","Female","525","0.306905974383174","0.285809469931793","0.328002478834556","1"
"Big worries","2000","Couple + C. GT 16 ","Male","617","0.304645737560953","0.284875661413749","0.324415813708157","1"
"Big worries","2000","Couple + C. LE 16 ","Female","688","0.261252183997593","0.244465468237921","0.278038899757266","1"
"Big worries","2000","Couple + C. LE 16 ","Male","781","0.302259691859889","0.284549514441645","0.319969869278133","1"
"Big worries","2000","Couple + C. LE and GT 16","Female","233","0.240494625203028","0.213317444529616","0.267671805876441","1"
"Big worries","2000","Couple + C. LE and GT 16","Male","306","0.29898135805093","0.270244940739714","0.327717775362145","1"
"Big worries","2000","Single parent ","Female","232","0.270576805750436","0.240076488700205","0.301077122800667","1"
"Big worries","2000","Single parent ","Male","107","0.270402799421602","0.225205934876938","0.315599663966266","1"
"No worries","2000","Couple + C. LE 16 ","Male","686","0.275829630391048","0.258594017861917","0.293065242920179","3"
"No worries","2000","Single parent ","Female","205","0.27217266346359","0.241616014858185","0.302729312068995","3"
"No worries","2000","(Married) couple without C. ","Female","766","0.199785364408798","0.187013606408857","0.212557122408738","3"
"No worries","2000","(Married) couple without C. ","Male","823","0.220067767215195","0.206791961440361","0.233343572990028","3"
