"plj0046","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1999","(Married) couple without C. ","direct migration background","154","0.294708452783095","0.257572938323414","0.331843967242776","1"
"Big worries","1999","(Married) couple without C. ","indirect migration background","20","","","","1"
"Big worries","1999","(Married) couple without C. ","no migration background","1431","0.429818412700866","0.413354054666671","0.44628277073506","1"
"Big worries","1999","1-pers.-HH","direct migration background","49","0.355765791359436","0.2829378504612","0.428593732257671","1"
"Big worries","1999","1-pers.-HH","indirect migration background","11","","","","1"
"Big worries","1999","1-pers.-HH","no migration background","490","0.353681425904698","0.329106323701599","0.378256528107797","1"
"Big worries","1999","Couple + C. GT 16 ","direct migration background","100","0.214261263194428","0.175835548979708","0.252686977409147","1"
"Big worries","1999","Couple + C. GT 16 ","indirect migration background","41","0.345382709576905","0.277949250231051","0.412816168922759","1"
"Big worries","1999","Couple + C. GT 16 ","no migration background","701","0.381882641957567","0.359868000011449","0.403897283903685","1"
"Big worries","1999","Couple + C. LE 16 ","direct migration background","129","0.223978763175233","0.190078720172865","0.257878806177601","1"
"Big worries","1999","Couple + C. LE 16 ","indirect migration background","35","0.371652408265394","0.276460738072327","0.466844078458462","1"
"Big worries","1999","Couple + C. LE 16 ","no migration background","812","0.337751717809848","0.31861793897435","0.356885496645346","1"
"Big worries","1999","Couple + C. LE and GT 16","direct migration background","42","0.166339345023624","0.11690691157061","0.215771778476638","1"
"Big worries","1999","Couple + C. LE and GT 16","indirect migration background","19","","","","1"
"Big worries","1999","Couple + C. LE and GT 16","no migration background","307","0.352992905047414","0.320732351616531","0.385253458478296","1"
"Big worries","1999","Single parent ","direct migration background","26","","","","1"
"Big worries","1999","Single parent ","indirect migration background","16","","","","1"
"Big worries","1999","Single parent ","no migration background","203","0.378465787061502","0.338260050763079","0.418671523359925","1"
"No worries","1999","1-pers.-HH","indirect migration background","14","","","","3"
"No worries","1999","1-pers.-HH","no migration background","284","0.190775192475868","0.170579375235139","0.210971009716597","3"
"No worries","1999","Couple + C. GT 16 ","indirect migration background","53","0.189810674574833","0.134196565776958","0.245424783372708","3"
"No worries","1999","Couple + C. GT 16 ","no migration background","347","0.180355747089619","0.162934112947997","0.197777381231242","3"
"No worries","1999","Couple + C. LE 16 ","direct migration background","166","0.289432353004423","0.252556992286804","0.326307713722042","3"
"No worries","1999","Single parent ","no migration background","94","0.161978274207839","0.131436222381323","0.192520326034356","3"
"No worries","1999","Couple + C. GT 16 ","direct migration background","128","0.28647993584085","0.24413892362969","0.328820948052009","3"
"No worries","1999","1-pers.-HH","direct migration background","52","0.309679558960304","0.239343880080686","0.380015237839922","3"
"No worries","1999","Single parent ","indirect migration background","12","","","","3"
"No worries","1999","(Married) couple without C. ","no migration background","467","0.127312840499988","0.116227192197917","0.13839848880206","3"
"No worries","1999","Single parent ","direct migration background","30","0.283730352596568","0.196244228178286","0.371216477014851","3"
"No worries","1999","(Married) couple without C. ","indirect migration background","19","","","","3"
"No worries","1999","(Married) couple without C. ","direct migration background","166","0.263085447132878","0.227220863904235","0.298950030361521","3"
"No worries","1999","Couple + C. LE and GT 16","no migration background","142","0.19921622028326","0.172254084869032","0.226178355697487","3"
"No worries","1999","Couple + C. LE 16 ","no migration background","415","0.176218935611487","0.160804638153319","0.191633233069656","3"
"No worries","1999","Couple + C. LE and GT 16","direct migration background","63","0.316801627351003","0.255044518307829","0.378558736394176","3"
"No worries","1999","Couple + C. LE and GT 16","indirect migration background","35","0.37408447834254","0.27876685638121","0.469402100303871","3"
"No worries","1999","Couple + C. LE 16 ","indirect migration background","29","","","","3"
"Some worries","1999","(Married) couple without C. ","indirect migration background","45","0.5612574385021","0.455138136158931","0.667376740845269","2"
"Some worries","1999","1-pers.-HH","direct migration background","65","0.33455464968026","0.262777901399864","0.406331397960657","2"
"Some worries","1999","1-pers.-HH","indirect migration background","35","0.448683871734861","0.32283682047037","0.574530922999352","2"
"Some worries","1999","1-pers.-HH","no migration background","680","0.455543381619434","0.429945006487655","0.481141756751213","2"
"Some worries","1999","(Married) couple without C. ","no migration background","1575","0.442868746799146","0.426348673239306","0.459388820358986","2"
"Some worries","1999","Couple + C. GT 16 ","direct migration background","210","0.499258800964723","0.452433501565206","0.546084100364239","2"
"Some worries","1999","Single parent ","no migration background","262","0.459555938730658","0.418242936837433","0.500868940623884","2"
"Some worries","1999","Single parent ","indirect migration background","24","","","","2"
"Some worries","1999","Single parent ","direct migration background","46","0.446389987146154","0.349916673558987","0.542863300733322","2"
"Some worries","1999","Couple + C. LE and GT 16","no migration background","394","0.447790874669327","0.414223010219417","0.481358739119236","2"
"Some worries","1999","(Married) couple without C. ","direct migration background","259","0.442206100084027","0.401752418290137","0.482659781877917","2"
"Some worries","1999","Couple + C. GT 16 ","indirect migration background","97","0.464806615848262","0.394073477771055","0.535539753925469","2"
"Some worries","1999","Couple + C. GT 16 ","no migration background","823","0.437761610952814","0.415281922814733","0.460241299090895","2"
"Some worries","1999","Couple + C. LE 16 ","direct migration background","286","0.486588883820344","0.445947007467536","0.527230760173153","2"
"Some worries","1999","Couple + C. LE 16 ","indirect migration background","35","0.270837328474345","0.183299258305954","0.358375398642735","2"
"Some worries","1999","Couple + C. LE 16 ","no migration background","1120","0.486029346578665","0.46580884362073","0.506249849536599","2"
"Some worries","1999","Couple + C. LE and GT 16","direct migration background","113","0.516859027625374","0.450524012601284","0.583194042649463","2"
"Some worries","1999","Couple + C. LE and GT 16","indirect migration background","45","0.451619532431199","0.353589794666762","0.549649270195636","2"
"Big worries","2000","(Married) couple without C. ","direct migration background","159","0.210128018885693","0.182037306840791","0.238218730930594","1"
"Big worries","2000","(Married) couple without C. ","indirect migration background","22","","","","1"
"Big worries","2000","(Married) couple without C. ","no migration background","2242","0.346327718744472","0.334833146537914","0.35782229095103","1"
