"plj0046","year","migback","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","direct migration background","529","0.26089387736013","0.242614955005981","0.279172799714279"
"Big worries","1999","indirect migration background","148","0.279134145601056","0.243449001438761","0.314819289763352"
"Big worries","1999","no migration background","4054","0.380341825075488","0.371221360532421","0.389462289618556"
"No worries","1999","direct migration background","654","0.287682878899211","0.268839492921194","0.306526264877228"
"No worries","1999","indirect migration background","174","0.28219664094332","0.246392570029842","0.318000711856797"
"No worries","1999","no migration background","1820","0.165136150113029","0.158160531459807","0.17211176876625"
"Some worries","1999","direct migration background","1034","0.451423243740659","0.430708674618236","0.472137812863082"
"Some worries","1999","indirect migration background","285","0.438669213455624","0.39919333942259","0.478145087488658"
"Some worries","1999","no migration background","5010","0.454522024811483","0.44516753942898","0.463876510193985"
"Big worries","2000","direct migration background","580","0.181200784200604","0.16803487268326","0.194366695717947"
"Big worries","2000","indirect migration background","141","0.193260829073667","0.166185387134282","0.220336271013052"
"Big worries","2000","no migration background","6351","0.320383116133226","0.313895691304057","0.326870540962395"
"No worries","2000","direct migration background","1242","0.387268988552094","0.370618634303319","0.40391934280087"
"No worries","2000","indirect migration background","297","0.359620839358968","0.326714612821126","0.392527065896811"
"No worries","2000","no migration background","4381","0.224780010766258","0.218976420102199","0.230583601430316"
"Some worries","2000","direct migration background","1466","0.431530227247302","0.414600830381041","0.448459624113563"
"Some worries","2000","indirect migration background","379","0.447118331567365","0.413025396130852","0.481211267003877"
"Some worries","2000","no migration background","9142","0.454836873100516","0.447913838250764","0.461759907950269"
"Big worries","2001","direct migration background","467","0.156150564016738","0.142948128777655","0.169352999255822"
"Big worries","2001","indirect migration background","132","0.173633630240758","0.146843753158706","0.200423507322811"
"Big worries","2001","no migration background","4744","0.259885993399137","0.253507487517524","0.266264499280749"
"No worries","2001","direct migration background","1108","0.401121920031382","0.383295785021164","0.418948055041601"
"No worries","2001","indirect migration background","299","0.398071658335483","0.363452181048097","0.432691135622869"
"No worries","2001","no migration background","4731","0.262044628374403","0.2556490342955","0.268440222453305"
"Some worries","2001","direct migration background","1329","0.442727515951879","0.424661938740016","0.460793093163743"
"Some worries","2001","indirect migration background","337","0.428294711423759","0.393298184912026","0.463291237935492"
"Some worries","2001","no migration background","8686","0.478069378226461","0.470804471144574","0.485334285308348"
"Big worries","2002","direct migration background","509","0.192064782951562","0.177416250762996","0.206713315140128"
"Big worries","2002","indirect migration background","123","0.179490390013931","0.152471986942716","0.206508793085145"
"Big worries","2002","no migration background","5556","0.310051117955024","0.303543585002684","0.316558650907363"
"No worries","2002","direct migration background","929","0.339561245375091","0.321951328575879","0.357171162174304"
