"plj0046","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","(0) in school","Female","33","0.247776873794892","0.180672125141999","0.314881622447784"
"Big worries","1999","(0) in school","Male","46","0.275648613933154","0.20575285592943","0.345544371936877"
"Big worries","1999","(1a) inadequately completed","Female","71","0.3104857774344","0.255600073651706","0.365371481217095"
"Big worries","1999","(1a) inadequately completed","Male","53","0.351044082939804","0.284562106397515","0.417526059482093"
"Big worries","1999","(1b) general elementary school","Female","464","0.418876898519701","0.391547932453583","0.446205864585819"
"Big worries","1999","(1b) general elementary school","Male","224","0.349743585682175","0.314134921523403","0.385352249840946"
"Big worries","1999","(1c) basic vocational qualification","Female","749","0.421079353762447","0.398445865711777","0.443712841813116"
"Big worries","1999","(1c) basic vocational qualification","Male","949","0.432434167160048","0.412072141384219","0.452796192935877"
"Big worries","1999","(2a) intermediate vocational","Female","572","0.362616634743262","0.338713943161695","0.386519326324828"
"Big worries","1999","(2a) intermediate vocational","Male","546","0.41478117805503","0.387905858735041","0.44165649737502"
"Big worries","1999","(2b) intermediate general qualification","Female","104","0.316627859438559","0.265820882769336","0.367434836107783"
"Big worries","1999","(2b) intermediate general qualification","Male","81","0.411258598599882","0.345021706787759","0.477495490412005"
"Big worries","1999","(2c_gen) general maturity certificate","Female","47","0.169904773442704","0.122879449353629","0.216930097531779"
"Big worries","1999","(2c_gen) general maturity certificate","Male","42","0.17335157374852","0.124640420181254","0.222062727315785"
"Big worries","1999","(2c_voc) vocational maturity certificate","Female","83","0.270105788674487","0.22398252847853","0.316229048870444"
"Big worries","1999","(2c_voc) vocational maturity certificate","Male","93","0.29754732905481","0.247219867927018","0.347874790182603"
"Big worries","1999","(3a) lower tertiary education","Female","122","0.256448413179871","0.217095844900963","0.295800981458779"
"Big worries","1999","(3a) lower tertiary education","Male","150","0.286711432286873","0.246255463163186","0.327167401410561"
"Big worries","1999","(3b) higher tertiary education","Female","65","0.188342168012881","0.150403831538896","0.226280504486865"
"Big worries","1999","(3b) higher tertiary education","Male","121","0.209240989403225","0.176828240796987","0.241653738009464"
"No worries","1999","(0) in school","Female","53","0.306487304764788","0.234826285400212","0.378148324129364"
"No worries","1999","(0) in school","Male","43","0.296308610813795","0.22488175724671","0.367735464380881"
"No worries","1999","(1a) inadequately completed","Female","86","0.303341132132189","0.248810252413457","0.35787201185092"
"No worries","1999","(1a) inadequately completed","Male","52","0.273056538441831","0.210999348883416","0.335113728000245"
"No worries","1999","(1b) general elementary school","Female","212","0.142310714720519","0.122958542565373","0.161662886875664"
"No worries","1999","(1b) general elementary school","Male","156","0.19852543761902","0.168740860895652","0.228310014342389"
"No worries","1999","(1c) basic vocational qualification","Female","209","0.103606700914741","0.0896364817793196","0.117576920050163"
"No worries","1999","(1c) basic vocational qualification","Male","308","0.124595061463502","0.111021063761232","0.138169059165773"
"No worries","1999","(2a) intermediate vocational","Female","220","0.149768939936377","0.132026965675548","0.167510914197205"
"No worries","1999","(2a) intermediate vocational","Male","171","0.147312540380959","0.127979517394876","0.166645563367043"
"No worries","1999","(2b) intermediate general qualification","Female","57","0.178937303294021","0.137071564471082","0.220803042116961"
"No worries","1999","(2b) intermediate general qualification","Male","43","0.191436724989599","0.138476503294818","0.244396946684379"
"No worries","1999","(2c_gen) general maturity certificate","Female","94","0.409208759201831","0.347640831879282","0.470776686524381"
"No worries","1999","(2c_gen) general maturity certificate","Male","85","0.391394407897122","0.328591554502469","0.454197261291775"
"No worries","1999","(2c_voc) vocational maturity certificate","Female","99","0.260154089472179","0.214580938264804","0.305727240679554"
"No worries","1999","(2c_voc) vocational maturity certificate","Male","87","0.287113830780723","0.237310818511744","0.336916843049702"
"No worries","1999","(3a) lower tertiary education","Female","83","0.20299649526076","0.166747839477424","0.239245151044096"
"No worries","1999","(3a) lower tertiary education","Male","109","0.227784429364493","0.190264780407892","0.265304078321094"
"No worries","1999","(3b) higher tertiary education","Female","151","0.35990911361096","0.313336002143814","0.406482225078106"
"No worries","1999","(3b) higher tertiary education","Male","241","0.408346942945465","0.369180095679942","0.447513790210987"
"Some worries","1999","(0) in school","Female","73","0.44573582144032","0.368477244688154","0.522994398192486"
"Some worries","1999","(0) in school","Male","68","0.428042775253051","0.350645864667397","0.505439685838704"
"Some worries","1999","(1a) inadequately completed","Female","116","0.386173090433411","0.328419268018751","0.44392691284807"
"Some worries","1999","(1a) inadequately completed","Male","93","0.375899378618365","0.308434365789217","0.443364391447513"
"Some worries","1999","(1b) general elementary school","Female","576","0.43881238675978","0.41132462335899","0.46630015016057"
"Some worries","1999","(1b) general elementary school","Male","309","0.451730976698805","0.414571013858084","0.488890939539527"
"Some worries","1999","(1c) basic vocational qualification","Female","870","0.475313945322812","0.452421086279404","0.49820680436622"
"Some worries","1999","(1c) basic vocational qualification","Male","1017","0.442970771376449","0.422554360911557","0.463387181841342"
"Some worries","1999","(2a) intermediate vocational","Female","762","0.487614425320361","0.462762542136719","0.512466308504004"
"Some worries","1999","(2a) intermediate vocational","Male","574","0.437906281564011","0.410843033187185","0.464969529940836"
"Some worries","1999","(2b) intermediate general qualification","Female","161","0.504434837267419","0.449824724212899","0.55904495032194"
"Some worries","1999","(2b) intermediate general qualification","Male","88","0.397304676410519","0.331434184021001","0.463175168800038"
"Some worries","1999","(2c_gen) general maturity certificate","Female","104","0.420886467355464","0.359066412407819","0.48270652230311"
"Some worries","1999","(2c_gen) general maturity certificate","Male","105","0.435254018354358","0.371456752309239","0.499051284399477"
"Some worries","1999","(2c_voc) vocational maturity certificate","Female","174","0.469740121853334","0.417896384241536","0.521583859465132"
"Some worries","1999","(2c_voc) vocational maturity certificate","Male","137","0.415338840164466","0.361092323666458","0.469585356662475"
"Some worries","1999","(3a) lower tertiary education","Female","268","0.540555091559369","0.49564393664055","0.585466246478189"
"Some worries","1999","(3a) lower tertiary education","Male","221","0.485504138348634","0.440793086876145","0.530215189821123"
"Some worries","1999","(3b) higher tertiary education","Female","192","0.451748718376159","0.403458818845586","0.500038617906732"
"Some worries","1999","(3b) higher tertiary education","Male","243","0.38241206765131","0.343687587292502","0.421136548010118"
"Big worries","2000","(0) in school","Female","35","0.156847892587049","0.112037356530405","0.201658428643693"
"Big worries","2000","(0) in school","Male","48","0.180079168670556","0.131158586482755","0.228999750858357"
"Big worries","2000","(1a) inadequately completed","Female","50","0.211353450871361","0.158818301208885","0.263888600533836"
"Big worries","2000","(1a) inadequately completed","Male","47","0.32553035004365","0.257267290072594","0.393793410014707"
"Big worries","2000","(1b) general elementary school","Female","598","0.316408692273003","0.295959713399796","0.33685767114621"
"Big worries","2000","(1b) general elementary school","Male","256","0.323350499838417","0.29212473324712","0.354576266429715"
"Big worries","2000","(1c) basic vocational qualification","Female","1175","0.34779783304273","0.332028235969065","0.363567430116395"
"Big worries","2000","(1c) basic vocational qualification","Male","1524","0.367605705949499","0.35310319542189","0.382108216477107"
"Big worries","2000","(2a) intermediate vocational","Female","1016","0.315542150460969","0.299282033465834","0.331802267456104"
"Big worries","2000","(2a) intermediate vocational","Male","931","0.378626748963763","0.35918478087046","0.398068717057065"
"Big worries","2000","(2b) intermediate general qualification","Female","123","0.289559806636691","0.246183122828127","0.332936490445254"
"Big worries","2000","(2b) intermediate general qualification","Male","97","0.321727682490905","0.269301958962663","0.374153406019147"
"Big worries","2000","(2c_gen) general maturity certificate","Female","60","0.127472755705664","0.0960964786098628","0.158849032801465"
"Big worries","2000","(2c_gen) general maturity certificate","Male","58","0.139883635520135","0.105369715451556","0.174397555588714"
"Big worries","2000","(2c_voc) vocational maturity certificate","Female","179","0.221316428509681","0.192780622044468","0.249852234974894"
"Big worries","2000","(2c_voc) vocational maturity certificate","Male","158","0.188468987638325","0.160348283350951","0.216589691925699"
"Big worries","2000","(3a) lower tertiary education","Female","163","0.205179938996163","0.176469280522631","0.233890597469694"
"Big worries","2000","(3a) lower tertiary education","Male","236","0.245302357543391","0.217619465400588","0.272985249686193"
"Big worries","2000","(3b) higher tertiary education","Female","122","0.13695596817162","0.114343468886141","0.159568467457098"
"Big worries","2000","(3b) higher tertiary education","Male","174","0.153235189572722","0.13303055896887","0.173439820176573"
