"plj0046","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1999","1-pers.-HH","in school","1","","","","1"
"Big worries","1999","1-pers.-HH","inadequately","7","","","","1"
"Big worries","1999","1-pers.-HH","general elemantary","150","0.414140394894523","0.36519139033923","0.463089399449816","1"
"Big worries","1999","1-pers.-HH","middle vocational","294","0.365948716312667","0.333717495594137","0.398179937031198","1"
"Big worries","1999","1-pers.-HH","vocational + Abi","19","","","","1"
"Big worries","1999","1-pers.-HH","higher vocational","25","","","","1"
"Big worries","1999","1-pers.-HH","higher education","50","0.225063523873197","0.17166862493181","0.278458422814584","1"
"Big worries","1999","(Married) couple without C. ","in school","1","","","","1"
"Big worries","1999","(Married) couple without C. ","inadequately","18","","","","1"
"Big worries","1999","(Married) couple without C. ","general elemantary","265","0.419356935022355","0.381852398335736","0.456861471708975","1"
"Big worries","1999","(Married) couple without C. ","middle vocational","992","0.458906754244882","0.438321386736629","0.479492121753135","1"
"Big worries","1999","(Married) couple without C. ","vocational + Abi","35","0.280997095755867","0.209304244085278","0.352689947426456","1"
"Big worries","1999","(Married) couple without C. ","higher vocational","104","0.361780968098515","0.304358786972475","0.419203149224554","1"
"Big worries","1999","(Married) couple without C. ","higher education","176","0.284765518882489","0.25030884868798","0.319222189076998","1"
"Big worries","1999","Single parent ","in school","12","","","","1"
"Big worries","1999","Single parent ","inadequately","3","","","","1"
"Big worries","1999","Single parent ","general elemantary","66","0.381324938138639","0.310368672989839","0.452281203287438","1"
"Big worries","1999","Single parent ","middle vocational","134","0.384466345768925","0.333861864093553","0.435070827444296","1"
"Big worries","1999","Single parent ","vocational + Abi","3","","","","1"
"Big worries","1999","Single parent ","higher vocational","4","","","","1"
"Big worries","1999","Single parent ","higher education","15","","","","1"
"Big worries","1999","Couple + C. LE 16 ","in school","1","","","","1"
"Big worries","1999","Couple + C. LE 16 ","inadequately","21","","","","1"
"Big worries","1999","Couple + C. LE 16 ","general elemantary","116","0.381493471878315","0.330963435168441","0.432023508588188","1"
"Big worries","1999","Couple + C. LE 16 ","middle vocational","601","0.360040447572971","0.336637027806209","0.383443867339734","1"
"Big worries","1999","Couple + C. LE 16 ","vocational + Abi","39","0.261609729404979","0.19454779948176","0.328671659328197","1"
"Big worries","1999","Couple + C. LE 16 ","higher vocational","80","0.295058585572261","0.238182427143345","0.351934744001177","1"
"Big worries","1999","Couple + C. LE 16 ","higher education","90","0.178765773619958","0.14518128067746","0.212350266562457","1"
"Big worries","1999","Couple + C. GT 16 ","in school","32","0.205761715900575","0.139503800600788","0.272019631200363","1"
"Big worries","1999","Couple + C. GT 16 ","inadequately","35","0.310429365527908","0.230277454010174","0.390581277045642","1"
"Big worries","1999","Couple + C. GT 16 ","general elemantary","156","0.358694521909167","0.316314577127246","0.401074466691087","1"
"Big worries","1999","Couple + C. GT 16 ","middle vocational","453","0.392035893450554","0.364180520793577","0.419891266107531","1"
"Big worries","1999","Couple + C. GT 16 ","vocational + Abi","16","","","","1"
"Big worries","1999","Couple + C. GT 16 ","higher vocational","54","0.483890161128401","0.394476900402256","0.573303421854546","1"
