"plj0046","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","(2b) intermediate general qualification","inadequately","","","",""
"Big worries","1999","(2b) intermediate general qualification","general elemantary","185","0.352084675081127","0.311574870347803","0.392594479814452"
"Big worries","1999","(2b) intermediate general qualification","middle vocational","","","",""
"Big worries","1999","(2b) intermediate general qualification","vocational + Abi","","","",""
"Big worries","1999","(2b) intermediate general qualification","higher vocational","","","",""
"Big worries","1999","(2b) intermediate general qualification","higher education","","","",""
"Big worries","1999","(2a) intermediate vocational","in school","","","",""
"Big worries","1999","(2a) intermediate vocational","inadequately","","","",""
"Big worries","1999","(2a) intermediate vocational","general elemantary","","","",""
"Big worries","1999","(2a) intermediate vocational","middle vocational","978","0.389078393515281","0.369901819067728","0.408254967962835"
"Big worries","1999","(2a) intermediate vocational","vocational + Abi","","","",""
"Big worries","1999","(2a) intermediate vocational","higher vocational","140","0.367254003147913","0.317595711128564","0.416912295167261"
"Big worries","1999","(2a) intermediate vocational","higher education","","","",""
"Big worries","1999","(2c_gen) general maturity certificate","in school","","","",""
"Big worries","1999","(2c_gen) general maturity certificate","inadequately","","","",""
"Big worries","1999","(2c_gen) general maturity certificate","general elemantary","","","",""
"Big worries","1999","(2c_gen) general maturity certificate","middle vocational","89","0.171742363238009","0.137896129970232","0.205588596505787"
"Big worries","1999","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Big worries","1999","(2c_gen) general maturity certificate","higher vocational","","","",""
"Big worries","1999","(2c_gen) general maturity certificate","higher education","","","",""
"Big worries","1999","(2c_voc) vocational maturity certificate","in school","","","",""
"Big worries","1999","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Big worries","1999","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Big worries","1999","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Big worries","1999","(2c_voc) vocational maturity certificate","vocational + Abi","130","0.280145473713417","0.241171276549801","0.319119670877033"
"Big worries","1999","(2c_voc) vocational maturity certificate","higher vocational","46","0.291576587794628","0.221805247434221","0.361347928155035"
"Big worries","1999","(2c_voc) vocational maturity certificate","higher education","","","",""
"Big worries","1999","(3a) lower tertiary education","in school","","","",""
"Big worries","1999","(3a) lower tertiary education","inadequately","","","",""
"Big worries","1999","(3a) lower tertiary education","general elemantary","","","",""
"Big worries","1999","(3a) lower tertiary education","middle vocational","","","",""
"Big worries","1999","(3a) lower tertiary education","vocational + Abi","","","",""
"Big worries","1999","(3a) lower tertiary education","higher vocational","","","",""
"Big worries","1999","(3a) lower tertiary education","higher education","272","0.274012660134422","0.245695383806391","0.302329936462454"
"Big worries","1999","(3b) higher tertiary education","in school","","","",""
"Big worries","1999","(3b) higher tertiary education","inadequately","","","",""
"Big worries","1999","(3b) higher tertiary education","general elemantary","","","",""
"Big worries","1999","(3b) higher tertiary education","middle vocational","","","",""
"Big worries","1999","(3b) higher tertiary education","vocational + Abi","","","",""
"Big worries","1999","(3b) higher tertiary education","higher vocational","","","",""
"Big worries","1999","(3b) higher tertiary education","higher education","186","0.20090966327754","0.176235540544578","0.225583786010501"
"Some worries","1999","(0) in school","in school","140","0.436472293687425","0.381704052891937","0.491240534482914"
"Some worries","1999","(0) in school","inadequately","","","",""
"Some worries","1999","(0) in school","general elemantary","","","",""
"Some worries","1999","(0) in school","middle vocational","","","",""
"Some worries","1999","(0) in school","vocational + Abi","","","",""
"Some worries","1999","(0) in school","higher vocational","","","",""
"Some worries","1999","(0) in school","higher education","","","",""
"Some worries","1999","(1a) inadequately completed","in school","","","",""
"Some worries","1999","(1a) inadequately completed","inadequately","177","0.407249142153379","0.358424454345468","0.45607382996129"
"Some worries","1999","(1a) inadequately completed","general elemantary","","","",""
"Some worries","1999","(1a) inadequately completed","middle vocational","30","0.317763965511234","0.213084632843083","0.422443298179386"
"Some worries","1999","(1a) inadequately completed","vocational + Abi","","","",""
"Some worries","1999","(1a) inadequately completed","higher vocational","","","",""
"Some worries","1999","(1a) inadequately completed","higher education","","","",""
"Some worries","1999","(1b) general elementary school","in school","","","",""
"Some worries","1999","(1b) general elementary school","inadequately","","","",""
"Some worries","1999","(1b) general elementary school","general elemantary","868","0.440549779721285","0.418267944238681","0.462831615203888"
"Some worries","1999","(1b) general elementary school","middle vocational","","","",""
"Some worries","1999","(1b) general elementary school","vocational + Abi","","","",""
"Some worries","1999","(1b) general elementary school","higher vocational","","","",""
"Some worries","1999","(1b) general elementary school","higher education","","","",""
"Some worries","1999","(1c) basic vocational qualification","in school","","","",""
"Some worries","1999","(1c) basic vocational qualification","inadequately","","","",""
"Some worries","1999","(1c) basic vocational qualification","general elemantary","","","",""
"Some worries","1999","(1c) basic vocational qualification","middle vocational","1754","0.45650281594595","0.440713390695965","0.472292241195936"
"Some worries","1999","(1c) basic vocational qualification","vocational + Abi","","","",""
"Some worries","1999","(1c) basic vocational qualification","higher vocational","133","0.471003062254933","0.412431820196648","0.529574304313219"
"Some worries","1999","(1c) basic vocational qualification","higher education","","","",""
"Some worries","1999","(2b) intermediate general qualification","in school","","","",""
"Some worries","1999","(2b) intermediate general qualification","inadequately","","","",""
"Some worries","1999","(2b) intermediate general qualification","general elemantary","249","0.464294662975996","0.421994962240122","0.506594363711869"
"Some worries","1999","(2b) intermediate general qualification","middle vocational","","","",""
"Some worries","1999","(2b) intermediate general qualification","vocational + Abi","","","",""
"Some worries","1999","(2b) intermediate general qualification","higher vocational","","","",""
"Some worries","1999","(2b) intermediate general qualification","higher education","","","",""
"Some worries","1999","(2a) intermediate vocational","in school","","","",""
"Some worries","1999","(2a) intermediate vocational","inadequately","","","",""
"Some worries","1999","(2a) intermediate vocational","general elemantary","","","",""
"Some worries","1999","(2a) intermediate vocational","middle vocational","1170","0.463966847346812","0.444351363223418","0.483582331470205"
"Some worries","1999","(2a) intermediate vocational","vocational + Abi","","","",""
"Some worries","1999","(2a) intermediate vocational","higher vocational","166","0.471737794267076","0.420313432303697","0.523162156230455"
"Some worries","1999","(2a) intermediate vocational","higher education","","","",""
"Some worries","1999","(2c_gen) general maturity certificate","in school","","","",""
"Some worries","1999","(2c_gen) general maturity certificate","inadequately","","","",""
"Some worries","1999","(2c_gen) general maturity certificate","general elemantary","","","",""
"Some worries","1999","(2c_gen) general maturity certificate","middle vocational","209","0.42854622793241","0.384136481673792","0.472955974191029"
"Some worries","1999","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Some worries","1999","(2c_gen) general maturity certificate","higher vocational","","","",""
"Some worries","1999","(2c_gen) general maturity certificate","higher education","","","",""
"Some worries","1999","(2c_voc) vocational maturity certificate","in school","","","",""
"Some worries","1999","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Some worries","1999","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Some worries","1999","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Some worries","1999","(2c_voc) vocational maturity certificate","vocational + Abi","236","0.444249083189458","0.401125348348711","0.487372818030205"
"Some worries","1999","(2c_voc) vocational maturity certificate","higher vocational","75","0.442864196765007","0.366608883651919","0.519119509878095"
"Some worries","1999","(2c_voc) vocational maturity certificate","higher education","","","",""
"Some worries","1999","(3a) lower tertiary education","in school","","","",""
"Some worries","1999","(3a) lower tertiary education","inadequately","","","",""
"Some worries","1999","(3a) lower tertiary education","general elemantary","","","",""
"Some worries","1999","(3a) lower tertiary education","middle vocational","","","",""
"Some worries","1999","(3a) lower tertiary education","vocational + Abi","","","",""
"Some worries","1999","(3a) lower tertiary education","higher vocational","","","",""
"Some worries","1999","(3a) lower tertiary education","higher education","489","0.508604262930606","0.476864233071932","0.540344292789281"
"Some worries","1999","(3b) higher tertiary education","in school","","","",""
"Some worries","1999","(3b) higher tertiary education","inadequately","","","",""
"Some worries","1999","(3b) higher tertiary education","general elemantary","","","",""
"Some worries","1999","(3b) higher tertiary education","middle vocational","","","",""
"Some worries","1999","(3b) higher tertiary education","vocational + Abi","","","",""
"Some worries","1999","(3b) higher tertiary education","higher vocational","","","",""
"Some worries","1999","(3b) higher tertiary education","higher education","435","0.410053159886222","0.379765209204343","0.440341110568101"
"No worries","1999","(0) in school","in school","96","0.301692585460299","0.251005367006362","0.352379803914236"
"No worries","1999","(0) in school","inadequately","","","",""
"No worries","1999","(0) in school","general elemantary","","","",""
"No worries","1999","(0) in school","middle vocational","","","",""
"No worries","1999","(0) in school","vocational + Abi","","","",""
"No worries","1999","(0) in school","higher vocational","","","",""
"No worries","1999","(0) in school","higher education","","","",""
"No worries","1999","(1a) inadequately completed","in school","","","",""
"No worries","1999","(1a) inadequately completed","inadequately","121","0.314092307687039","0.267967477820366","0.360217137553711"
"No worries","1999","(1a) inadequately completed","general elemantary","","","",""
"No worries","1999","(1a) inadequately completed","middle vocational","","","",""
"No worries","1999","(1a) inadequately completed","vocational + Abi","","","",""
"No worries","1999","(1a) inadequately completed","higher vocational","","","",""
"No worries","1999","(1a) inadequately completed","higher education","","","",""
"No worries","1999","(1b) general elementary school","in school","","","",""
"No worries","1999","(1b) general elementary school","inadequately","","","",""
"No worries","1999","(1b) general elementary school","general elemantary","362","0.160056036440411","0.143599670729631","0.176512402151191"
"No worries","1999","(1b) general elementary school","middle vocational","","","",""
"No worries","1999","(1b) general elementary school","vocational + Abi","","","",""
"No worries","1999","(1b) general elementary school","higher vocational","","","",""
"No worries","1999","(1b) general elementary school","higher education","","","",""
"No worries","1999","(1c) basic vocational qualification","in school","","","",""
"No worries","1999","(1c) basic vocational qualification","inadequately","","","",""
"No worries","1999","(1c) basic vocational qualification","general elemantary","","","",""
"No worries","1999","(1c) basic vocational qualification","middle vocational","480","0.112118766550808","0.102117326502087","0.122120206599529"
"No worries","1999","(1c) basic vocational qualification","vocational + Abi","","","",""
"No worries","1999","(1c) basic vocational qualification","higher vocational","37","0.154351905553959","0.111958644604802","0.196745166503117"
"No worries","1999","(1c) basic vocational qualification","higher education","","","",""
"No worries","1999","(2b) intermediate general qualification","in school","","","",""
"No worries","1999","(2b) intermediate general qualification","inadequately","","","",""
"No worries","1999","(2b) intermediate general qualification","general elemantary","100","0.183620661942877","0.150782091777958","0.216459232107796"
"No worries","1999","(2b) intermediate general qualification","middle vocational","","","",""
"No worries","1999","(2b) intermediate general qualification","vocational + Abi","","","",""
"No worries","1999","(2b) intermediate general qualification","higher vocational","","","",""
"No worries","1999","(2b) intermediate general qualification","higher education","","","",""
"No worries","1999","(2a) intermediate vocational","in school","","","",""
"No worries","1999","(2a) intermediate vocational","inadequately","","","",""
"No worries","1999","(2a) intermediate vocational","general elemantary","","","",""
"No worries","1999","(2a) intermediate vocational","middle vocational","335","0.146954759137907","0.133028399988621","0.160881118287193"
"No worries","1999","(2a) intermediate vocational","vocational + Abi","","","",""
"No worries","1999","(2a) intermediate vocational","higher vocational","56","0.161008202585011","0.123146802997839","0.198869602172183"
"No worries","1999","(2a) intermediate vocational","higher education","","","",""
"No worries","1999","(2c_gen) general maturity certificate","in school","","","",""
"No worries","1999","(2c_gen) general maturity certificate","inadequately","","","",""
"No worries","1999","(2c_gen) general maturity certificate","general elemantary","","","",""
"No worries","1999","(2c_gen) general maturity certificate","middle vocational","179","0.39971140882958","0.355752974231068","0.443669843428093"
"No worries","1999","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"No worries","1999","(2c_gen) general maturity certificate","higher vocational","","","",""
"No worries","1999","(2c_gen) general maturity certificate","higher education","","","",""
"No worries","1999","(2c_voc) vocational maturity certificate","in school","","","",""
"No worries","1999","(2c_voc) vocational maturity certificate","inadequately","","","",""
"No worries","1999","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"No worries","1999","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"No worries","1999","(2c_voc) vocational maturity certificate","vocational + Abi","144","0.275605443097125","0.236826632242251","0.314384253951999"
"No worries","1999","(2c_voc) vocational maturity certificate","higher vocational","42","0.265559215440364","0.197761763765269","0.33335666711546"
"No worries","1999","(2c_voc) vocational maturity certificate","higher education","","","",""
"No worries","1999","(3a) lower tertiary education","in school","","","",""
"No worries","1999","(3a) lower tertiary education","inadequately","","","",""
"No worries","1999","(3a) lower tertiary education","general elemantary","","","",""
"No worries","1999","(3a) lower tertiary education","middle vocational","","","",""
"No worries","1999","(3a) lower tertiary education","vocational + Abi","","","",""
"No worries","1999","(3a) lower tertiary education","higher vocational","","","",""
"No worries","1999","(3a) lower tertiary education","higher education","192","0.217383076934971","0.191195873388495","0.243570280481447"
"No worries","1999","(3b) higher tertiary education","in school","","","",""
"No worries","1999","(3b) higher tertiary education","inadequately","","","",""
"No worries","1999","(3b) higher tertiary education","general elemantary","","","",""
"No worries","1999","(3b) higher tertiary education","middle vocational","","","",""
"No worries","1999","(3b) higher tertiary education","vocational + Abi","","","",""
"No worries","1999","(3b) higher tertiary education","higher vocational","","","",""
"No worries","1999","(3b) higher tertiary education","higher education","392","0.389037176836238","0.359014714197965","0.419059639474511"
"Big worries","2000","(0) in school","in school","83","0.169107648433788","0.135883973623751","0.202331323243824"
"Big worries","2000","(0) in school","inadequately","","","",""
"Big worries","2000","(0) in school","general elemantary","","","",""
"Big worries","2000","(0) in school","middle vocational","","","",""
"Big worries","2000","(0) in school","vocational + Abi","","","",""
"Big worries","2000","(0) in school","higher vocational","","","",""
"Big worries","2000","(0) in school","higher education","","","",""
"Big worries","2000","(1a) inadequately completed","in school","","","",""
"Big worries","2000","(1a) inadequately completed","inadequately","76","0.254931098140189","0.209141366751294","0.300720829529084"
"Big worries","2000","(1a) inadequately completed","general elemantary","","","",""
"Big worries","2000","(1a) inadequately completed","middle vocational","","","",""
"Big worries","2000","(1a) inadequately completed","vocational + Abi","","","",""
"Big worries","2000","(1a) inadequately completed","higher vocational","","","",""
"Big worries","2000","(1a) inadequately completed","higher education","","","",""
"Big worries","2000","(1b) general elementary school","in school","","","",""
"Big worries","2000","(1b) general elementary school","inadequately","","","",""
"Big worries","2000","(1b) general elementary school","general elemantary","840","0.318636454974356","0.301393216444298","0.335879693504414"
"Big worries","2000","(1b) general elementary school","middle vocational","","","",""
"Big worries","2000","(1b) general elementary school","vocational + Abi","","","",""
"Big worries","2000","(1b) general elementary school","higher vocational","","","",""
"Big worries","2000","(1b) general elementary school","higher education","","","",""
"Big worries","2000","(1c) basic vocational qualification","in school","","","",""
"Big worries","2000","(1c) basic vocational qualification","inadequately","","","",""
"Big worries","2000","(1c) basic vocational qualification","general elemantary","","","",""
"Big worries","2000","(1c) basic vocational qualification","middle vocational","2485","0.358651945551878","0.347521157578162","0.369782733525594"
"Big worries","2000","(1c) basic vocational qualification","vocational + Abi","","","",""
"Big worries","2000","(1c) basic vocational qualification","higher vocational","214","0.357586315164342","0.319798508005579","0.395374122323105"
"Big worries","2000","(1c) basic vocational qualification","higher education","","","",""
"Big worries","2000","(2b) intermediate general qualification","in school","","","",""
"Big worries","2000","(2b) intermediate general qualification","inadequately","","","",""
"Big worries","2000","(2b) intermediate general qualification","general elemantary","220","0.302912785949194","0.269463916083575","0.336361655814813"
"Big worries","2000","(2b) intermediate general qualification","middle vocational","","","",""
"Big worries","2000","(2b) intermediate general qualification","vocational + Abi","","","",""
"Big worries","2000","(2b) intermediate general qualification","higher vocational","","","",""
"Big worries","2000","(2b) intermediate general qualification","higher education","","","",""
"Big worries","2000","(2a) intermediate vocational","in school","","","",""
"Big worries","2000","(2a) intermediate vocational","inadequately","","","",""
"Big worries","2000","(2a) intermediate vocational","general elemantary","","","",""
"Big worries","2000","(2a) intermediate vocational","middle vocational","1682","0.350085471718119","0.336471765962211","0.363699177474026"
"Big worries","2000","(2a) intermediate vocational","vocational + Abi","","","",""
"Big worries","2000","(2a) intermediate vocational","higher vocational","265","0.302780365666546","0.27119750406838","0.334363227264712"
"Big worries","2000","(2a) intermediate vocational","higher education","","","",""
"Big worries","2000","(2c_gen) general maturity certificate","in school","","","",""
"Big worries","2000","(2c_gen) general maturity certificate","inadequately","","","",""
"Big worries","2000","(2c_gen) general maturity certificate","general elemantary","","","",""
"Big worries","2000","(2c_gen) general maturity certificate","middle vocational","118","0.133559327843112","0.110304201147757","0.156814454538466"
"Big worries","2000","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Big worries","2000","(2c_gen) general maturity certificate","higher vocational","","","",""
"Big worries","2000","(2c_gen) general maturity certificate","higher education","","","",""
"Big worries","2000","(2c_voc) vocational maturity certificate","in school","","","",""
"Big worries","2000","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Big worries","2000","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Big worries","2000","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Big worries","2000","(2c_voc) vocational maturity certificate","vocational + Abi","233","0.192031721824827","0.168973334617011","0.215090109032643"
"Big worries","2000","(2c_voc) vocational maturity certificate","higher vocational","104","0.237658948384335","0.197659389538045","0.277658507230625"
"Big worries","2000","(2c_voc) vocational maturity certificate","higher education","","","",""
"Big worries","2000","(3a) lower tertiary education","in school","","","",""
"Big worries","2000","(3a) lower tertiary education","inadequately","","","",""
"Big worries","2000","(3a) lower tertiary education","general elemantary","","","",""
"Big worries","2000","(3a) lower tertiary education","middle vocational","","","",""
"Big worries","2000","(3a) lower tertiary education","vocational + Abi","","","",""
"Big worries","2000","(3a) lower tertiary education","higher vocational","","","",""
"Big worries","2000","(3a) lower tertiary education","higher education","399","0.22901814402182","0.208972551678616","0.249063736365024"
"Big worries","2000","(3b) higher tertiary education","in school","","","",""
"Big worries","2000","(3b) higher tertiary education","inadequately","","","",""
"Big worries","2000","(3b) higher tertiary education","general elemantary","","","",""
"Big worries","2000","(3b) higher tertiary education","middle vocational","","","",""
"Big worries","2000","(3b) higher tertiary education","vocational + Abi","","","",""
"Big worries","2000","(3b) higher tertiary education","higher vocational","","","",""
"Big worries","2000","(3b) higher tertiary education","higher education","296","0.146450693034116","0.1313613676476","0.161540018420633"
"Some worries","2000","(0) in school","in school","224","0.464183876507505","0.419981402644566","0.508386350370444"
"Some worries","2000","(0) in school","inadequately","","","",""
"Some worries","2000","(0) in school","general elemantary","","","",""
"Some worries","2000","(0) in school","middle vocational","","","",""
"Some worries","2000","(0) in school","vocational + Abi","","","",""
"Some worries","2000","(0) in school","higher vocational","","","",""
"Some worries","2000","(0) in school","higher education","","","",""
"Some worries","2000","(1a) inadequately completed","in school","","","",""
"Some worries","2000","(1a) inadequately completed","inadequately","139","0.371634745842185","0.320862928848016","0.422406562836355"
"Some worries","2000","(1a) inadequately completed","general elemantary","","","",""
"Some worries","2000","(1a) inadequately completed","middle vocational","","","",""
"Some worries","2000","(1a) inadequately completed","vocational + Abi","","","",""
"Some worries","2000","(1a) inadequately completed","higher vocational","","","",""
"Some worries","2000","(1a) inadequately completed","higher education","","","",""
"Some worries","2000","(1b) general elementary school","in school","","","",""
"Some worries","2000","(1b) general elementary school","inadequately","","","",""
"Some worries","2000","(1b) general elementary school","general elemantary","1244","0.447197902505752","0.428797963715142","0.465597841296363"
"Some worries","2000","(1b) general elementary school","middle vocational","","","",""
"Some worries","2000","(1b) general elementary school","vocational + Abi","","","",""
"Some worries","2000","(1b) general elementary school","higher vocational","","","",""
"Some worries","2000","(1b) general elementary school","higher education","","","",""
"Some worries","2000","(1c) basic vocational qualification","in school","","","",""
"Some worries","2000","(1c) basic vocational qualification","inadequately","","","",""
"Some worries","2000","(1c) basic vocational qualification","general elemantary","","","",""
"Some worries","2000","(1c) basic vocational qualification","middle vocational","3424","0.470509613496228","0.458925689105839","0.482093537886617"
"Some worries","2000","(1c) basic vocational qualification","vocational + Abi","","","",""
"Some worries","2000","(1c) basic vocational qualification","higher vocational","274","0.428853024383001","0.389833494484043","0.467872554281959"
"Some worries","2000","(1c) basic vocational qualification","higher education","","","",""
"Some worries","2000","(2b) intermediate general qualification","in school","","","",""
"Some worries","2000","(2b) intermediate general qualification","inadequately","","","",""
"Some worries","2000","(2b) intermediate general qualification","general elemantary","310","0.436385492569029","0.400285648873197","0.47248533626486"
"Some worries","2000","(2b) intermediate general qualification","middle vocational","","","",""
"Some worries","2000","(2b) intermediate general qualification","vocational + Abi","","","",""
"Some worries","2000","(2b) intermediate general qualification","higher vocational","","","",""
"Some worries","2000","(2b) intermediate general qualification","higher education","","","",""
"Some worries","2000","(2a) intermediate vocational","in school","","","",""
"Some worries","2000","(2a) intermediate vocational","inadequately","","","",""
"Some worries","2000","(2a) intermediate vocational","general elemantary","","","",""
"Some worries","2000","(2a) intermediate vocational","middle vocational","2202","0.463832245489201","0.449599391065412","0.47806509991299"
"Some worries","2000","(2a) intermediate vocational","vocational + Abi","","","",""
"Some worries","2000","(2a) intermediate vocational","higher vocational","385","0.472397276906275","0.438080220767968","0.506714333044582"
"Some worries","2000","(2a) intermediate vocational","higher education","","","",""
"Some worries","2000","(2c_gen) general maturity certificate","in school","","","",""
"Some worries","2000","(2c_gen) general maturity certificate","inadequately","","","",""
"Some worries","2000","(2c_gen) general maturity certificate","general elemantary","","","",""
"Some worries","2000","(2c_gen) general maturity certificate","middle vocational","353","0.405691739313579","0.372124459561494","0.439259019065665"
"Some worries","2000","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Some worries","2000","(2c_gen) general maturity certificate","higher vocational","","","",""
"Some worries","2000","(2c_gen) general maturity certificate","higher education","","","",""
"Some worries","2000","(2c_voc) vocational maturity certificate","in school","","","",""
"Some worries","2000","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Some worries","2000","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Some worries","2000","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Some worries","2000","(2c_voc) vocational maturity certificate","vocational + Abi","521","0.462552595098775","0.433365301231345","0.491739888966205"
"Some worries","2000","(2c_voc) vocational maturity certificate","higher vocational","203","0.454691375833061","0.407898148006548","0.501484603659575"
"Some worries","2000","(2c_voc) vocational maturity certificate","higher education","","","",""
"Some worries","2000","(3a) lower tertiary education","in school","","","",""
"Some worries","2000","(3a) lower tertiary education","inadequately","","","",""
"Some worries","2000","(3a) lower tertiary education","general elemantary","","","",""
"Some worries","2000","(3a) lower tertiary education","middle vocational","","","",""
"Some worries","2000","(3a) lower tertiary education","vocational + Abi","","","",""
"Some worries","2000","(3a) lower tertiary education","higher vocational","","","",""
"Some worries","2000","(3a) lower tertiary education","higher education","786","0.443951720487185","0.420249665996168","0.467653774978202"
"Some worries","2000","(3b) higher tertiary education","in school","","","",""
"Some worries","2000","(3b) higher tertiary education","inadequately","","","",""
"Some worries","2000","(3b) higher tertiary education","general elemantary","","","",""
"Some worries","2000","(3b) higher tertiary education","middle vocational","","","",""
"Some worries","2000","(3b) higher tertiary education","vocational + Abi","","","",""
"Some worries","2000","(3b) higher tertiary education","higher vocational","","","",""
"Some worries","2000","(3b) higher tertiary education","higher education","873","0.405113529739628","0.384162024934171","0.426065034545084"
"No worries","2000","(0) in school","in school","182","0.366708475058707","0.323995878552211","0.409421071565204"
"No worries","2000","(0) in school","inadequately","","","",""
"No worries","2000","(0) in school","general elemantary","","","",""
"No worries","2000","(0) in school","middle vocational","","","",""
"No worries","2000","(0) in school","vocational + Abi","","","",""
"No worries","2000","(0) in school","higher vocational","","","",""
"No worries","2000","(0) in school","higher education","","","",""
"No worries","2000","(1a) inadequately completed","in school","","","",""
"No worries","2000","(1a) inadequately completed","inadequately","133","0.373434156017626","0.322612496031649","0.424255816003603"
"No worries","2000","(1a) inadequately completed","general elemantary","","","",""
"No worries","2000","(1a) inadequately completed","middle vocational","","","",""
"No worries","2000","(1a) inadequately completed","vocational + Abi","","","",""
"No worries","2000","(1a) inadequately completed","higher vocational","","","",""
"No worries","2000","(1a) inadequately completed","higher education","","","",""
"No worries","2000","(1b) general elementary school","in school","","","",""
"No worries","2000","(1b) general elementary school","inadequately","","","",""
"No worries","2000","(1b) general elementary school","general elemantary","721","0.234165642519892","0.218494138858029","0.249837146181754"
"No worries","2000","(1b) general elementary school","middle vocational","","","",""
"No worries","2000","(1b) general elementary school","vocational + Abi","","","",""
"No worries","2000","(1b) general elementary school","higher vocational","","","",""
"No worries","2000","(1b) general elementary school","higher education","","","",""
"No worries","2000","(1c) basic vocational qualification","in school","","","",""
"No worries","2000","(1c) basic vocational qualification","inadequately","","","",""
"No worries","2000","(1c) basic vocational qualification","general elemantary","","","",""
"No worries","2000","(1c) basic vocational qualification","middle vocational","1223","0.170838440951894","0.162103603988803","0.179573277914986"
"No worries","2000","(1c) basic vocational qualification","vocational + Abi","","","",""
"No worries","2000","(1c) basic vocational qualification","higher vocational","130","0.213560660452657","0.181249906212154","0.24587141469316"
"No worries","2000","(1c) basic vocational qualification","higher education","","","",""
"No worries","2000","(2b) intermediate general qualification","in school","","","",""
"No worries","2000","(2b) intermediate general qualification","inadequately","","","",""
"No worries","2000","(2b) intermediate general qualification","general elemantary","195","0.260701721481777","0.22874509808064","0.292658344882915"
"No worries","2000","(2b) intermediate general qualification","middle vocational","","","",""
"No worries","2000","(2b) intermediate general qualification","vocational + Abi","","","",""
"No worries","2000","(2b) intermediate general qualification","higher vocational","","","",""
"No worries","2000","(2b) intermediate general qualification","higher education","","","",""
"No worries","2000","(2a) intermediate vocational","in school","","","",""
"No worries","2000","(2a) intermediate vocational","inadequately","","","",""
"No worries","2000","(2a) intermediate vocational","general elemantary","","","",""
"No worries","2000","(2a) intermediate vocational","middle vocational","832","0.18608228279268","0.174975099045119","0.197189466540242"
"No worries","2000","(2a) intermediate vocational","vocational + Abi","","","",""
"No worries","2000","(2a) intermediate vocational","higher vocational","163","0.224822357427179","0.196126237007005","0.253518477847353"
"No worries","2000","(2a) intermediate vocational","higher education","","","",""
"No worries","2000","(2c_gen) general maturity certificate","in school","","","",""
"No worries","2000","(2c_gen) general maturity certificate","inadequately","","","",""
