"plj0046","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","Full Time","(0) in school","","","",""
"Big worries","1999","Full Time","(1a) inadequately completed","41","0.3484395514796","0.268942755074481","0.427936347884718"
"Big worries","1999","Full Time","(1b) general elementary school","177","0.392326719451205","0.349182307558509","0.435471131343901"
"Big worries","1999","Full Time","(1c) basic vocational qualification","675","0.419212750665128","0.395280652418033","0.443144848912222"
"Big worries","1999","Full Time","(2b) intermediate general qualification","76","0.415841453320906","0.34853700971188","0.483145896929932"
"Big worries","1999","Full Time","(2a) intermediate vocational","638","0.39878563374021","0.374572866587189","0.422998400893231"
"Big worries","1999","Full Time","(2c_gen) general maturity certificate","26","","",""
"Big worries","1999","Full Time","(2c_voc) vocational maturity certificate","93","0.262215119128275","0.217398306202895","0.307031932053654"
"Big worries","1999","Full Time","(3a) lower tertiary education","152","0.227496513947222","0.192898900979973","0.262094126914471"
"Big worries","1999","Full Time","(3b) higher tertiary education","99","0.159323305394513","0.130160818163587","0.188485792625439"
"Big worries","1999","Part Time","(0) in school","15","","",""
"Big worries","1999","Part Time","(1a) inadequately completed","25","","",""
"Big worries","1999","Part Time","(1b) general elementary school","111","0.342572001557306","0.292995395787508","0.392148607327104"
"Big worries","1999","Part Time","(1c) basic vocational qualification","329","0.431470050913767","0.39662274305994","0.466317358767594"
"Big worries","1999","Part Time","(2b) intermediate general qualification","54","0.345563439005966","0.27021052596468","0.420916352047251"
"Big worries","1999","Part Time","(2a) intermediate vocational","270","0.360117785250697","0.324531569448943","0.395704001052451"
"Big worries","1999","Part Time","(2c_gen) general maturity certificate","28","","",""
"Big worries","1999","Part Time","(2c_voc) vocational maturity certificate","46","0.272451607203173","0.20367974522131","0.341223469185035"
"Big worries","1999","Part Time","(3a) lower tertiary education","36","0.212236373091046","0.149656592391389","0.274816153790704"
"Big worries","1999","Part Time","(3b) higher tertiary education","38","0.230420290421114","0.173054882983896","0.287785697858332"
"Big worries","1999","Not Working","(0) in school","64","0.233172074822109","0.182920362188296","0.283423787455923"
"Big worries","1999","Not Working","(1a) inadequately completed","58","0.29882059278153","0.241029699474389","0.35661148608867"
"Big worries","1999","Not Working","(1b) general elementary school","400","0.412333394124712","0.383203792985944","0.441462995263481"
"Big worries","1999","Not Working","(1c) basic vocational qualification","694","0.431970406683735","0.408374748795097","0.455566064572374"
"Big worries","1999","Not Working","(2b) intermediate general qualification","55","0.30318276437587","0.23508375990552","0.371281768846221"
"Big worries","1999","Not Working","(2a) intermediate vocational","210","0.386998028807579","0.347187359358348","0.426808698256809"
"Big worries","1999","Not Working","(2c_gen) general maturity certificate","35","0.162918739413616","0.110683113016374","0.215154365810858"
