"plj0046","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","16-34 y.","college entrance qualification","182","0.201476688761803","0.176325587196277","0.22662779032733"
"Big worries","1999","16-34 y.","lower secondary degree","417","0.383161756594216","0.355075933702351","0.411247579486082"
"Big worries","1999","16-34 y.","no degree/no degree yet","97","0.264344067505491","0.220408649423198","0.308279485587784"
"Big worries","1999","16-34 y.","Other degree","43","0.219076410896026","0.160263405877158","0.277889415914894"
"Big worries","1999","16-34 y.","secondary school degree","565","0.35416371496844","0.330685385895851","0.377642044041028"
"Big worries","1999","35-65 y.","college entrance qualification","228","0.200401825047863","0.176842163283069","0.223961486812657"
"Big worries","1999","35-65 y.","lower secondary degree","1336","0.446938981339843","0.429297395215367","0.46458056746432"
"Big worries","1999","35-65 y.","no degree/no degree yet","84","0.312530007049437","0.261901760152061","0.363158253946813"
"Big worries","1999","35-65 y.","Other degree","151","0.209923674342015","0.179223561133454","0.240623787550577"
"Big worries","1999","35-65 y.","secondary school degree","783","0.372759499063477","0.35169908121911","0.393819916907843"
"Big worries","1999","66 and older","college entrance qualification","54","0.41175849478903","0.331094599904531","0.492422389673528"
"Big worries","1999","66 and older","lower secondary degree","533","0.425979471807547","0.399088805540515","0.45287013807458"
"Big worries","1999","66 and older","no degree/no degree yet","17","","",""
"Big worries","1999","66 and older","Other degree","18","","",""
"Big worries","1999","66 and older","secondary school degree","95","0.443136085966862","0.379076342141296","0.507195829792427"
"No worries","1999","16-34 y.","college entrance qualification","364","0.361395240365279","0.331271555269032","0.391518925461526"
"No worries","1999","16-34 y.","lower secondary degree","200","0.147607081729421","0.127115100815502","0.16809906264334"
"No worries","1999","16-34 y.","no degree/no degree yet","117","0.305008234579283","0.259137233284222","0.350879235874345"
"No worries","1999","16-34 y.","Other degree","63","0.328423817799877","0.261645379881298","0.395202255718456"
"No worries","1999","16-34 y.","secondary school degree","256","0.163256136128541","0.145112055906708","0.181400216350374"
"No worries","1999","35-65 y.","college entrance qualification","370","0.344589269675295","0.316619430679616","0.372559108670975"
"No worries","1999","35-65 y.","lower secondary degree","338","0.105520076397984","0.0946187376685626","0.116421415127406"
"No worries","1999","35-65 y.","no degree/no degree yet","99","0.305481092787672","0.255171087896207","0.355791097679138"
"No worries","1999","35-65 y.","Other degree","203","0.341990884959917","0.306230847636442","0.377750922283393"
"No worries","1999","35-65 y.","secondary school degree","277","0.158116606727873","0.142225640983913","0.174007572471832"
"No worries","1999","66 and older","college entrance qualification","26","","",""
