"plj0046","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","Rural Area","Female","876","0.374536263397429","0.355276511114339","0.39379601568052"
"Big worries","1999","Rural Area","Male","915","0.402852126948949","0.382741817001002","0.422962436896897"
"Big worries","1999","Urban Area","Female","1491","0.35008108496251","0.336379982420349","0.363782187504671"
"Big worries","1999","Urban Area","Male","1449","0.34992819886018","0.335740128530367","0.364116269189993"
"No worries","1999","Rural Area","Female","345","0.14572308893564","0.131683117916255","0.159763059955024"
"No worries","1999","Rural Area","Male","339","0.138936946935794","0.124755147412956","0.153118746458632"
"No worries","1999","Urban Area","Female","970","0.18488848126059","0.17373770638412","0.19603925613706"
"No worries","1999","Urban Area","Male","994","0.222368983627027","0.209998773101609","0.234739194152446"
"Some worries","1999","Rural Area","Female","1205","0.479740647666931","0.459860669674478","0.499620625659384"
"Some worries","1999","Rural Area","Male","1031","0.458210926115257","0.437781656951915","0.478640195278599"
"Some worries","1999","Urban Area","Female","2195","0.4650304337769","0.450703711857073","0.479357155696727"
"Some worries","1999","Urban Area","Male","1898","0.427702817512793","0.412985283179743","0.442420351845842"
"Big worries","2000","Rural Area","Female","1316","0.312931224270885","0.298966063512752","0.326896385029018"
"Big worries","2000","Rural Area","Male","1398","0.347702526721684","0.332914330734962","0.362490722708406"
"Big worries","2000","Urban Area","Female","2216","0.279160463857701","0.269464173552754","0.288856754162648"
"Big worries","2000","Urban Area","Male","2142","0.291413370889794","0.281155169090204","0.301671572689384"
"No worries","2000","Rural Area","Female","803","0.18476433020222","0.173075473447887","0.196453186956554"
"No worries","2000","Rural Area","Male","799","0.203109653357235","0.190617048840037","0.215602257874432"
"No worries","2000","Urban Area","Female","2150","0.259489025035265","0.250013907592496","0.268964142478035"
"No worries","2000","Urban Area","Male","2168","0.29058906606726","0.280339426395112","0.300838705739408"
"Some worries","2000","Rural Area","Female","2116","0.502304445526894","0.487245770006265","0.517363121047524"
"Some worries","2000","Rural Area","Male","1787","0.449187819921081","0.433742241404447","0.464633398437715"
"Some worries","2000","Urban Area","Female","3856","0.461350511107033","0.450575245507615","0.472125776706452"
"Some worries","2000","Urban Area","Male","3228","0.417997563042946","0.406863099415041","0.429132026670851"
"Big worries","2001","Rural Area","Female","1008","0.268770645567772","0.254734331836884","0.282806959298661"
"Big worries","2001","Rural Area","Male","1063","0.294685615768954","0.279850692953332","0.309520538584576"
"Big worries","2001","Urban Area","Female","1647","0.219358669413615","0.21000461046675","0.228712728360481"
"Big worries","2001","Urban Area","Male","1625","0.236981541923991","0.226915258736554","0.247047825111428"
"No worries","2001","Rural Area","Female","863","0.225640050014256","0.21240532640513","0.238874773623383"
"No worries","2001","Rural Area","Male","832","0.220910093413456","0.207410645098607","0.234409541728305"
"No worries","2001","Urban Area","Female","2264","0.300559232150195","0.290194992711231","0.31092347158916"
"No worries","2001","Urban Area","Male","2179","0.32051611433489","0.309468744916729","0.331563483753052"
"Some worries","2001","Rural Area","Female","1961","0.505589304417971","0.489759403065935","0.521419205770007"
"Some worries","2001","Rural Area","Male","1733","0.48440429081759","0.468142323280108","0.500666258355072"
"Some worries","2001","Urban Area","Female","3607","0.480082098436189","0.468788767053721","0.491375429818658"
"Some worries","2001","Urban Area","Male","3051","0.442502343741119","0.43074460862206","0.454260078860177"
"Big worries","2002","Rural Area","Female","1123","0.306587294450677","0.29211105153412","0.321063537367234"
"Big worries","2002","Rural Area","Male","1189","0.34185351213275","0.326588365462051","0.357118658803449"
"Big worries","2002","Urban Area","Female","1950","0.277244222302375","0.26741110279819","0.28707734180656"
"Big worries","2002","Urban Area","Male","1926","0.275802568202315","0.265613742498356","0.285991393906275"
"No worries","2002","Rural Area","Female","758","0.174361915951342","0.162449398137576","0.186274433765108"
"No worries","2002","Rural Area","Male","787","0.197449219568853","0.184638201438638","0.210260237699069"
"No worries","2002","Urban Area","Female","2152","0.246432105427213","0.236965939418603","0.255898271435823"
"No worries","2002","Urban Area","Male","2183","0.281277425637561","0.271026936916973","0.291527914358149"
"Some worries","2002","Rural Area","Female","2016","0.519050789597981","0.503363878901334","0.534737700294628"
"Some worries","2002","Rural Area","Male","1733","0.460697268298397","0.444655811612746","0.476738724984048"
"Some worries","2002","Urban Area","Female","3859","0.476323672270411","0.46535265665799","0.487294687882832"
"Some worries","2002","Urban Area","Male","3282","0.442920006160124","0.431595535274301","0.454244477045946"
"Big worries","2003","Rural Area","Female","990","0.282747673549573","0.268343822447608","0.297151524651537"
"Big worries","2003","Rural Area","Male","1042","0.305378203717782","0.290199880995461","0.320556526440104"
"Big worries","2003","Urban Area","Female","1741","0.257184584111397","0.247415635124676","0.266953533098118"
"Big worries","2003","Urban Area","Male","1764","0.266261038866137","0.256000058731213","0.276522019001062"
"No worries","2003","Rural Area","Female","819","0.197635127544544","0.184898303681094","0.210371951407993"
"No worries","2003","Rural Area","Male","808","0.211960542828515","0.198491645131833","0.225429440525197"
"No worries","2003","Urban Area","Female","2331","0.275455330811248","0.265470445182135","0.285440216440361"
"No worries","2003","Urban Area","Male","2253","0.301105769228553","0.290456262025936","0.31175527643117"
"Some worries","2003","Rural Area","Female","1946","0.519617198905884","0.503637131600553","0.535597266211214"
