"plj0046","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","general elemantary","Rural Area","277","0.399911716685488","0.364568217233678","0.435255216137297"
"Big worries","1999","general elemantary","Urban Area","585","0.385933142821738","0.362812248212137","0.40905403743134"
"Big worries","1999","higher education","Rural Area","197","0.272185231195062","0.239307300793185","0.30506316159694"
"Big worries","1999","higher education","Urban Area","261","0.21834941431231","0.195556452753401","0.241142375871219"
"Big worries","1999","higher vocational","Rural Area","131","0.44710711938631","0.39130837030501","0.50290586846761"
"Big worries","1999","higher vocational","Urban Area","168","0.311868986986646","0.271742164476767","0.351995809496525"
"Big worries","1999","in school","Rural Area","33","0.337665841120383","0.247210215278171","0.428121466962595"
"Big worries","1999","in school","Urban Area","48","0.244830638920312","0.18694974574752","0.302711532093105"
"Big worries","1999","inadequately","Rural Area","27","","",""
"Big worries","1999","inadequately","Urban Area","75","0.233532886364691","0.189398049602976","0.277667723126406"
"Big worries","1999","middle vocational","Rural Area","1068","0.410707057595324","0.391789711016249","0.429624404174399"
"Big worries","1999","middle vocational","Urban Area","1648","0.396914352446106","0.382376794876371","0.411451910015841"
"Big worries","1999","vocational + Abi","Rural Area","36","0.316728316947338","0.232792514809887","0.400664119084788"
"Big worries","1999","vocational + Abi","Urban Area","94","0.271279372348726","0.227265054532955","0.315293690164498"
"No worries","1999","general elemantary","Rural Area","119","0.150899670710123","0.125074478603944","0.176724862816302"
"No worries","1999","general elemantary","Urban Area","343","0.170328907150496","0.152474808650964","0.188183005650028"
"No worries","1999","higher education","Rural Area","149","0.213022832071712","0.182777670779819","0.243267993363605"
"No worries","1999","higher education","Urban Area","435","0.35157385508378","0.325231356953292","0.377916353214267"
"No worries","1999","higher vocational","Rural Area","43","0.117377052383356","0.0812545874422976","0.153499517324414"
"No worries","1999","higher vocational","Urban Area","95","0.210791209049998","0.175461886071483","0.246120532028513"
"No worries","1999","in school","Rural Area","25","","",""
"No worries","1999","in school","Urban Area","71","0.314476641879585","0.251975854898192","0.376977428860979"
"No worries","1999","inadequately","Rural Area","19","","",""
"No worries","1999","inadequately","Urban Area","108","0.313289787004827","0.264903687940128","0.361675886069527"
"No worries","1999","middle vocational","Rural Area","285","0.113650882618147","0.10144645735147","0.125855307884824"
"No worries","1999","middle vocational","Urban Area","738","0.155502033353851","0.144734384366618","0.166269682341084"
"No worries","1999","vocational + Abi","Rural Area","25","","",""
"No worries","1999","vocational + Abi","Urban Area","119","0.289169397779089","0.244288216299811","0.334050579258366"
"Some worries","1999","general elemantary","Rural Area","342","0.449188612604389","0.413301729985023","0.485075495223756"
"Some worries","1999","general elemantary","Urban Area","775","0.443737950027766","0.420141657619547","0.467334242435984"
"Some worries","1999","higher education","Rural Area","358","0.514791936733226","0.477873641875253","0.551710231591199"
"Some worries","1999","higher education","Urban Area","566","0.43007673060391","0.40276183274014","0.45739162846768"
"Some worries","1999","higher vocational","Rural Area","131","0.435515828230334","0.379870843515223","0.491160812945444"
"Some worries","1999","higher vocational","Urban Area","249","0.477339803963356","0.434074809821342","0.52060479810537"
"Some worries","1999","in school","Rural Area","47","0.409211745204512","0.315165077298089","0.503258413110935"
"Some worries","1999","in school","Urban Area","93","0.440692719200102","0.373862430890664","0.507523007509541"
"Some worries","1999","inadequately","Rural Area","24","","",""
"Some worries","1999","inadequately","Urban Area","170","0.453177326630482","0.401247355426004","0.505107297834959"
"Some worries","1999","middle vocational","Rural Area","1245","0.475642059786529","0.456438463485335","0.494845656087723"
"Some worries","1999","middle vocational","Urban Area","1965","0.447583614200043","0.432808735812354","0.462358492587733"
"Some worries","1999","vocational + Abi","Rural Area","57","0.463633119573949","0.373657407981204","0.553608831166694"
"Some worries","1999","vocational + Abi","Urban Area","179","0.439551229872185","0.390417722457673","0.488684737286697"
"Big worries","2000","general elemantary","Rural Area","382","0.334318373065581","0.306812699987253","0.361824046143909"
"Big worries","2000","general elemantary","Urban Area","678","0.307531331015037","0.289068970878488","0.325993691151585"
"Big worries","2000","higher education","Rural Area","254","0.214503155799127","0.191072726079246","0.237933585519008"
"Big worries","2000","higher education","Urban Area","441","0.1702524867063","0.155855122810989","0.184649850601612"
