"pli0095_h","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","16-34 y.","in school","12","","",""
"Min 1x per week","1985","16-34 y.","inadequately","39","0.149351370494266","0.104162774301495","0.194539966687037"
"Min 1x per week","1985","16-34 y.","general elemantary","146","0.0944801232148384","0.07745615565106","0.111504090778617"
"Min 1x per week","1985","16-34 y.","middle vocational","218","0.0974963959816994","0.0842966376646405","0.110696154298758"
"Min 1x per week","1985","16-34 y.","vocational + Abi","27","","",""
"Min 1x per week","1985","16-34 y.","higher vocational","23","","",""
"Min 1x per week","1985","16-34 y.","higher education","29","","",""
"Min 1x per week","1985","35-65 y.","in school","","","",""
"Min 1x per week","1985","35-65 y.","inadequately","97","0.174548316128231","0.143867769812727","0.205228862443734"
"Min 1x per week","1985","35-65 y.","general elemantary","177","0.107459999153669","0.0917190880001701","0.123200910307167"
"Min 1x per week","1985","35-65 y.","middle vocational","294","0.0977629244535892","0.0865479904475547","0.108977858459624"
"Min 1x per week","1985","35-65 y.","vocational + Abi","16","","",""
"Min 1x per week","1985","35-65 y.","higher vocational","26","","",""
"Min 1x per week","1985","35-65 y.","higher education","41","0.087307880502703","0.0613701922742965","0.113245568731109"
"Min 1x per week","1985","66 and older","in school","","","",""
"Min 1x per week","1985","66 and older","inadequately","","","",""
"Min 1x per week","1985","66 and older","general elemantary","45","0.110992629065113","0.0809867196876067","0.140998538442619"
"Min 1x per week","1985","66 and older","middle vocational","45","0.0885952110124743","0.0639576100201434","0.113232812004805"
"Min 1x per week","1985","66 and older","vocational + Abi","2","","",""
"Min 1x per week","1985","66 and older","higher vocational","4","","",""
"Min 1x per week","1985","66 and older","higher education","2","","",""
"Min 1x per month","1985","16-34 y.","in school","46","0.223851008440279","0.163948681203181","0.283753335677376"
"Min 1x per month","1985","16-34 y.","inadequately","58","0.198577738023349","0.14800166316432","0.249153812882378"
"Min 1x per month","1985","16-34 y.","general elemantary","343","0.290412045166995","0.263990878309798","0.316833212024192"
"Min 1x per month","1985","16-34 y.","middle vocational","644","0.333200244369669","0.3122254555134","0.354175033225937"
"Min 1x per month","1985","16-34 y.","vocational + Abi","53","0.386874511085906","0.308142894666633","0.465606127505179"
"Min 1x per month","1985","16-34 y.","higher vocational","60","0.311457834865466","0.246626501173195","0.376289168557737"
"Min 1x per month","1985","16-34 y.","higher education","73","0.321665775379255","0.262195738148763","0.381135812609746"
"Min 1x per month","1985","35-65 y.","in school","","","",""
"Min 1x per month","1985","35-65 y.","inadequately","165","0.255145566205649","0.21990935986577","0.290381772545527"
"Min 1x per month","1985","35-65 y.","general elemantary","356","0.209133091148515","0.188462367193231","0.229803815103799"
"Min 1x per month","1985","35-65 y.","middle vocational","681","0.247935503399405","0.231629549914991","0.264241456883819"
"Min 1x per month","1985","35-65 y.","vocational + Abi","30","0.194154419181652","0.119897932686869","0.268410905676435"
"Min 1x per month","1985","35-65 y.","higher vocational","90","0.270662163465299","0.223504850795904","0.317819476134695"
"Min 1x per month","1985","35-65 y.","higher education","90","0.207520640983904","0.170258567114114","0.244782714853693"
"Min 1x per month","1985","66 and older","in school","","","",""
"Min 1x per month","1985","66 and older","inadequately","2","","",""
"Min 1x per month","1985","66 and older","general elemantary","51","0.11566252850357","0.0851124452600986","0.146212611747041"
"Min 1x per month","1985","66 and older","middle vocational","65","0.130926296472061","0.101679426983319","0.160173165960803"
"Min 1x per month","1985","66 and older","vocational + Abi","3","","",""
"Min 1x per month","1985","66 and older","higher vocational","7","","",""
"Min 1x per month","1985","66 and older","higher education","6","","",""
"Rarely","1985","16-34 y.","in school","104","0.567242289337236","0.496039283659868","0.638445295014605"
"Rarely","1985","16-34 y.","inadequately","98","0.465600977965048","0.402361407738973","0.528840548191122"
"Rarely","1985","16-34 y.","general elemantary","482","0.474045719861507","0.444983708017113","0.5031077317059"
"Rarely","1985","16-34 y.","middle vocational","891","0.476048982055527","0.453825178439721","0.498272785671333"
"Rarely","1985","16-34 y.","vocational + Abi","56","0.351200737690283","0.274035391827085","0.428366083553481"
"Rarely","1985","16-34 y.","higher vocational","102","0.513860534196904","0.443888721155265","0.583832347238543"
"Rarely","1985","16-34 y.","higher education","119","0.502457153304649","0.438801251063144","0.566113055546154"
"Rarely","1985","35-65 y.","in school","","","",""
"Rarely","1985","35-65 y.","inadequately","195","0.320503591477957","0.282783784556492","0.358223398399423"
"Rarely","1985","35-65 y.","general elemantary","664","0.470722455655149","0.445352669916943","0.496092241393355"
"Rarely","1985","35-65 y.","middle vocational","1325","0.505162715925389","0.486282969917353","0.524042461933424"
"Rarely","1985","35-65 y.","vocational + Abi","43","0.488912677982477","0.395070507164475","0.582754848800479"
"Rarely","1985","35-65 y.","higher vocational","160","0.461583993810399","0.408671862796923","0.514496124823874"
"Rarely","1985","35-65 y.","higher education","258","0.55733148021953","0.511692230207369","0.602970730231691"
"Rarely","1985","66 and older","in school","","","",""
"Rarely","1985","66 and older","inadequately","2","","",""
"Rarely","1985","66 and older","general elemantary","105","0.237028472641493","0.196406457124031","0.277650488158954"
"Rarely","1985","66 and older","middle vocational","155","0.289852022897014","0.250515113459673","0.329188932334355"
"Rarely","1985","66 and older","vocational + Abi","5","","",""
"Rarely","1985","66 and older","higher vocational","26","","",""
"Rarely","1985","66 and older","higher education","18","","",""
"Never","1985","16-34 y.","in school","24","","",""
"Never","1985","16-34 y.","inadequately","44","0.186469913517337","0.137091135895882","0.235848691138792"
"Never","1985","16-34 y.","general elemantary","163","0.14106211175666","0.120802662533853","0.161321560979467"
"Never","1985","16-34 y.","middle vocational","187","0.0932543775931047","0.0803146666826573","0.106194088503552"
"Never","1985","16-34 y.","vocational + Abi","11","","",""
"Never","1985","16-34 y.","higher vocational","11","","",""
"Never","1985","16-34 y.","higher education","16","","",""
"Never","1985","35-65 y.","in school","","","",""
"Never","1985","35-65 y.","inadequately","131","0.249802526188163","0.214812389450606","0.28479266292572"
"Never","1985","35-65 y.","general elemantary","290","0.212684454042667","0.191885816163131","0.233483091922204"
"Never","1985","35-65 y.","middle vocational","394","0.149138856221617","0.135687253111368","0.162590459331866"
"Never","1985","35-65 y.","vocational + Abi","20","","",""
"Never","1985","35-65 y.","higher vocational","65","0.194626746175075","0.15260532232474","0.23664817002541"
"Never","1985","35-65 y.","higher education","66","0.147839998293863","0.115226383305904","0.180453613281822"
"Never","1985","66 and older","in school","","","",""
"Never","1985","66 and older","inadequately","10","","",""
"Never","1985","66 and older","general elemantary","220","0.536316369789825","0.488681119491071","0.583951620088578"
"Never","1985","66 and older","middle vocational","246","0.490626469618451","0.447282237346609","0.533970701890293"
"Never","1985","66 and older","vocational + Abi","8","","",""
"Never","1985","66 and older","higher vocational","41","0.557566791108587","0.447343570123825","0.667790012093348"
"Never","1985","66 and older","higher education","29","","",""
"Min 1x per week","1986","16-34 y.","in school","13","","",""
"Min 1x per week","1986","16-34 y.","inadequately","29","","",""
"Min 1x per week","1986","16-34 y.","general elemantary","106","0.0803083778910064","0.0644134063381916","0.0962033494438213"
"Min 1x per week","1986","16-34 y.","middle vocational","161","0.0722060255128166","0.0605617497743841","0.0838503012512491"
"Min 1x per week","1986","16-34 y.","vocational + Abi","25","","",""
"Min 1x per week","1986","16-34 y.","higher vocational","11","","",""
"Min 1x per week","1986","16-34 y.","higher education","22","","",""
"Min 1x per week","1986","35-65 y.","in school","","","",""
"Min 1x per week","1986","35-65 y.","inadequately","68","0.118957335844911","0.0914991685426754","0.146415503147147"
"Min 1x per week","1986","35-65 y.","general elemantary","118","0.0874644432207345","0.0725857814911008","0.102343104950368"
"Min 1x per week","1986","35-65 y.","middle vocational","193","0.0718200551584374","0.0619185672356503","0.0817215430812245"
"Min 1x per week","1986","35-65 y.","vocational + Abi","15","","",""
"Min 1x per week","1986","35-65 y.","higher vocational","27","","",""
"Min 1x per week","1986","35-65 y.","higher education","40","0.0788285076395306","0.0543622790148769","0.103294736264184"
"Min 1x per week","1986","66 and older","in school","","","",""
"Min 1x per week","1986","66 and older","inadequately","1","","",""
"Min 1x per week","1986","66 and older","general elemantary","40","0.106888343637156","0.0763412519661995","0.137435435308113"
"Min 1x per week","1986","66 and older","middle vocational","30","0.060992468934179","0.0394935184620672","0.0824914194062907"
"Min 1x per week","1986","66 and older","vocational + Abi","","","",""
"Min 1x per week","1986","66 and older","higher vocational","4","","",""
"Min 1x per week","1986","66 and older","higher education","2","","",""
"Min 1x per month","1986","16-34 y.","in school","44","0.22644422979335","0.166134321080856","0.286754138505843"
"Min 1x per month","1986","16-34 y.","inadequately","53","0.180183356072882","0.13083350664162","0.229533205504144"
"Min 1x per month","1986","16-34 y.","general elemantary","310","0.252582336543897","0.227170188328105","0.277994484759689"
"Min 1x per month","1986","16-34 y.","middle vocational","590","0.298938775488422","0.278343429788747","0.319534121188096"
"Min 1x per month","1986","16-34 y.","vocational + Abi","54","0.363202579933852","0.287246447925999","0.439158711941705"
"Min 1x per month","1986","16-34 y.","higher vocational","59","0.345892669620331","0.278079760425035","0.413705578815628"
"Min 1x per month","1986","16-34 y.","higher education","67","0.293228490268425","0.234266389410802","0.352190591126049"
"Min 1x per month","1986","35-65 y.","in school","","","",""
"Min 1x per month","1986","35-65 y.","inadequately","131","0.220155113775901","0.185011536555796","0.255298690996006"
