"pli0095_h","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1985","1-pers.-HH","Female","148","0.197492440797367","0.168021846988036","0.226963034606698","3"
"Min 1x per month","1985","Single parent ","Male","56","0.298673845950985","0.233076555265616","0.364271136636354","3"
"Min 1x per month","1985","(Married) couple without C. ","Male","313","0.239373108508615","0.215250771825009","0.26349544519222","3"
"Min 1x per month","1985","1-pers.-HH","Male","128","0.259440336312381","0.219600238991439","0.299280433633322","3"
"Min 1x per month","1985","(Married) couple without C. ","Female","276","0.216943844767462","0.193594691498574","0.24029299803635","3"
"Min 1x per month","1985","Single parent ","Female","71","0.182352837881454","0.142185491206802","0.222520184556106","3"
"Min 1x per month","1985","Couple + C. LE 16 ","Male","439","0.323772391397931","0.298644136198752","0.348900646597111","3"
"Min 1x per month","1985","Couple + C. LE 16 ","Female","362","0.280794334877932","0.256588235104664","0.3050004346512","3"
"Min 1x per month","1985","Couple + C. GT 16 ","Male","298","0.252326119484188","0.226658301120655","0.277993937847721","3"
"Min 1x per month","1985","Couple + C. GT 16 ","Female","204","0.203245652983067","0.177185725201862","0.229305580764273","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","Male","255","0.312378881082339","0.280263096710503","0.344494665454175","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","Female","147","0.202602743351071","0.172190611803773","0.233014874898369","3"
"Min 1x per week","1985","1-pers.-HH","Male","66","0.126046130304652","0.0958792341730669","0.156213026436236","2"
"Min 1x per week","1985","1-pers.-HH","Female","97","0.131619453556975","0.106592720193714","0.156646186920237","2"
"Min 1x per week","1985","(Married) couple without C. ","Male","115","0.0891701171135655","0.0730590554064677","0.105281178820663","2"
"Min 1x per week","1985","(Married) couple without C. ","Female","130","0.0991343173173773","0.0822048595793476","0.116063775055407","2"
"Min 1x per week","1985","Single parent ","Male","16","","","","2"
"Min 1x per week","1985","Single parent ","Female","32","0.0926177529847107","0.0624615836274929","0.122773922341928","2"
"Min 1x per week","1985","Couple + C. LE 16 ","Male","169","0.103231138158932","0.0868915315450549","0.119570744772809","2"
"Min 1x per week","1985","Couple + C. LE 16 ","Female","158","0.101528078620857","0.0852595065046215","0.117796650737093","2"
"Min 1x per week","1985","Couple + C. GT 16 ","Male","118","0.0888213013061557","0.0720095834253792","0.105633019186932","2"
"Min 1x per week","1985","Couple + C. GT 16 ","Female","99","0.0975416133069662","0.0783280058320759","0.116755220781857","2"
"Min 1x per week","1985","Couple + C. LE and GT 16","Male","101","0.0835543916073079","0.0643791393756128","0.102729643839003","2"
"Min 1x per week","1985","Couple + C. LE and GT 16","Female","77","0.0795742714479863","0.0590972143417027","0.10005132855427","2"
"Never","1985","1-pers.-HH","Male","106","0.246928378502366","0.207733866830633","0.286122890174098","5"
"Never","1985","1-pers.-HH","Female","242","0.386496361648482","0.350449259407768","0.422543463889196","5"
"Never","1985","(Married) couple without C. ","Male","261","0.245972070553388","0.221625798427042","0.270318342679734","5"
"Never","1985","(Married) couple without C. ","Female","266","0.239819965173598","0.215631856385566","0.26400807396163","5"
"Never","1985","Single parent ","Male","36","0.16250189266445","0.109627131744646","0.215376653584255","5"
"Never","1985","Single parent ","Female","92","0.258249560549619","0.212721136646147","0.303777984453091","5"
"Never","1985","Couple + C. LE 16 ","Male","130","0.0870058752389555","0.0718701142852325","0.102141636192678","5"
"Never","1985","Couple + C. LE 16 ","Female","182","0.114914135862782","0.0977357035280318","0.132092568197533","5"
"Never","1985","Couple + C. GT 16 ","Male","152","0.140990463150361","0.120424663068093","0.161556263232628","5"
"Never","1985","Couple + C. GT 16 ","Female","158","0.176808821761785","0.152102808338858","0.201514835184712","5"
"Never","1985","Couple + C. LE and GT 16","Male","95","0.119310293248596","0.0968480299154732","0.141772556581719","5"
"Never","1985","Couple + C. LE and GT 16","Female","102","0.145439538994388","0.118764843339985","0.172114234648791","5"
"Rarely","1985","(Married) couple without C. ","Female","525","0.444101872741562","0.41595436653415","0.472249378948973","4"
"Rarely","1985","(Married) couple without C. ","Male","513","0.425484703824431","0.397534264975658","0.453435142673205","4"
"Rarely","1985","1-pers.-HH","Male","165","0.367585154880602","0.32376220335426","0.411408106406944","4"
"Rarely","1985","1-pers.-HH","Female","214","0.284391743997175","0.250996451973428","0.317787036020922","4"
"Rarely","1985","Single parent ","Male","79","0.47879136829696","0.407192485858572","0.550390250735348","4"
"Rarely","1985","Single parent ","Female","160","0.466779848584216","0.414882730588746","0.518676966579686","4"
"Rarely","1985","Couple + C. LE 16 ","Male","594","0.485990595204181","0.45914979596139","0.512831394446972","4"
"Rarely","1985","Couple + C. LE 16 ","Female","622","0.502763450638429","0.475831521098442","0.529695380178416","4"
"Rarely","1985","Couple + C. GT 16 ","Female","455","0.522403911948182","0.490056916692436","0.554750907203928","4"
"Rarely","1985","Couple + C. GT 16 ","Male","532","0.517862116059295","0.488333407874037","0.547390824244554","4"
"Rarely","1985","Couple + C. LE and GT 16","Male","349","0.484756434061757","0.450124944063651","0.519387924059862","4"
"Rarely","1985","Couple + C. LE and GT 16","Female","345","0.572383446206555","0.534950189021663","0.609816703391447","4"
