"pli0095_h","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","Schleswig-Holstein","Male","20","","",""
"Min 1x per week","1985","Schleswig-Holstein","Female","13","","",""
"Min 1x per week","1985","Hamburg","Male","7","","",""
"Min 1x per week","1985","Hamburg","Female","16","","",""
"Min 1x per week","1985","Lower Saxony","Male","49","0.0836685422255587","0.0601176031099778","0.10721948134114"
"Min 1x per week","1985","Lower Saxony","Female","46","0.0877707327473672","0.0642718423144825","0.111269623180252"
"Min 1x per week","1985","Bremen","Male","4","","",""
"Min 1x per week","1985","Bremen","Female","4","","",""
"Min 1x per week","1985","North Rhine-Westphalia","Male","165","0.0969632760638153","0.0817848056147941","0.112141746512837"
"Min 1x per week","1985","North Rhine-Westphalia","Female","162","0.101461508038177","0.0861097652284871","0.116813250847867"
"Min 1x per week","1985","Hesse","Male","86","0.122198514135386","0.0951449174053938","0.149252110865379"
"Min 1x per week","1985","Hesse","Female","76","0.116078541485142","0.0895010613976582","0.142656021572625"
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Male","45","0.096932134835524","0.0670665173038926","0.126797752367155"
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Female","42","0.0974581172627796","0.0676778703585632","0.127238364166996"
"Min 1x per week","1985","Baden-Württemberg","Male","151","0.105538717905357","0.0867385775832276","0.124338858227486"
"Min 1x per week","1985","Baden-Württemberg","Female","136","0.116576353603662","0.0968628441564219","0.136289863050902"
"Min 1x per week","1985","Bavaria","Male","90","0.0890214495719223","0.0704577178982438","0.107585181245601"
"Min 1x per week","1985","Bavaria","Female","127","0.113487604421369","0.0937592851643072","0.133215923678431"
"Min 1x per week","1985","Berlin","Male","9","","",""
"Min 1x per week","1985","Berlin","Female","13","","",""
"Min 1x per week","1985","Brandenburg","Male","","","",""
"Min 1x per week","1985","Brandenburg","Female","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Male","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Female","","","",""
"Min 1x per week","1985","Saxony","Male","","","",""
"Min 1x per week","1985","Saxony","Female","","","",""
"Min 1x per week","1985","Saxony-Anhalt","Male","","","",""
"Min 1x per week","1985","Saxony-Anhalt","Female","","","",""
"Min 1x per week","1985","Thuringia","Male","","","",""
"Min 1x per week","1985","Thuringia","Female","","","",""
"Min 1x per month","1985","Schleswig-Holstein","Male","44","0.242170544922763","0.177772893275246","0.306568196570279"
"Min 1x per month","1985","Schleswig-Holstein","Female","24","","",""
"Min 1x per month","1985","Hamburg","Male","50","0.293724236586522","0.217732636125404","0.369715837047641"
"Min 1x per month","1985","Hamburg","Female","31","0.181282354787709","0.117005681685598","0.24555902788982"
"Min 1x per month","1985","Lower Saxony","Male","141","0.267184961747601","0.229548913006638","0.304821010488564"
"Min 1x per month","1985","Lower Saxony","Female","117","0.20075580508443","0.167490286753412","0.234021323415447"
"Min 1x per month","1985","Bremen","Male","13","","",""
"Min 1x per month","1985","Bremen","Female","15","","",""
"Min 1x per month","1985","North Rhine-Westphalia","Male","437","0.277061523387629","0.254104771427997","0.30001827534726"
"Min 1x per month","1985","North Rhine-Westphalia","Female","351","0.222152680050093","0.201017222959704","0.243288137140481"
"Min 1x per month","1985","Hesse","Male","182","0.312906781603795","0.274605861031358","0.351207702176232"
"Min 1x per month","1985","Hesse","Female","140","0.238112565410485","0.202772483308131","0.27345264751284"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Male","123","0.30302510603133","0.256635008126307","0.349415203936353"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Female","110","0.278233178952979","0.233235665122371","0.323230692783587"
"Min 1x per month","1985","Baden-Württemberg","Male","282","0.264868815679192","0.237868288208284","0.291869343150099"
