"pli0095_h","year","sex","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","Male","626","0.0952475097376063","0.0874171243766167","0.103077895098596"
"Min 1x per week","1985","Female","635","0.103650142043047","0.0956418623168551","0.11165842176924"
"Min 1x per month","1985","Male","1571","0.271468772724168","0.259606293823731","0.283331251624606"
"Min 1x per month","1985","Female","1276","0.213781526176578","0.203010124651087","0.224552927702069"
"Rarely","1985","Male","2370","0.460250869754679","0.446955980874384","0.473545758634974"
"Rarely","1985","Female","2482","0.439761235367439","0.426720245528791","0.452802225206086"
"Never","1985","Male","832","0.173032847783546","0.162942646386081","0.183123049181012"
"Never","1985","Female","1172","0.242807096412936","0.23154162260982","0.254072570216051"
"Min 1x per week","1986","Male","429","0.0686354887911879","0.0617813002092432","0.0754896773731327"
"Min 1x per week","1986","Female","484","0.0881911159926699","0.0805867943515214","0.0957954376338185"
"Min 1x per month","1986","Male","1376","0.240888841947029","0.229296188039792","0.252481495854266"
"Min 1x per month","1986","Female","1063","0.175113508649987","0.164921657556609","0.185305359743365"
"Rarely","1986","Male","2510","0.500384737060978","0.486829980670486","0.51393949345147"
"Rarely","1986","Female","2545","0.464282561686385","0.450908749285378","0.477656374087391"
"Never","1986","Male","912","0.190090932200805","0.179453895151977","0.200727969249633"
"Never","1986","Female","1250","0.272412813670959","0.260474240208143","0.284351387133774"
"Min 1x per week","1987","Male","","","",""
"Min 1x per week","1987","Female","","","",""
"Min 1x per month","1987","Male","","","",""
"Min 1x per month","1987","Female","","","",""
"Rarely","1987","Male","","","",""
"Rarely","1987","Female","","","",""
"Never","1987","Male","","","",""
"Never","1987","Female","","","",""
"Min 1x per week","1988","Male","413","0.0664503568996248","0.0594907788900713","0.0734099349091784"
"Min 1x per week","1988","Female","453","0.0786959046252857","0.0712554666750775","0.0861363425754939"
"Min 1x per month","1988","Male","1267","0.248368060197556","0.236295037261674","0.260441083133438"
"Min 1x per month","1988","Female","963","0.17168168536744","0.161261353554179","0.182102017180702"
"Rarely","1988","Male","2326","0.486840300468696","0.4728738813191","0.500806719618291"
"Rarely","1988","Female","2366","0.472934277182755","0.459138260372353","0.486730293993157"
"Never","1988","Male","914","0.198341282434123","0.187199187410994","0.209483377457252"
"Never","1988","Female","1249","0.276688132824519","0.26432641021815","0.289049855430888"
"Min 1x per week","1989","Male","","","",""
"Min 1x per week","1989","Female","","","",""
"Min 1x per month","1989","Male","","","",""
"Min 1x per month","1989","Female","","","",""
"Rarely","1989","Male","","","",""
"Rarely","1989","Female","","","",""
"Never","1989","Male","","","",""
"Never","1989","Female","","","",""
"Min 1x per week","1990","Male","412","0.188765790672727","0.172016992481756","0.205514588863697"
"Min 1x per week","1990","Female","359","0.156318229937197","0.141496032755129","0.171140427119266"
"Min 1x per month","1990","Male","711","0.335246122571177","0.315041013594754","0.355451231547601"
"Min 1x per month","1990","Female","563","0.231836847110357","0.214612752352017","0.249060941868698"
"Rarely","1990","Male","860","0.403325673712971","0.382329242404712","0.42432210502123"
"Rarely","1990","Female","1101","0.454345357053505","0.434023171416505","0.474667542690505"
"Never","1990","Male","114","0.0726624130431246","0.0615521915934935","0.0837726344927557"
"Never","1990","Female","283","0.15749956589894","0.142631886527446","0.172367245270435"
"Min 1x per week","1991","Male","","","",""
"Min 1x per week","1991","Female","","","",""
"Min 1x per month","1991","Male","","","",""
"Min 1x per month","1991","Female","","","",""
"Rarely","1991","Male","","","",""
"Rarely","1991","Female","","","",""
"Never","1991","Male","","","",""
"Never","1991","Female","","","",""
"Min 1x per week","1992","Male","586","0.0825016992729547","0.0757821639927847","0.0892212345531248"
"Min 1x per week","1992","Female","692","0.0979401664772503","0.090883795717167","0.104996537237334"
"Min 1x per month","1992","Male","1988","0.289416086791569","0.278340310467329","0.300491863115809"
"Min 1x per month","1992","Female","1684","0.230486752510929","0.220488724826556","0.240484780195301"
"Rarely","1992","Male","3105","0.487771432845238","0.475563412738907","0.499979452951568"
"Rarely","1992","Female","3360","0.473240537461523","0.461387478560319","0.485093596362726"
"Never","1992","Male","761","0.140310781090239","0.131828328935296","0.148793233245182"
"Never","1992","Female","1080","0.198332543550298","0.188866305581446","0.207798781519151"
"Min 1x per week","1993","Male","","","",""
"Min 1x per week","1993","Female","","","",""
"Min 1x per month","1993","Male","","","",""
"Min 1x per month","1993","Female","","","",""
"Rarely","1993","Male","","","",""
"Rarely","1993","Female","","","",""
"Never","1993","Male","","","",""
"Never","1993","Female","","","",""
"Min 1x per week","1994","Male","595","0.0897004315888604","0.0825899071868718","0.0968109559908489"
"Min 1x per week","1994","Female","636","0.0907604334193687","0.0838586471713781","0.0976622196673594"
"Min 1x per month","1994","Male","1951","0.295000747935734","0.283652780441409","0.30634871543006"
"Min 1x per month","1994","Female","1592","0.224094361766587","0.214076062982345","0.234112660550829"
"Rarely","1994","Male","3043","0.498112833321589","0.485671151021847","0.51055451562133"
"Rarely","1994","Female","3371","0.487942164529421","0.475932863162329","0.499951465896512"
"Never","1994","Male","615","0.117185987153817","0.1091824005824","0.125189573725234"
"Never","1994","Female","1056","0.197203040284623","0.187643572284534","0.206762508284712"
"Min 1x per week","1995","Male","","","",""
"Min 1x per week","1995","Female","","","",""
"Min 1x per month","1995","Male","","","",""
"Min 1x per month","1995","Female","","","",""
"Rarely","1995","Male","","","",""
"Rarely","1995","Female","","","",""
"Never","1995","Male","","","",""
"Never","1995","Female","","","",""
"Min 1x per week","1996","Male","761","0.112236579345214","0.104435789059948","0.120037369630479"
"Min 1x per week","1996","Female","825","0.121073238996855","0.11330837830594","0.12883809968777"
"Min 1x per month","1996","Male","2193","0.327996297990489","0.316394025206556","0.339598570774423"
"Min 1x per month","1996","Female","1982","0.26795387384569","0.257411643833043","0.278496103858337"
"Rarely","1996","Male","2833","0.462812702505393","0.450490502016084","0.475134902994701"
"Rarely","1996","Female","3134","0.453139632110209","0.441290474039877","0.464988790180541"
"Never","1996","Male","503","0.0969544201589041","0.0896419953974729","0.104266844920335"
"Never","1996","Female","839","0.157833255047246","0.149155017279953","0.166511492814539"
"Min 1x per week","1997","Male","737","0.107146380767689","0.0994430874345406","0.114849674100837"
"Min 1x per week","1997","Female","779","0.12167877263609","0.11380491419778","0.1295526310744"
"Min 1x per month","1997","Male","2103","0.328827874779435","0.317127525689783","0.340528223869087"
"Min 1x per month","1997","Female","1761","0.23923345009346","0.228958253048418","0.249508647138502"
"Rarely","1997","Male","2796","0.456384984896147","0.443979637040197","0.468790332752097"
"Rarely","1997","Female","3172","0.463896367140935","0.451885112791528","0.475907621490342"
"Never","1997","Male","557","0.107640759556729","0.0999218528768717","0.115359666236586"
"Never","1997","Female","910","0.175191410129515","0.166035816789321","0.18434700346971"
"Min 1x per week","1998","Male","","","",""
"Min 1x per week","1998","Female","","","",""
"Min 1x per month","1998","Male","","","",""
"Min 1x per month","1998","Female","","","",""
"Rarely","1998","Male","","","",""
