"pli0095_h","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","1-pers.-HH","Urban Area","138","0.133118601305223","0.111947221652289","0.154289980958156"
"Min 1x per week","1985","1-pers.-HH","Rural Area","25","","",""
"Min 1x per week","1985","(Married) couple without C. ","Urban Area","205","0.0972329087498167","0.0839424606004083","0.110523356899225"
"Min 1x per week","1985","(Married) couple without C. ","Rural Area","40","0.0834836770070105","0.0589918638508216","0.107975490163199"
"Min 1x per week","1985","Single parent ","Urban Area","37","0.084671532238738","0.0582662175389779","0.111076846938498"
"Min 1x per week","1985","Single parent ","Rural Area","11","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","Urban Area","262","0.1013804401777","0.0885047951689851","0.114256085186416"
"Min 1x per week","1985","Couple + C. LE 16 ","Rural Area","65","0.105643837628111","0.0798374523817748","0.131450222874448"
"Min 1x per week","1985","Couple + C. GT 16 ","Urban Area","175","0.0920228167199971","0.0780159282638289","0.106029705176165"
"Min 1x per week","1985","Couple + C. GT 16 ","Rural Area","42","0.0953712497768729","0.0658387490964856","0.12490375045726"
"Min 1x per week","1985","Couple + C. LE and GT 16","Urban Area","152","0.0859376554297259","0.0696894786534454","0.102185832206006"
"Min 1x per week","1985","Couple + C. LE and GT 16","Rural Area","26","","",""
"Min 1x per month","1985","1-pers.-HH","Urban Area","240","0.221782767243446","0.195890846676785","0.247674687810106"
"Min 1x per month","1985","1-pers.-HH","Rural Area","36","0.19695857400224","0.138369332151419","0.255547815853061"
"Min 1x per month","1985","(Married) couple without C. ","Urban Area","463","0.22702193453004","0.208230383744845","0.245813485315235"
"Min 1x per month","1985","(Married) couple without C. ","Rural Area","126","0.232592531237647","0.195184836598192","0.270000225877101"
"Min 1x per month","1985","Single parent ","Urban Area","103","0.232186568389602","0.192138594186504","0.2722345425927"
"Min 1x per month","1985","Single parent ","Rural Area","24","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","Urban Area","623","0.297527410170383","0.278025275243552","0.317029545097213"
"Min 1x per month","1985","Couple + C. LE 16 ","Rural Area","178","0.318864586502139","0.279738202358551","0.357990970645726"
"Min 1x per month","1985","Couple + C. GT 16 ","Urban Area","410","0.23190582972415","0.211454596146856","0.252357063301444"
"Min 1x per month","1985","Couple + C. GT 16 ","Rural Area","92","0.223875444525056","0.181964713566522","0.265786175483591"
"Min 1x per month","1985","Couple + C. LE and GT 16","Urban Area","315","0.264782799177499","0.239204145025776","0.290361453329223"
