"pli0095_h","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","16-34 y.","Male","265","0.104562336829952","0.0914250841639263","0.117699589495978"
"Min 1x per week","1985","16-34 y.","Female","241","0.101896791923573","0.0888396796059389","0.114953904241207"
"Min 1x per week","1985","35-65 y.","Male","327","0.0932613232343361","0.0826390097140757","0.103883636754597"
"Min 1x per week","1985","35-65 y.","Female","330","0.106285953736623","0.0949508330152872","0.117621074457958"
"Min 1x per week","1985","66 and older","Male","34","0.0774057198173918","0.0523217221287","0.102489717506084"
"Min 1x per week","1985","66 and older","Female","64","0.1003408436197","0.0774706836147294","0.12321100362467"
"Min 1x per month","1985","16-34 y.","Male","737","0.358363171216662","0.337775578828907","0.378950763604417"
"Min 1x per month","1985","16-34 y.","Female","556","0.265123814204318","0.246072049153747","0.284175579254889"
"Min 1x per month","1985","35-65 y.","Male","782","0.250039686438971","0.23422171189194","0.265857660986002"
"Min 1x per month","1985","35-65 y.","Female","638","0.22068789700918","0.205435647907624","0.235940146110736"
"Min 1x per month","1985","66 and older","Male","52","0.116069339424087","0.0860035437309587","0.146135135117215"
"Min 1x per month","1985","66 and older","Female","82","0.123235629339029","0.09821484515489","0.148256413523168"
"Rarely","1985","16-34 y.","Male","879","0.44510529694261","0.423768171790035","0.466442422095185"
"Rarely","1985","16-34 y.","Female","999","0.513368438752356","0.491795044544085","0.534941832960627"
"Rarely","1985","35-65 y.","Male","1349","0.509372360931582","0.49111151250447","0.527633209358694"
"Rarely","1985","35-65 y.","Female","1314","0.477365557234087","0.458995374559283","0.49573573990889"
"Rarely","1985","66 and older","Male","142","0.314603449447694","0.271016392727769","0.358190506167619"
"Rarely","1985","66 and older","Female","169","0.248194639892205","0.215314001972337","0.281075277812074"
"Never","1985","16-34 y.","Male","203","0.0919691950107763","0.0795620825889026","0.10437630743265"
"Never","1985","16-34 y.","Female","266","0.119610955119753","0.105604554163002","0.133617356076504"
"Never","1985","35-65 y.","Male","421","0.147326629395111","0.134379924912168","0.160273333878054"
"Never","1985","35-65 y.","Female","558","0.195660592020111","0.181070424572892","0.21025075946733"
"Never","1985","66 and older","Male","208","0.491921491310827","0.444994992011113","0.538847990610542"
"Never","1985","66 and older","Female","348","0.528228887149066","0.490230245401184","0.566227528896948"
"Min 1x per week","1986","16-34 y.","Male","209","0.089936911168499","0.0776213792530832","0.102252443083915"
"Min 1x per week","1986","16-34 y.","Female","164","0.0677584055696676","0.05676277267394","0.0787540384653951"
"Min 1x per week","1986","35-65 y.","Male","198","0.0591967566338504","0.0503523686690242","0.0680411445986765"
"Min 1x per week","1986","35-65 y.","Female","265","0.0996008009097393","0.0883487215773019","0.110852880242177"
"Min 1x per week","1986","66 and older","Male","","","",""
"Min 1x per week","1986","66 and older","Female","55","0.0926520498727837","0.0697181267276331","0.115585973017934"
"Min 1x per month","1986","16-34 y.","Male","673","0.31316935115777","0.293204646058173","0.333134056257368"
"Min 1x per month","1986","16-34 y.","Female","523","0.256906631315772","0.237791215268813","0.276022047362731"
"Min 1x per month","1986","35-65 y.","Male","651","0.220274908518466","0.204743076121271","0.235806740915661"
"Min 1x per month","1986","35-65 y.","Female","491","0.166326938405544","0.152335479505096","0.180318397305993"
"Min 1x per month","1986","66 and older","Male","52","0.122017443126052","0.0906777324021976","0.153357153849906"
"Min 1x per month","1986","66 and older","Female","49","0.0756465475439568","0.0547306023474833","0.0965624927404302"
"Rarely","1986","16-34 y.","Male","958","0.492169692771688","0.470648557297314","0.513690828246062"
"Rarely","1986","16-34 y.","Female","1004","0.526942510966905","0.505099475839354","0.548785546094456"
"Rarely","1986","35-65 y.","Male","1413","0.556600901431829","0.53798265470225","0.575219148161409"
"Rarely","1986","35-65 y.","Female","1376","0.518946065749494","0.500172713999718","0.537719417499269"
"Rarely","1986","66 and older","Male","139","0.313334482053127","0.268920696159424","0.357748267946829"
"Rarely","1986","66 and older","Female","165","0.25225184288656","0.217899310715163","0.286604375057958"
"Never","1986","16-34 y.","Male","233","0.104724044902043","0.0915429919605459","0.11790509784354"
"Never","1986","16-34 y.","Female","316","0.148392452147656","0.1328399574659","0.163944946829411"
"Never","1986","35-65 y.","Male","473","0.163927433415855","0.150052936904535","0.177801929927175"
"Never","1986","35-65 y.","Female","589","0.215126194935223","0.19968679612773","0.230565593742715"
"Never","1986","66 and older","Male","206","0.518522104966724","0.470679712012361","0.566364497921088"
"Never","1986","66 and older","Female","345","0.579449559696699","0.540403180278949","0.61849593911445"
"Min 1x per week","1987","16-34 y.","Male","","","",""
