"pli0095_h","year","migback","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","no migration background","717","0.0919174253314561","0.0855478027991457","0.0982870478637664"
"Min 1x per week","1985","direct migration background","522","0.169361322323109","0.155754890927153","0.182967753719065"
"Min 1x per week","1985","indirect migration background","22","","",""
"Min 1x per month","1985","no migration background","1927","0.234536805193014","0.225195237625729","0.243878372760299"
"Min 1x per month","1985","direct migration background","890","0.299397801764789","0.282783155665178","0.3160124478644"
"Min 1x per month","1985","indirect migration background","30","0.277405717778481","0.203766548029924","0.351044887527039"
"Rarely","1985","no migration background","3769","0.458821339087947","0.447835221681203","0.469807456494691"
"Rarely","1985","direct migration background","1019","0.362997568888497","0.345553272914557","0.380441864862438"
"Rarely","1985","indirect migration background","64","0.400733009403006","0.320131781909669","0.481334236896343"
"Never","1985","no migration background","1490","0.214724430387582","0.205671193736104","0.22377766703906"
"Never","1985","direct migration background","488","0.168243307023605","0.154672736890863","0.181813877156346"
"Never","1985","indirect migration background","26","","",""
"Min 1x per week","1986","no migration background","567","0.0774199043364773","0.0713998581473942","0.0834399505255604"
"Min 1x per week","1986","direct migration background","333","0.094122841921101","0.0833893302838134","0.104856353558389"
"Min 1x per week","1986","indirect migration background","13","","",""
"Min 1x per month","1986","no migration background","1590","0.198749255633197","0.18976031636304","0.207738194903354"
"Min 1x per month","1986","direct migration background","804","0.27312901127005","0.256750582165836","0.289507440374265"
"Min 1x per month","1986","indirect migration background","45","0.201456417196756","0.138313868635844","0.264598965757667"
"Rarely","1986","no migration background","3851","0.487028304447588","0.475769422381456","0.49828718651372"
"Rarely","1986","direct migration background","1131","0.429221501587852","0.411027249896653","0.447415753279052"
"Rarely","1986","indirect migration background","73","0.504508056443928","0.425797208036133","0.583218904851723"
"Never","1986","no migration background","1563","0.236802535582738","0.227226558423686","0.246378512741789"
"Never","1986","direct migration background","575","0.203526645220996","0.188726842581728","0.218326447860265"
"Never","1986","indirect migration background","24","","",""
"Min 1x per week","1987","no migration background","","","",""
"Min 1x per week","1987","direct migration background","","","",""
"Min 1x per week","1987","indirect migration background","","","",""
"Min 1x per month","1987","no migration background","","","",""
"Min 1x per month","1987","direct migration background","","","",""
"Min 1x per month","1987","indirect migration background","","","",""
"Rarely","1987","no migration background","","","",""
"Rarely","1987","direct migration background","","","",""
"Rarely","1987","indirect migration background","","","",""
"Never","1987","no migration background","","","",""
"Never","1987","direct migration background","","","",""
"Never","1987","indirect migration background","","","",""
"Min 1x per week","1988","no migration background","489","0.069357573367526","0.0634266446488408","0.0752885020862111"
"Min 1x per week","1988","direct migration background","352","0.104274823494208","0.0927020126008995","0.115847634387516"
"Min 1x per week","1988","indirect migration background","25","","",""
"Min 1x per month","1988","no migration background","1495","0.205645422421129","0.196210223508295","0.215080621333962"
"Min 1x per month","1988","direct migration background","671","0.225941291660721","0.210105255372174","0.241777327949268"
"Min 1x per month","1988","indirect migration background","64","0.260900309538321","0.20326555247898","0.318535066597663"
"Rarely","1988","no migration background","3576","0.486499108891821","0.474831121233206","0.498167096550436"
"Rarely","1988","direct migration background","1019","0.417201740680095","0.398529608500378","0.435873872859812"
"Rarely","1988","indirect migration background","97","0.498257498217101","0.432633448659884","0.563881547774318"
"Never","1988","no migration background","1489","0.238497895319525","0.228549290841541","0.248446499797508"
"Never","1988","direct migration background","637","0.252582144164976","0.236129155764947","0.269035132565005"
"Never","1988","indirect migration background","37","0.175682460290164","0.125735722017638","0.225629198562691"
"Min 1x per week","1989","no migration background","","","",""
"Min 1x per week","1989","direct migration background","","","",""
"Min 1x per week","1989","indirect migration background","","","",""
"Min 1x per month","1989","no migration background","","","",""
"Min 1x per month","1989","direct migration background","","","",""
"Min 1x per month","1989","indirect migration background","","","",""
"Rarely","1989","no migration background","","","",""
"Rarely","1989","direct migration background","","","",""
"Rarely","1989","indirect migration background","","","",""
"Never","1989","no migration background","","","",""
"Never","1989","direct migration background","","","",""
"Never","1989","indirect migration background","","","",""
"Min 1x per week","1990","no migration background","743","0.170708532048338","0.159412586743842","0.182004477352834"
"Min 1x per week","1990","direct migration background","28","","",""
"Min 1x per week","1990","indirect migration background","","","",""
"Min 1x per month","1990","no migration background","1237","0.281259405894541","0.267761046626446","0.294757765162636"
"Min 1x per month","1990","direct migration background","36","0.26115723460676","0.18813287886822","0.334181590345299"
"Min 1x per month","1990","indirect migration background","1","","",""
"Rarely","1990","no migration background","1901","0.430415304235286","0.415550322609542","0.445280285861029"
"Rarely","1990","direct migration background","60","0.429115284799165","0.346833843471813","0.511396726126517"
"Rarely","1990","indirect migration background","","","",""
"Never","1990","no migration background","381","0.117616757821836","0.107945018204212","0.127288497439459"
"Never","1990","direct migration background","15","","",""
"Never","1990","indirect migration background","1","","",""
"Min 1x per week","1991","no migration background","","","",""
"Min 1x per week","1991","direct migration background","","","",""
"Min 1x per week","1991","indirect migration background","","","",""
"Min 1x per month","1991","no migration background","","","",""
"Min 1x per month","1991","direct migration background","","","",""
"Min 1x per month","1991","indirect migration background","","","",""
"Rarely","1991","no migration background","","","",""
"Rarely","1991","direct migration background","","","",""
"Rarely","1991","indirect migration background","","","",""
"Never","1991","no migration background","","","",""
"Never","1991","direct migration background","","","",""
"Never","1991","indirect migration background","","","",""
"Min 1x per week","1992","no migration background","866","0.086338174275754","0.080915703847939","0.0917606447035691"
"Min 1x per week","1992","direct migration background","351","0.11914295783246","0.106549435341938","0.131736480322983"
"Min 1x per week","1992","indirect migration background","61","0.13163384632113","0.0988278494581289","0.164439843184132"
"Min 1x per month","1992","no migration background","2764","0.255843069521983","0.247418996634643","0.264267142409322"
"Min 1x per month","1992","direct migration background","766","0.275910541209411","0.258534910530911","0.293286171887912"
"Min 1x per month","1992","indirect migration background","142","0.313259920288476","0.268254313309821","0.358265527267131"
"Rarely","1992","no migration background","5309","0.488472348857088","0.478821676495741","0.498123021218435"
"Rarely","1992","direct migration background","999","0.425685489820244","0.406464327964541","0.444906651675947"
"Rarely","1992","indirect migration background","157","0.383528661687965","0.336346985376346","0.430710337999584"
"Never","1992","no migration background","1367","0.169346407345176","0.162105366626842","0.176587448063509"
"Never","1992","direct migration background","426","0.179261011137884","0.16435004543619","0.194171976839579"
"Never","1992","indirect migration background","48","0.171577571702429","0.134995003399669","0.208160140005189"
"Min 1x per week","1993","no migration background","","","",""
"Min 1x per week","1993","direct migration background","","","",""
"Min 1x per week","1993","indirect migration background","","","",""
"Min 1x per month","1993","no migration background","","","",""
"Min 1x per month","1993","direct migration background","","","",""
"Min 1x per month","1993","indirect migration background","","","",""
"Rarely","1993","no migration background","","","",""
"Rarely","1993","direct migration background","","","",""
"Rarely","1993","indirect migration background","","","",""
"Never","1993","no migration background","","","",""
"Never","1993","direct migration background","","","",""
"Never","1993","indirect migration background","","","",""
"Min 1x per week","1994","no migration background","856","0.0851830773577623","0.0797134013827063","0.0906527533328184"
"Min 1x per week","1994","direct migration background","310","0.119507577354693","0.106425742054805","0.132589412654581"
"Min 1x per week","1994","indirect migration background","65","0.1354144804342","0.105149257478421","0.165679703389979"
"Min 1x per month","1994","no migration background","2657","0.255444806699566","0.24689975235253","0.263989861046602"
"Min 1x per month","1994","direct migration background","716","0.271133161983791","0.253205503955556","0.289060820012026"
"Min 1x per month","1994","indirect migration background","170","0.296046901814018","0.255667538439999","0.336426265188038"
"Rarely","1994","no migration background","5222","0.501316227877621","0.49151938052397","0.511113075231272"
"Rarely","1994","direct migration background","977","0.436947609935008","0.416944513365545","0.456950706504472"
"Rarely","1994","indirect migration background","215","0.459584982371636","0.415503725991282","0.503666238751991"
"Never","1994","no migration background","1271","0.158055888065051","0.150908212798057","0.165203563332045"
"Never","1994","direct migration background","359","0.172411650726508","0.157178188030637","0.187645113422379"
"Never","1994","indirect migration background","41","0.108953635380145","0.0813936895827395","0.136513581177551"
"Min 1x per week","1995","no migration background","","","",""
"Min 1x per week","1995","direct migration background","","","",""
"Min 1x per week","1995","indirect migration background","","","",""
"Min 1x per month","1995","no migration background","","","",""
"Min 1x per month","1995","direct migration background","","","",""
"Min 1x per month","1995","indirect migration background","","","",""
"Rarely","1995","no migration background","","","",""
"Rarely","1995","direct migration background","","","",""
"Rarely","1995","indirect migration background","","","",""
"Never","1995","no migration background","","","",""
"Never","1995","direct migration background","","","",""
"Never","1995","indirect migration background","","","",""
"Min 1x per week","1996","no migration background","1110","0.110366562369947","0.104199133651598","0.116533991088295"
"Min 1x per week","1996","direct migration background","418","0.15843415988658","0.144428192293398","0.172440127479762"
"Min 1x per week","1996","indirect migration background","58","0.0971341496438195","0.0722257536878826","0.122042545599756"
"Min 1x per month","1996","no migration background","3106","0.29346046877497","0.284498098792904","0.302422838757036"
"Min 1x per month","1996","direct migration background","873","0.308797116420977","0.29107628705203","0.326517945789924"
"Min 1x per month","1996","indirect migration background","196","0.352705356211697","0.312516540330738","0.392894172092655"
"Rarely","1996","no migration background","4745","0.468935504577029","0.45911327629362","0.478757732860437"
"Rarely","1996","direct migration background","986","0.38939818239579","0.370694778110674","0.408101586680906"
"Rarely","1996","indirect migration background","236","0.467303630110705","0.425338591965206","0.509268668256203"
"Never","1996","no migration background","955","0.127237464278054","0.120678498236258","0.133796430319851"
"Never","1996","direct migration background","334","0.143370541296653","0.129928317542523","0.156812765050783"
"Never","1996","indirect migration background","53","0.0828568640337793","0.0596705890431849","0.106043139024374"
"Min 1x per week","1997","no migration background","1047","0.110540667642682","0.104322400793896","0.116758934491468"
"Min 1x per week","1997","direct migration background","380","0.134704084434698","0.12126189073977","0.148146278129626"
"Min 1x per week","1997","indirect migration background","89","0.143246943921979","0.11446219327682","0.172031694567137"
"Min 1x per month","1997","no migration background","2920","0.279464254500196","0.270565357826054","0.288363151174338"
"Min 1x per month","1997","direct migration background","764","0.298173302146216","0.280161931642898","0.316184672649534"
"Min 1x per month","1997","indirect migration background","180","0.288736644542817","0.251501064155688","0.325972224929946"
"Rarely","1997","no migration background","4734","0.468107714319529","0.458212390508608","0.478003038130451"
"Rarely","1997","direct migration background","981","0.413833799601968","0.394441879841124","0.433225719362812"
"Rarely","1997","indirect migration background","253","0.459599777482183","0.418651124292769","0.500548430671596"
"Never","1997","no migration background","1067","0.141887363537593","0.134967631551807","0.148807095523378"
"Never","1997","direct migration background","353","0.153288813817118","0.139104108415083","0.167473519219153"
"Never","1997","indirect migration background","47","0.108416634053021","0.0828707523671653","0.133962515738877"
"Min 1x per week","1998","no migration background","","","",""
"Min 1x per week","1998","direct migration background","","","",""
"Min 1x per week","1998","indirect migration background","","","",""
"Min 1x per month","1998","no migration background","","","",""
"Min 1x per month","1998","direct migration background","","","",""
"Min 1x per month","1998","indirect migration background","","","",""
"Rarely","1998","no migration background","","","",""
"Rarely","1998","direct migration background","","","",""
"Rarely","1998","indirect migration background","","","",""
"Never","1998","no migration background","","","",""
"Never","1998","direct migration background","","","",""
"Never","1998","indirect migration background","","","",""
"Min 1x per week","1999","no migration background","1068","0.0994851867081966","0.0938597259628139","0.105110647453579"
"Min 1x per week","1999","direct migration background","309","0.12874919658301","0.114779324929331","0.142719068236688"
"Min 1x per week","1999","indirect migration background","84","0.141904378112944","0.114144376568943","0.169664379656946"
"Min 1x per month","1999","no migration background","3149","0.264148083731014","0.255861941130687","0.272434226331341"
"Min 1x per month","1999","direct migration background","655","0.272581815329285","0.254008515350262","0.291155115308307"
"Min 1x per month","1999","indirect migration background","202","0.324952671297429","0.287693695481942","0.362211647112917"
"Rarely","1999","no migration background","5519","0.499528359031345","0.490131055183918","0.508925662878773"
"Rarely","1999","direct migration background","908","0.431487078218931","0.410828395589501","0.452145760848361"
"Rarely","1999","indirect migration background","245","0.409886926607059","0.370762012522493","0.449011840691625"
"Never","1999","no migration background","1139","0.136838370529444","0.130379100087815","0.143297640971072"
"Never","1999","direct migration background","336","0.167181909868775","0.151618015568263","0.182745804169287"
"Never","1999","indirect migration background","76","0.123256023982567","0.0971046676823786","0.149407380282756"
"Min 1x per week","2000","no migration background","","","",""
"Min 1x per week","2000","direct migration background","","","",""
"Min 1x per week","2000","indirect migration background","","","",""
"Min 1x per month","2000","no migration background","","","",""
"Min 1x per month","2000","direct migration background","","","",""
"Min 1x per month","2000","indirect migration background","","","",""
"Rarely","2000","no migration background","","","",""
"Rarely","2000","direct migration background","","","",""
"Rarely","2000","indirect migration background","","","",""
"Never","2000","no migration background","","","",""
"Never","2000","direct migration background","","","",""
"Never","2000","indirect migration background","","","",""
"Min 1x per week","2001","no migration background","2161","0.119922050499581","0.115202521828423","0.124641579170739"
"Min 1x per week","2001","direct migration background","440","0.139614302361404","0.127047652008423","0.152180952714384"
"Min 1x per week","2001","indirect migration background","129","0.161467840856918","0.135578552606073","0.187357129107763"
"Min 1x per month","2001","no migration background","5591","0.292695111047442","0.286085139346189","0.299305082748695"
"Min 1x per month","2001","direct migration background","888","0.289506353648477","0.273061987650012","0.305950719646941"
"Min 1x per month","2001","indirect migration background","258","0.335059195364072","0.301849148129118","0.368269242599026"
"Rarely","2001","no migration background","8197","0.440346730443613","0.433134901010294","0.447558559876932"
"Rarely","2001","direct migration background","1167","0.415216399034363","0.397349761505968","0.433083036562758"
"Rarely","2001","indirect migration background","322","0.396935975056712","0.362512146338941","0.431359803774483"
"Never","2001","no migration background","2253","0.147036108009364","0.141891339258313","0.152180876760414"
"Never","2001","direct migration background","427","0.155662944955757","0.142518007284569","0.168807882626945"
"Never","2001","indirect migration background","67","0.106536988722298","0.0848296927439857","0.128244284700611"
"Min 1x per week","2002","no migration background","","","",""
"Min 1x per week","2002","direct migration background","","","",""
"Min 1x per week","2002","indirect migration background","","","",""
"Min 1x per month","2002","no migration background","","","",""
"Min 1x per month","2002","direct migration background","","","",""
"Min 1x per month","2002","indirect migration background","","","",""
"Rarely","2002","no migration background","","","",""
"Rarely","2002","direct migration background","","","",""
"Rarely","2002","indirect migration background","","","",""
"Never","2002","no migration background","","","",""
"Never","2002","direct migration background","","","",""
"Never","2002","indirect migration background","","","",""
"Min 1x per week","2003","no migration background","","","",""
"Min 1x per week","2003","direct migration background","","","",""
"Min 1x per week","2003","indirect migration background","","","",""
"Min 1x per month","2003","no migration background","","","",""
"Min 1x per month","2003","direct migration background","","","",""
"Min 1x per month","2003","indirect migration background","","","",""
"Rarely","2003","no migration background","","","",""
"Rarely","2003","direct migration background","","","",""
"Rarely","2003","indirect migration background","","","",""
"Never","2003","no migration background","","","",""
"Never","2003","direct migration background","","","",""
"Never","2003","indirect migration background","","","",""
"Min 1x per week","2004","no migration background","","","",""
"Min 1x per week","2004","direct migration background","","","",""
"Min 1x per week","2004","indirect migration background","","","",""
"Min 1x per month","2004","no migration background","","","",""
"Min 1x per month","2004","direct migration background","","","",""
"Min 1x per month","2004","indirect migration background","","","",""
"Rarely","2004","no migration background","","","",""
"Rarely","2004","direct migration background","","","",""
"Rarely","2004","indirect migration background","","","",""
"Never","2004","no migration background","","","",""
"Never","2004","direct migration background","","","",""
"Never","2004","indirect migration background","","","",""
"Min 1x per week","2005","no migration background","1992","0.118542637796257","0.113751613379529","0.123333662212985"
"Min 1x per week","2005","direct migration background","322","0.135030846943719","0.121291999351386","0.148769694536052"
"Min 1x per week","2005","indirect migration background","129","0.138222699847312","0.114728641840825","0.161716757853799"
"Min 1x per month","2005","no migration background","5466","0.307784380522477","0.300943146898656","0.314625614146298"
"Min 1x per month","2005","direct migration background","747","0.30577055941659","0.287248774033489","0.324292344799691"
"Min 1x per month","2005","indirect migration background","291","0.381392891133392","0.348328191949855","0.414457590316928"
"Rarely","2005","no migration background","8196","0.448274965815116","0.440904006328365","0.455645925301867"
"Rarely","2005","direct migration background","982","0.420788532242862","0.400942027887167","0.440635036598558"
"Rarely","2005","indirect migration background","341","0.393247588865977","0.359996213361379","0.426498964370575"
"Never","2005","no migration background","1833","0.125398015866151","0.12048960399774","0.130306427734561"
"Never","2005","direct migration background","326","0.138410061396829","0.124527562738249","0.152292560055409"
"Never","2005","indirect migration background","68","0.0871368201533185","0.0679380006977282","0.106335639608909"
"Min 1x per week","2006","no migration background","","","",""
"Min 1x per week","2006","direct migration background","","","",""
"Min 1x per week","2006","indirect migration background","","","",""
"Min 1x per month","2006","no migration background","","","",""
"Min 1x per month","2006","direct migration background","","","",""
"Min 1x per month","2006","indirect migration background","","","",""
"Rarely","2006","no migration background","","","",""
"Rarely","2006","direct migration background","","","",""
"Rarely","2006","indirect migration background","","","",""
"Never","2006","no migration background","","","",""
"Never","2006","direct migration background","","","",""
"Never","2006","indirect migration background","","","",""
"Min 1x per week","2007","no migration background","2145","0.116549105519409","0.111807652224066","0.121290558814752"
"Min 1x per week","2007","direct migration background","303","0.128553811754101","0.114312887785589","0.142794735722614"
