"pli0095_h","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1985","Full Time","Urban Area","1158","0.284292083206765","0.270264147567775","0.298320018845754","3"
"Min 1x per month","1985","Full Time","Rural Area","269","0.260936464109916","0.233300762289237","0.288572165930595","3"
"Min 1x per month","1985","Part Time","Urban Area","387","0.258809263293776","0.236358593388516","0.281259933199035","3"
"Min 1x per month","1985","Part Time","Rural Area","112","0.277478295240114","0.232752539870916","0.322204050609312","3"
"Min 1x per month","1985","Not Working","Urban Area","717","0.194041987540298","0.180489722555363","0.207594252525233","3"
"Min 1x per month","1985","Not Working","Rural Area","204","0.209341118417185","0.182820373236836","0.235861863597534","3"
"Min 1x per week","1985","Full Time","Urban Area","433","0.0904499903308779","0.0815300689843752","0.0993699116773807","2"
"Min 1x per week","1985","Full Time","Rural Area","97","0.0812231869071735","0.0640319450630795","0.0984144287512676","2"
"Min 1x per week","1985","Part Time","Urban Area","183","0.110203971304128","0.0941523738905398","0.126255568717716","2"
"Min 1x per week","1985","Part Time","Rural Area","42","0.104317490901388","0.0737842194137177","0.134850762389058","2"
"Min 1x per week","1985","Not Working","Urban Area","416","0.112274413001123","0.101455401451569","0.123093424550678","2"
"Min 1x per week","1985","Not Working","Rural Area","90","0.0895244928526527","0.0709135256347311","0.108135460070574","2"
"Never","1985","Full Time","Urban Area","536","0.120872595115924","0.110735038245686","0.131010151986162","5"
"Never","1985","Full Time","Rural Area","109","0.115263561445015","0.0951673034159492","0.135359819474081","5"
"Never","1985","Part Time","Urban Area","205","0.14253583965534","0.124615574460993","0.160456104849687","5"
"Never","1985","Not Working","Urban Area","855","0.318413908033516","0.302449081890141","0.334378734176892","5"
"Never","1985","Part Time","Rural Area","49","0.135363516399586","0.101190342350975","0.169536690448197","5"
"Never","1985","Not Working","Rural Area","250","0.317925939257559","0.287570073463365","0.348281805051753","5"
"Rarely","1985","Full Time","Urban Area","1845","0.504385331346433","0.488836535160434","0.519934127532433","4"
"Rarely","1985","Full Time","Rural Area","495","0.542576787537895","0.511225749235581","0.573927825840209","4"
"Rarely","1985","Part Time","Urban Area","687","0.488450925746757","0.462828011402906","0.514073840090608","4"
"Rarely","1985","Part Time","Rural Area","182","0.482840697458912","0.432925610609464","0.53275578430836","4"
"Rarely","1985","Not Working","Urban Area","1283","0.375269691425063","0.358676655553208","0.391862727296917","4"
"Rarely","1985","Not Working","Rural Area","360","0.383208449472603","0.351516378356072","0.414900520589135","4"
"Min 1x per month","1986","Full Time","Urban Area","1003","0.245753063185928","0.232174675519536","0.259331450852319","3"
"Min 1x per month","1986","Full Time","Rural Area","256","0.241925652596513","0.214961730514781","0.268889574678244","3"
"Min 1x per month","1986","Part Time","Urban Area","341","0.223065921057332","0.201511632407659","0.244620209707005","3"
"Min 1x per month","1986","Not Working","Urban Area","609","0.169432640403461","0.156237826843993","0.182627453962929","3"
"Min 1x per month","1986","Part Time","Rural Area","82","0.184863800747454","0.146533607481625","0.223193994013283","3"
"Min 1x per month","1986","Not Working","Rural Area","148","0.158314299963436","0.133113425152801","0.18351517477407","3"
"Min 1x per week","1986","Full Time","Urban Area","310","0.0711179103464934","0.0630118143144011","0.0792240063785857","2"
"Min 1x per week","1986","Full Time","Rural Area","63","0.0524901495287218","0.0384485373371187","0.066531761720325","2"
"Min 1x per week","1986","Part Time","Urban Area","125","0.0921643227411052","0.0771878328755338","0.107140812606677","2"
"Min 1x per week","1986","Part Time","Rural Area","33","0.0758144900346269","0.0496774943200529","0.101951485749201","2"
"Min 1x per week","1986","Not Working","Urban Area","323","0.0896334474271856","0.0795858902690015","0.0996810045853696","2"
"Min 1x per week","1986","Not Working","Rural Area","59","0.0777756276621958","0.0592863208092438","0.0962649345151478","2"
"Never","1986","Full Time","Urban Area","590","0.140742090436795","0.129774386356786","0.151709794516804","5"
"Never","1986","Full Time","Rural Area","139","0.151128979096353","0.128577193671792","0.173680764520914","5"
"Never","1986","Part Time","Urban Area","235","0.142743939354568","0.124632243486274","0.160855635222862","5"
"Never","1986","Part Time","Rural Area","59","0.148072542265728","0.113002317082297","0.183142767449159","5"
"Never","1986","Not Working","Urban Area","904","0.355087971892981","0.338255980207255","0.371919963578707","5"
"Never","1986","Not Working","Rural Area","235","0.345457434582691","0.312629255866025","0.378285613299358","5"
"Rarely","1986","Full Time","Urban Area","1959","0.542386936030784","0.526674418556544","0.558099453505024","4"
"Rarely","1986","Full Time","Rural Area","511","0.554455218778412","0.523160927480152","0.585749510076673","4"
"Rarely","1986","Part Time","Urban Area","732","0.542025816846995","0.516229631988565","0.567822001705425","4"
"Rarely","1986","Part Time","Rural Area","220","0.591249166952191","0.542707512271241","0.639790821633142","4"
"Rarely","1986","Not Working","Urban Area","1269","0.385845940276372","0.368723608035407","0.402968272517338","4"
"Rarely","1986","Not Working","Rural Area","364","0.418452637791677","0.384396431321813","0.452508844261541","4"
"Min 1x per month","1987","Full Time","Urban Area","","","","","3"
"Min 1x per month","1987","Part Time","Urban Area","","","","","3"
"Min 1x per month","1987","Full Time","Rural Area","","","","","3"
"Min 1x per month","1987","Part Time","Rural Area","","","","","3"
"Min 1x per month","1987","Not Working","Urban Area","","","","","3"
"Min 1x per month","1987","Not Working","Rural Area","","","","","3"
"Min 1x per week","1987","Full Time","Urban Area","","","","","2"
"Min 1x per week","1987","Full Time","Rural Area","","","","","2"
"Min 1x per week","1987","Part Time","Urban Area","","","","","2"
"Min 1x per week","1987","Part Time","Rural Area","","","","","2"
"Min 1x per week","1987","Not Working","Urban Area","","","","","2"
"Min 1x per week","1987","Not Working","Rural Area","","","","","2"
"Never","1987","Full Time","Urban Area","","","","","5"
"Never","1987","Full Time","Rural Area","","","","","5"
"Never","1987","Part Time","Urban Area","","","","","5"
"Never","1987","Not Working","Urban Area","","","","","5"
"Never","1987","Part Time","Rural Area","","","","","5"
"Never","1987","Not Working","Rural Area","","","","","5"
"Rarely","1987","Full Time","Rural Area","","","","","4"
"Rarely","1987","Full Time","Urban Area","","","","","4"
"Rarely","1987","Part Time","Rural Area","","","","","4"
"Rarely","1987","Part Time","Urban Area","","","","","4"
"Rarely","1987","Not Working","Rural Area","","","","","4"
"Rarely","1987","Not Working","Urban Area","","","","","4"
"Min 1x per month","1988","Full Time","Rural Area","245","0.262147424861163","0.233220703999434","0.291074145722891","3"
"Min 1x per month","1988","Full Time","Urban Area","926","0.242208259540469","0.228379573065769","0.256036946015169","3"
"Min 1x per month","1988","Part Time","Urban Area","329","0.243455817568301","0.221054902413839","0.265856732722764","3"
"Min 1x per month","1988","Part Time","Rural Area","102","0.220011921830243","0.180627840856019","0.259396002804467","3"
"Min 1x per month","1988","Not Working","Urban Area","501","0.155609062515086","0.142291649522896","0.168926475507276","3"
"Min 1x per month","1988","Not Working","Rural Area","127","0.163297229123545","0.135816345047588","0.190778113199501","3"
"Min 1x per week","1988","Full Time","Urban Area","287","0.0592181427212297","0.0515993987347942","0.0668368867076651","2"
"Min 1x per week","1988","Full Time","Rural Area","66","0.0615928546432434","0.0457802858651647","0.0774054234213221","2"
"Min 1x per week","1988","Part Time","Urban Area","143","0.0839611687880503","0.0694856307644204","0.0984367068116802","2"
"Min 1x per week","1988","Part Time","Rural Area","32","0.0647507160500907","0.0413548241580456","0.0881466079421359","2"
"Min 1x per week","1988","Not Working","Urban Area","283","0.0835262349211494","0.0733613582330296","0.0936911116092692","2"
"Min 1x per week","1988","Not Working","Rural Area","55","0.0835426540788994","0.0629711544967793","0.104114153661019","2"
"Never","1988","Full Time","Urban Area","644","0.151902541130791","0.140316984010916","0.163488098250667","5"
"Never","1988","Full Time","Rural Area","113","0.118358495997546","0.097111998795617","0.139604993199474","5"
"Never","1988","Part Time","Urban Area","241","0.175864724530763","0.155993384514804","0.195736064546722","5"
"Never","1988","Not Working","Urban Area","899","0.371436615956638","0.353684605736025","0.389188626177251","5"
"Never","1988","Part Time","Rural Area","59","0.136687812296939","0.104028844212987","0.169346780380891","5"
"Never","1988","Not Working","Rural Area","207","0.345825545448315","0.310464018136725","0.381187072759905","5"
"Rarely","1988","Full Time","Urban Area","1830","0.54667105660751","0.530602336477689","0.562739776737332","4"
"Rarely","1988","Full Time","Rural Area","464","0.557901224498048","0.525236430664488","0.590566018331609","4"
"Rarely","1988","Part Time","Urban Area","697","0.496718289112885","0.470620772395916","0.522815805829854","4"
"Rarely","1988","Part Time","Rural Area","232","0.578549549822727","0.531603704120948","0.625495395524505","4"
