"pli0095_h","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1985","no migration background","Male","1024","0.264062735284652","0.249996475163582","0.278128995405721","3"
"Min 1x per month","1985","no migration background","Female","903","0.208747515183338","0.196352665453722","0.221142364912954","3"
"Min 1x per month","1985","direct migration background","Male","531","0.339375509120066","0.315878998259097","0.362872019981036","3"
"Min 1x per month","1985","direct migration background","Female","359","0.25685282595436","0.233624497837608","0.280081154071112","3"
"Min 1x per month","1985","indirect migration background","Male","16","","","","3"
"Min 1x per month","1985","indirect migration background","Female","14","","","","3"
"Min 1x per week","1985","no migration background","Male","320","0.0848791001146595","0.0759861816860233","0.0937720185432958","2"
"Min 1x per week","1985","no migration background","Female","397","0.0980650186379169","0.0889948003641246","0.107135236911709","2"
"Min 1x per week","1985","direct migration background","Male","294","0.17732355567314","0.158370312330895","0.196276799015384","2"
"Min 1x per week","1985","direct migration background","Female","228","0.160887774246337","0.141352931981834","0.18042261651084","2"
"Min 1x per week","1985","indirect migration background","Male","12","","","","2"
"Min 1x per week","1985","indirect migration background","Female","10","","","","2"
"Never","1985","no migration background","Male","611","0.178112276449132","0.165903901407429","0.190320651490835","5"
"Never","1985","no migration background","Female","879","0.246703150545327","0.233555641187806","0.259850659902847","5"
"Never","1985","direct migration background","Male","212","0.132346637060277","0.115530920663768","0.149162353456786","5"
"Never","1985","indirect migration background","Male","9","","","","5"
"Never","1985","direct migration background","Female","276","0.206445171419991","0.184925819064334","0.227964523775649","5"
"Never","1985","indirect migration background","Female","17","","","","5"
"Rarely","1985","no migration background","Male","1818","0.472945888151557","0.457015072269773","0.48887670403334","4"
"Rarely","1985","no migration background","Female","1951","0.446484315633418","0.431322851788297","0.46164577947854","4"
"Rarely","1985","direct migration background","Male","523","0.350954298146517","0.327270643818152","0.374637952474881","4"
"Rarely","1985","direct migration background","Female","496","0.375814228379312","0.350063951434818","0.401564505323805","4"
"Rarely","1985","indirect migration background","Male","29","","","","4"
"Rarely","1985","indirect migration background","Female","35","0.34999813890007","0.242764396610463","0.457231881189678","4"
"Min 1x per month","1986","no migration background","Male","864","0.232016057189751","0.218276609271091","0.245755505108411","3"
"Min 1x per month","1986","no migration background","Female","726","0.169455797999603","0.157749106355299","0.181162489643908","3"
"Min 1x per month","1986","direct migration background","Male","482","0.308357867467422","0.285209914799254","0.33150582013559","3"
"Min 1x per month","1986","indirect migration background","Male","30","0.334234113664514","0.22527388674791","0.443194340581119","3"
"Min 1x per month","1986","direct migration background","Female","322","0.235500639972721","0.212558442302104","0.258442837643338","3"
"Min 1x per month","1986","indirect migration background","Female","15","","","","3"
"Min 1x per week","1986","no migration background","Male","241","0.0661559822564373","0.0580658443889828","0.0742461201238918","2"
"Min 1x per week","1986","no migration background","Female","326","0.0873384780736855","0.0785283490713352","0.0961486070760358","2"
"Min 1x per week","1986","direct migration background","Male","181","0.0900769466393733","0.0757268934564217","0.104426999822325","2"
"Min 1x per week","1986","direct migration background","Female","152","0.0984443120545061","0.0823362979408286","0.114552326168184","2"
