"pli0095_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","West Germany","Male","626","0.0952475097376063","0.0874171243766167","0.103077895098596"
"Min 1x per week","1985","West Germany","Female","635","0.103650142043047","0.0956418623168551","0.11165842176924"
"Min 1x per week","1985","East Germany","Male","","","",""
"Min 1x per week","1985","East Germany","Female","","","",""
"Min 1x per month","1985","West Germany","Male","1571","0.271468772724168","0.259606293823731","0.283331251624606"
"Min 1x per month","1985","West Germany","Female","1276","0.213781526176578","0.203010124651087","0.224552927702069"
"Min 1x per month","1985","East Germany","Male","","","",""
"Min 1x per month","1985","East Germany","Female","","","",""
"Rarely","1985","West Germany","Male","2370","0.460250869754679","0.446955980874384","0.473545758634974"
"Rarely","1985","West Germany","Female","2482","0.439761235367439","0.426720245528791","0.452802225206086"
"Rarely","1985","East Germany","Male","","","",""
"Rarely","1985","East Germany","Female","","","",""
"Never","1985","West Germany","Male","832","0.173032847783546","0.162942646386081","0.183123049181012"
"Never","1985","West Germany","Female","1172","0.242807096412936","0.23154162260982","0.254072570216051"
"Never","1985","East Germany","Male","","","",""
"Never","1985","East Germany","Female","","","",""
"Min 1x per week","1986","West Germany","Male","429","0.0686354887911879","0.0617813002092432","0.0754896773731327"
"Min 1x per week","1986","West Germany","Female","484","0.0881911159926699","0.0805867943515214","0.0957954376338185"
"Min 1x per week","1986","East Germany","Male","","","",""
"Min 1x per week","1986","East Germany","Female","","","",""
"Min 1x per month","1986","West Germany","Male","1376","0.240888841947029","0.229296188039792","0.252481495854266"
"Min 1x per month","1986","West Germany","Female","1063","0.175113508649987","0.164921657556609","0.185305359743365"
"Min 1x per month","1986","East Germany","Male","","","",""
"Min 1x per month","1986","East Germany","Female","","","",""
"Rarely","1986","West Germany","Male","2510","0.500384737060978","0.486829980670486","0.51393949345147"
"Rarely","1986","West Germany","Female","2545","0.464282561686385","0.450908749285378","0.477656374087391"
"Rarely","1986","East Germany","Male","","","",""
"Rarely","1986","East Germany","Female","","","",""
"Never","1986","West Germany","Male","912","0.190090932200805","0.179453895151977","0.200727969249633"
"Never","1986","West Germany","Female","1250","0.272412813670959","0.260474240208143","0.284351387133774"
"Never","1986","East Germany","Male","","","",""
"Never","1986","East Germany","Female","","","",""
"Min 1x per week","1987","West Germany","Male","","","",""
"Min 1x per week","1987","West Germany","Female","","","",""
"Min 1x per week","1987","East Germany","Male","","","",""
"Min 1x per week","1987","East Germany","Female","","","",""
"Min 1x per month","1987","West Germany","Male","","","",""
"Min 1x per month","1987","West Germany","Female","","","",""
"Min 1x per month","1987","East Germany","Male","","","",""
"Min 1x per month","1987","East Germany","Female","","","",""
"Rarely","1987","West Germany","Male","","","",""
"Rarely","1987","West Germany","Female","","","",""
"Rarely","1987","East Germany","Male","","","",""
"Rarely","1987","East Germany","Female","","","",""
"Never","1987","West Germany","Male","","","",""
"Never","1987","West Germany","Female","","","",""
"Never","1987","East Germany","Male","","","",""
"Never","1987","East Germany","Female","","","",""
"Min 1x per week","1988","West Germany","Male","413","0.0664503568996248","0.0594907788900713","0.0734099349091784"
"Min 1x per week","1988","West Germany","Female","453","0.0786959046252857","0.0712554666750775","0.0861363425754939"
"Min 1x per week","1988","East Germany","Male","","","",""
"Min 1x per week","1988","East Germany","Female","","","",""
"Min 1x per month","1988","West Germany","Male","1267","0.248368060197556","0.236295037261674","0.260441083133438"
"Min 1x per month","1988","West Germany","Female","963","0.17168168536744","0.161261353554179","0.182102017180702"
"Min 1x per month","1988","East Germany","Male","","","",""
"Min 1x per month","1988","East Germany","Female","","","",""
"Rarely","1988","West Germany","Male","2326","0.486840300468696","0.4728738813191","0.500806719618291"
"Rarely","1988","West Germany","Female","2366","0.472934277182755","0.459138260372353","0.486730293993157"
"Rarely","1988","East Germany","Male","","","",""
"Rarely","1988","East Germany","Female","","","",""
"Never","1988","West Germany","Male","914","0.198341282434123","0.187199187410994","0.209483377457252"
"Never","1988","West Germany","Female","1249","0.276688132824519","0.26432641021815","0.289049855430888"
"Never","1988","East Germany","Male","","","",""
"Never","1988","East Germany","Female","","","",""
"Min 1x per week","1989","West Germany","Male","","","",""
"Min 1x per week","1989","West Germany","Female","","","",""
"Min 1x per week","1989","East Germany","Male","","","",""
"Min 1x per week","1989","East Germany","Female","","","",""
"Min 1x per month","1989","West Germany","Male","","","",""
"Min 1x per month","1989","West Germany","Female","","","",""
"Min 1x per month","1989","East Germany","Male","","","",""
"Min 1x per month","1989","East Germany","Female","","","",""
"Rarely","1989","West Germany","Male","","","",""
"Rarely","1989","West Germany","Female","","","",""
"Rarely","1989","East Germany","Male","","","",""
"Rarely","1989","East Germany","Female","","","",""
"Never","1989","West Germany","Male","","","",""
"Never","1989","West Germany","Female","","","",""
"Never","1989","East Germany","Male","","","",""
"Never","1989","East Germany","Female","","","",""
"Min 1x per week","1990","West Germany","Male","","","",""
"Min 1x per week","1990","West Germany","Female","","","",""
"Min 1x per week","1990","East Germany","Male","412","0.188765790672727","0.172016992481756","0.205514588863697"
"Min 1x per week","1990","East Germany","Female","359","0.156318229937197","0.141496032755129","0.171140427119266"
"Min 1x per month","1990","West Germany","Male","","","",""
"Min 1x per month","1990","West Germany","Female","","","",""
"Min 1x per month","1990","East Germany","Male","711","0.335246122571177","0.315041013594754","0.355451231547601"
"Min 1x per month","1990","East Germany","Female","563","0.231836847110357","0.214612752352017","0.249060941868698"
"Rarely","1990","West Germany","Male","","","",""
"Rarely","1990","West Germany","Female","","","",""
"Rarely","1990","East Germany","Male","860","0.403325673712971","0.382329242404712","0.42432210502123"
"Rarely","1990","East Germany","Female","1101","0.454345357053505","0.434023171416505","0.474667542690505"
"Never","1990","West Germany","Male","","","",""
"Never","1990","West Germany","Female","","","",""
"Never","1990","East Germany","Male","114","0.0726624130431246","0.0615521915934935","0.0837726344927557"
"Never","1990","East Germany","Female","283","0.15749956589894","0.142631886527446","0.172367245270435"
"Min 1x per week","1991","West Germany","Male","","","",""
"Min 1x per week","1991","West Germany","Female","","","",""
"Min 1x per week","1991","East Germany","Male","","","",""
"Min 1x per week","1991","East Germany","Female","","","",""
"Min 1x per month","1991","West Germany","Male","","","",""
"Min 1x per month","1991","West Germany","Female","","","",""
"Min 1x per month","1991","East Germany","Male","","","",""
"Min 1x per month","1991","East Germany","Female","","","",""
"Rarely","1991","West Germany","Male","","","",""
"Rarely","1991","West Germany","Female","","","",""
"Rarely","1991","East Germany","Male","","","",""
"Rarely","1991","East Germany","Female","","","",""
"Never","1991","West Germany","Male","","","",""
"Never","1991","West Germany","Female","","","",""
"Never","1991","East Germany","Male","","","",""
"Never","1991","East Germany","Female","","","",""
"Min 1x per week","1992","West Germany","Male","433","0.0822014835390319","0.0742240153449231","0.0901789517331406"
"Min 1x per week","1992","West Germany","Female","519","0.100027907871355","0.0914809989088128","0.108574816833898"
"Min 1x per week","1992","East Germany","Male","153","0.083686365752479","0.0711887641761273","0.0961839673288306"
"Min 1x per week","1992","East Germany","Female","173","0.0897423876891483","0.0774654882561342","0.102019287122163"
"Min 1x per month","1992","West Germany","Male","1384","0.283203763904502","0.27011800403578","0.296289523773225"
"Min 1x per month","1992","West Germany","Female","1202","0.232597911766895","0.220562849038023","0.244632974495768"
