"pli0095_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Never","1985","1-pers.-HH","East Germany","","","",""
"Never","1985","(Married) couple without C. ","West Germany","527","0.242933354724441","0.225772314983258","0.260094394465624"
"Never","1985","(Married) couple without C. ","East Germany","","","",""
"Never","1985","Single parent ","West Germany","128","0.225238323265303","0.190069838609798","0.260406807920808"
"Never","1985","Single parent ","East Germany","","","",""
"Never","1985","Couple + C. LE 16 ","West Germany","312","0.100761863971339","0.089314130475899","0.112209597466779"
"Never","1985","Couple + C. LE 16 ","East Germany","","","",""
"Never","1985","Couple + C. GT 16 ","West Germany","310","0.157194072739965","0.141305506793977","0.173082638685952"
"Never","1985","Couple + C. GT 16 ","East Germany","","","",""
"Never","1985","Couple + C. LE and GT 16","West Germany","197","0.131258731344071","0.114002296254011","0.148515166434131"
"Never","1985","Couple + C. LE and GT 16","East Germany","","","",""
"Min 1x per week","1986","1-pers.-HH","West Germany","119","0.100655709913756","0.082979762217388","0.118331657610125"
"Min 1x per week","1986","1-pers.-HH","East Germany","","","",""
"Min 1x per week","1986","(Married) couple without C. ","West Germany","199","0.0817917075082207","0.0707469099209314","0.09283650509551"
"Min 1x per week","1986","(Married) couple without C. ","East Germany","","","",""
"Min 1x per week","1986","Single parent ","West Germany","40","0.0836858492814302","0.0596054077602364","0.107766290802624"
"Min 1x per week","1986","Single parent ","East Germany","","","",""
"Min 1x per week","1986","Couple + C. LE 16 ","West Germany","215","0.0760720985998769","0.06547216986402","0.0866720273357339"
"Min 1x per week","1986","Couple + C. LE 16 ","East Germany","","","",""
"Min 1x per week","1986","Couple + C. GT 16 ","West Germany","153","0.0626476293645506","0.0522659589160926","0.0730292998130086"
"Min 1x per week","1986","Couple + C. GT 16 ","East Germany","","","",""
"Min 1x per week","1986","Couple + C. LE and GT 16","West Germany","139","0.0821959909001045","0.0677724189362087","0.0966195628640003"
"Min 1x per week","1986","Couple + C. LE and GT 16","East Germany","","","",""
"Min 1x per month","1986","1-pers.-HH","West Germany","237","0.183310405566189","0.1605791942618","0.206041616870577"
"Min 1x per month","1986","1-pers.-HH","East Germany","","","",""
"Min 1x per month","1986","(Married) couple without C. ","West Germany","512","0.196194870479578","0.180190016012895","0.21219972494626"
"Min 1x per month","1986","(Married) couple without C. ","East Germany","","","",""
"Min 1x per month","1986","Single parent ","West Germany","120","0.227339805256618","0.190893941587692","0.263785668925543"
"Min 1x per month","1986","Single parent ","East Germany","","","",""
"Min 1x per month","1986","Couple + C. LE 16 ","West Germany","609","0.243888409571831","0.226718827101166","0.261057992042495"
"Min 1x per month","1986","Couple + C. LE 16 ","East Germany","","","",""
"Min 1x per month","1986","Couple + C. GT 16 ","West Germany","468","0.206338802957514","0.189001900566497","0.22367570534853"
"Min 1x per month","1986","Couple + C. GT 16 ","East Germany","","","",""
"Min 1x per month","1986","Couple + C. LE and GT 16","West Germany","357","0.226697040119585","0.204709821535497","0.248684258703673"
"Min 1x per month","1986","Couple + C. LE and GT 16","East Germany","","","",""
"Rarely","1986","1-pers.-HH","West Germany","402","0.343245148984658","0.31535156254626","0.371138735423057"
"Rarely","1986","1-pers.-HH","East Germany","","","",""
"Rarely","1986","(Married) couple without C. ","West Germany","1105","0.4662166890318","0.446111464760009","0.48632191330359"
"Rarely","1986","(Married) couple without C. ","East Germany","","","",""
"Rarely","1986","Single parent ","West Germany","231","0.465762642621816","0.422385025837416","0.509140259406216"
"Rarely","1986","Single parent ","East Germany","","","",""
"Rarely","1986","Couple + C. LE 16 ","West Germany","1220","0.542162275670617","0.522242169880179","0.562082381461054"
"Rarely","1986","Couple + C. LE 16 ","East Germany","","","",""
"Rarely","1986","Couple + C. GT 16 ","West Germany","1102","0.559213948669117","0.537944002240311","0.580483895097923"
"Rarely","1986","Couple + C. GT 16 ","East Germany","","","",""
"Rarely","1986","Couple + C. LE and GT 16","West Germany","685","0.554939826298423","0.528841969348628","0.581037683248217"
"Rarely","1986","Couple + C. LE and GT 16","East Germany","","","",""
"Never","1986","1-pers.-HH","West Germany","355","0.372788735535397","0.344380855581151","0.401196615489642"
"Never","1986","1-pers.-HH","East Germany","","","",""
"Never","1986","(Married) couple without C. ","West Germany","549","0.255796732980402","0.238212403957847","0.273381062002956"
"Never","1986","(Married) couple without C. ","East Germany","","","",""
"Never","1986","Single parent ","West Germany","117","0.223211702840136","0.187001908998073","0.259421496682199"
"Never","1986","Single parent ","East Germany","","","",""
"Never","1986","Couple + C. LE 16 ","West Germany","359","0.137877216157676","0.124092366942145","0.151662065373206"
"Never","1986","Couple + C. LE 16 ","East Germany","","","",""
"Never","1986","Couple + C. GT 16 ","West Germany","370","0.171799619008819","0.155639584344899","0.187959653672739"
"Never","1986","Couple + C. GT 16 ","East Germany","","","",""
"Never","1986","Couple + C. LE and GT 16","West Germany","212","0.136167142681888","0.11815673454466","0.154177550819116"
"Never","1986","Couple + C. LE and GT 16","East Germany","","","",""
"Min 1x per week","1987","1-pers.-HH","West Germany","","","",""
"Min 1x per week","1987","1-pers.-HH","East Germany","","","",""
"Min 1x per week","1987","(Married) couple without C. ","West Germany","","","",""
"Min 1x per week","1987","(Married) couple without C. ","East Germany","","","",""
"Min 1x per week","1987","Single parent ","West Germany","","","",""
"Min 1x per week","1987","Single parent ","East Germany","","","",""
"Min 1x per week","1987","Couple + C. LE 16 ","West Germany","","","",""
"Min 1x per week","1987","Couple + C. LE 16 ","East Germany","","","",""
"Min 1x per week","1987","Couple + C. GT 16 ","West Germany","","","",""
