"pli0095_h","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1985","in school","East Germany","","","","","3"
"Min 1x per month","1985","higher vocational","East Germany","","","","","3"
"Min 1x per month","1985","higher vocational","West Germany","157","0.249523470369129","0.215322786401193","0.283724154337065","3"
"Min 1x per month","1985","inadequately","West Germany","225","0.231223955445588","0.202729102027442","0.259718808863735","3"
"Min 1x per month","1985","higher education","West Germany","169","0.227314361144827","0.197260335858042","0.257368386431612","3"
"Min 1x per month","1985","inadequately","East Germany","","","","","3"
"Min 1x per month","1985","higher education","East Germany","","","","","3"
"Min 1x per month","1985","general elemantary","West Germany","750","0.209631828616181","0.195167049078242","0.224096608154121","3"
"Min 1x per month","1985","general elemantary","East Germany","","","","","3"
"Min 1x per month","1985","vocational + Abi","West Germany","86","0.293489213044246","0.239571895173666","0.347406530914826","3"
"Min 1x per month","1985","in school","West Germany","46","0.223851008440279","0.163948681203181","0.283753335677376","3"
"Min 1x per month","1985","vocational + Abi","East Germany","","","","","3"
"Min 1x per month","1985","middle vocational","West Germany","1390","0.257396954274962","0.245450597894205","0.269343310655719","3"
"Min 1x per month","1985","middle vocational","East Germany","","","","","3"
"Min 1x per week","1985","in school","West Germany","12","","","","2"
"Min 1x per week","1985","in school","East Germany","","","","","2"
"Min 1x per week","1985","inadequately","West Germany","136","0.152718291091889","0.12840691530072","0.177029666883059","2"
"Min 1x per week","1985","inadequately","East Germany","","","","","2"
"Min 1x per week","1985","general elemantary","West Germany","368","0.104556500661814","0.0936831573640551","0.115429843959573","2"
"Min 1x per week","1985","general elemantary","East Germany","","","","","2"
"Min 1x per week","1985","middle vocational","West Germany","557","0.0962006235425879","0.0881434936777407","0.104257753407435","2"
"Min 1x per week","1985","middle vocational","East Germany","","","","","2"
"Min 1x per week","1985","vocational + Abi","West Germany","45","0.162353841255814","0.118688747757133","0.206018934754496","2"
"Min 1x per week","1985","vocational + Abi","East Germany","","","","","2"
"Min 1x per week","1985","higher vocational","West Germany","53","0.0824576090071068","0.0607186386203058","0.104196579393908","2"
"Min 1x per week","1985","higher vocational","East Germany","","","","","2"
"Min 1x per week","1985","higher education","West Germany","72","0.0924881199536958","0.0717123596847615","0.11326388022263","2"
"Min 1x per week","1985","higher education","East Germany","","","","","2"
"Never","1985","higher education","West Germany","111","0.165483364794493","0.138834270059746","0.192132459529241","5"
"Never","1985","inadequately","East Germany","","","","","5"
"Never","1985","inadequately","West Germany","185","0.233456620468507","0.204866133086058","0.262047107850956","5"
"Never","1985","general elemantary","West Germany","673","0.272038671459072","0.256224808780271","0.287852534137873","5"
"Never","1985","in school","East Germany","","","","","5"
"Never","1985","in school","West Germany","24","","","","5"
"Never","1985","middle vocational","West Germany","827","0.185509839863843","0.174888439053915","0.196131240673771","5"
