"pli0095_h","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1985","1-pers.-HH","no migration background","215","0.207438082078612","0.181762152188166","0.233114011969057","3"
"Min 1x per month","1985","Single parent ","direct migration background","31","0.198477705875324","0.126205912895672","0.270749498854976","3"
"Min 1x per month","1985","(Married) couple without C. ","direct migration background","123","0.272594558919286","0.228847040860597","0.316342076977975","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","indirect migration background","11","","","","3"
"Min 1x per month","1985","(Married) couple without C. ","no migration background","462","0.223956185873148","0.205648726628686","0.242263645117611","3"
"Min 1x per month","1985","Single parent ","no migration background","92","0.222554539416871","0.182389085669227","0.262719993164514","3"
"Min 1x per month","1985","Single parent ","indirect migration background","4","","","","3"
"Min 1x per month","1985","Couple + C. LE 16 ","indirect migration background","2","","","","3"
"Min 1x per month","1985","Couple + C. GT 16 ","no migration background","357","0.227140820761162","0.206255501122093","0.248026140400231","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","no migration background","193","0.240946647949681","0.21140418180744","0.270489114091923","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","direct migration background","198","0.386711324513087","0.348315873687355","0.42510677533882","3"
"Min 1x per month","1985","Couple + C. GT 16 ","indirect migration background","7","","","","3"
"Min 1x per month","1985","1-pers.-HH","direct migration background","59","0.32643315043549","0.261447035584945","0.391419265286035","3"
"Min 1x per month","1985","1-pers.-HH","indirect migration background","2","","","","3"
"Min 1x per month","1985","(Married) couple without C. ","indirect migration background","4","","","","3"
"Min 1x per month","1985","Couple + C. LE 16 ","no migration background","512","0.304165787864987","0.28212088491073","0.326210690819244","3"
"Min 1x per month","1985","Couple + C. LE 16 ","direct migration background","287","0.295882457955809","0.26709908275815","0.324665833153468","3"
"Min 1x per month","1985","Couple + C. GT 16 ","direct migration background","138","0.27702249645125","0.234624423500466","0.319420569402034","3"
"Min 1x per week","1985","1-pers.-HH","no migration background","122","0.123693827181378","0.102845688585585","0.144541965777172","2"
"Min 1x per week","1985","1-pers.-HH","direct migration background","39","0.189862667418794","0.135508580432091","0.244216754405498","2"
"Min 1x per week","1985","1-pers.-HH","indirect migration background","2","","","","2"
"Min 1x per week","1985","(Married) couple without C. ","no migration background","182","0.0889402337006004","0.0764397738053697","0.101440693595831","2"
"Min 1x per week","1985","(Married) couple without C. ","direct migration background","63","0.162885602736875","0.126607855526006","0.199163349947743","2"
"Min 1x per week","1985","(Married) couple without C. ","indirect migration background","","","","","2"
"Min 1x per week","1985","Single parent ","no migration background","29","","","","2"
"Min 1x per week","1985","Single parent ","direct migration background","18","","","","2"
"Min 1x per week","1985","Single parent ","indirect migration background","1","","","","2"
