"pli0095_h","year","education","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","lower secondary degree","548","0.0943890771789533","0.0866126542470038","0.102165500110903"
"Min 1x per week","1985","secondary school degree","170","0.0929214870775155","0.0797240709221152","0.106118903232916"
"Min 1x per week","1985","college entrance qualification","137","0.112015916208661","0.0942747891535599","0.129757043263763"
"Min 1x per week","1985","Other degree","218","0.172356706079412","0.151171828820796","0.193541583338028"
"Min 1x per week","1985","no degree/no degree yet","161","0.115983581802112","0.0969918225847118","0.134975341019511"
"Min 1x per month","1985","lower secondary degree","1335","0.232244659230271","0.221013296147922","0.24347602231262"
"Min 1x per month","1985","secondary school degree","492","0.2524360310687","0.232688707226188","0.272183354911212"
"Min 1x per month","1985","college entrance qualification","305","0.249641975624623","0.225295740118856","0.27398821113039"
"Min 1x per month","1985","Other degree","390","0.311668445617798","0.28568866281174","0.337648228423855"
"Min 1x per month","1985","no degree/no degree yet","293","0.230558282842964","0.205576984802737","0.255539580883191"
"Rarely","1985","lower secondary degree","2444","0.436998522947723","0.423805542224469","0.450191503670976"
"Rarely","1985","secondary school degree","921","0.485767010262035","0.463047321789415","0.508486698734655"
"Rarely","1985","college entrance qualification","595","0.473697694113067","0.445610586425308","0.501784801800826"
"Rarely","1985","Other degree","422","0.358220686348749","0.331326497687415","0.385114875010083"
"Rarely","1985","no degree/no degree yet","414","0.446069632962311","0.416587039199846","0.475552226724777"
"Never","1985","lower secondary degree","1103","0.236367740643053","0.225067585357387","0.247667895928719"
"Never","1985","secondary school degree","276","0.168875471591749","0.151845076110182","0.185905867073316"
"Never","1985","college entrance qualification","177","0.164644414053648","0.143782798461169","0.185506029646128"
"Never","1985","Other degree","191","0.157754161954041","0.13730855024033","0.178199773667753"
"Never","1985","no degree/no degree yet","224","0.207388502392613","0.183341591530961","0.231435413254266"
"Min 1x per week","1986","lower secondary degree","414","0.0773067623535401","0.0700082386553924","0.0846052860516878"
"Min 1x per week","1986","secondary school degree","122","0.0723139265947252","0.0604600632606805","0.0841677899287699"
"Min 1x per week","1986","college entrance qualification","100","0.0815853213912331","0.0664046040377818","0.0967660387446845"
"Min 1x per week","1986","Other degree","143","0.128615169227546","0.109407982546967","0.147822355908125"
"Min 1x per week","1986","no degree/no degree yet","119","0.0815883084233241","0.0648630410197666","0.0983135758268816"
"Min 1x per month","1986","lower secondary degree","1099","0.193302626232256","0.182511374843087","0.204093877621424"
"Min 1x per month","1986","secondary school degree","431","0.213494769373598","0.19474081510704","0.232248723640155"
"Min 1x per month","1986","college entrance qualification","295","0.231227512083659","0.207845302904191","0.254609721263126"
"Min 1x per month","1986","Other degree","326","0.26380378853693","0.238519544916689","0.289088032157171"
"Min 1x per month","1986","no degree/no degree yet","252","0.22200317341945","0.196610471905575","0.247395874933325"
"Rarely","1986","lower secondary degree","2520","0.473269994497684","0.459625855785845","0.486914133209522"
"Rarely","1986","secondary school degree","966","0.514907388609054","0.492034273418617","0.537780503799491"
"Rarely","1986","college entrance qualification","642","0.501308949820287","0.473579874465612","0.529038025174961"
"Rarely","1986","Other degree","461","0.403387885986303","0.375241663090349","0.431534108882258"
"Rarely","1986","no degree/no degree yet","409","0.429034192450751","0.398793522599837","0.459274862301664"
"Never","1986","lower secondary degree","1111","0.256120616916521","0.244192520476085","0.268048713356956"
"Never","1986","secondary school degree","315","0.199283915422624","0.18100191033999","0.217565920505257"
"Never","1986","college entrance qualification","212","0.185878216704822","0.164304458442746","0.207451974966898"
"Never","1986","Other degree","237","0.20419315624922","0.18106520895804","0.2273211035404"
"Never","1986","no degree/no degree yet","249","0.267374325706475","0.240332169205254","0.294416482207697"
"Min 1x per week","1987","lower secondary degree","","","",""
"Min 1x per week","1987","secondary school degree","","","",""
"Min 1x per week","1987","college entrance qualification","","","",""
"Min 1x per week","1987","Other degree","","","",""
"Min 1x per week","1987","no degree/no degree yet","","","",""
"Min 1x per month","1987","lower secondary degree","","","",""
"Min 1x per month","1987","secondary school degree","","","",""
"Min 1x per month","1987","college entrance qualification","","","",""
"Min 1x per month","1987","Other degree","","","",""
"Min 1x per month","1987","no degree/no degree yet","","","",""
"Rarely","1987","lower secondary degree","","","",""
"Rarely","1987","secondary school degree","","","",""
"Rarely","1987","college entrance qualification","","","",""
"Rarely","1987","Other degree","","","",""
"Rarely","1987","no degree/no degree yet","","","",""
"Never","1987","lower secondary degree","","","",""
"Never","1987","secondary school degree","","","",""
"Never","1987","college entrance qualification","","","",""
"Never","1987","Other degree","","","",""
"Never","1987","no degree/no degree yet","","","",""
"Min 1x per week","1988","lower secondary degree","380","0.0706085884918827","0.0633975987499002","0.0778195782338653"
"Min 1x per week","1988","secondary school degree","124","0.0708442669811506","0.0588476492266719","0.0828408847356294"
"Min 1x per week","1988","college entrance qualification","78","0.0652415307082617","0.0511273327116538","0.0793557287048695"
"Min 1x per week","1988","Other degree","149","0.14628752061477","0.125122786830566","0.167452254398975"
"Min 1x per week","1988","no degree/no degree yet","115","0.102727392795457","0.0829799663696578","0.122474819221256"
"Min 1x per month","1988","lower secondary degree","1023","0.195489952651508","0.184326597482894","0.206653307820121"
"Min 1x per month","1988","secondary school degree","368","0.204181603521832","0.185333072769555","0.223030134274108"
"Min 1x per month","1988","college entrance qualification","314","0.259190335647096","0.234146136308538","0.284234534985653"
"Min 1x per month","1988","Other degree","273","0.252952832153374","0.226918458087857","0.278987206218892"
"Min 1x per month","1988","no degree/no degree yet","209","0.196714230163291","0.170858423461122","0.22257003686546"
"Rarely","1988","lower secondary degree","2325","0.468094441180138","0.454048501732486","0.48214038062779"
"Rarely","1988","secondary school degree","942","0.521563397611813","0.498205811320883","0.544920983902743"
"Rarely","1988","college entrance qualification","585","0.493326485878893","0.46475217616155","0.521900795596236"
"Rarely","1988","Other degree","410","0.385689540244649","0.356537682153754","0.414841398335543"
"Rarely","1988","no degree/no degree yet","344","0.433607039806592","0.401373184474866","0.465840895138318"
"Never","1988","lower secondary degree","1120","0.265807017676471","0.253371750481534","0.278242284871409"
"Never","1988","secondary school degree","323","0.203410731885204","0.184588705968722","0.222232757801686"
"Never","1988","college entrance qualification","199","0.18224164776575","0.160177825969853","0.204305469561647"
"Never","1988","Other degree","239","0.215070106987207","0.190463098693006","0.239677115281408"
"Never","1988","no degree/no degree yet","240","0.26695133723466","0.238178173304831","0.295724501164488"
"Min 1x per week","1989","lower secondary degree","","","",""
