"pli0095_h","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","Not Employed","no migration background","332","0.10157295786721","0.0911389631456198","0.1120069525888"
"Min 1x per week","1985","Not Employed","direct migration background","161","0.160440276138918","0.136232759577707","0.184647792700128"
"Min 1x per week","1985","Not Employed","indirect migration background","13","","",""
"Min 1x per week","1985","Employed","no migration background","385","0.0841402300816744","0.0761895852899513","0.0920908748733975"
"Min 1x per week","1985","Employed","direct migration background","361","0.174233116887945","0.15775705980271","0.19070917397318"
"Min 1x per week","1985","Employed","indirect migration background","9","","",""
"Min 1x per month","1985","Not Employed","no migration background","661","0.19045338217542","0.176891017080628","0.204015747270213"
"Min 1x per month","1985","Not Employed","direct migration background","248","0.277922725298853","0.248375166357398","0.307470284240307"
"Min 1x per month","1985","Not Employed","indirect migration background","12","","",""
"Min 1x per month","1985","Employed","no migration background","1266","0.270044467439194","0.257328428286309","0.282760506592079"
"Min 1x per month","1985","Employed","direct migration background","642","0.311125368088971","0.291016065370163","0.331234670807779"
"Min 1x per month","1985","Employed","indirect migration background","18","","",""
"Rarely","1985","Not Employed","no migration background","1309","0.38079747432855","0.364025524895458","0.397569423761641"
"Rarely","1985","Not Employed","direct migration background","302","0.338648988679438","0.307434326314346","0.369863651044531"
"Rarely","1985","Not Employed","indirect migration background","32","0.322779147490515","0.214785119730672","0.430773175250358"
"Rarely","1985","Employed","no migration background","2460","0.521666845343498","0.507359868568543","0.535973822118454"
"Rarely","1985","Employed","direct migration background","717","0.376294359228421","0.355251105380689","0.397337613076154"
"Rarely","1985","Employed","indirect migration background","32","0.470613575940505","0.353685798010063","0.587541353870947"
"Never","1985","Not Employed","no migration background","918","0.32717618562882","0.310970713994303","0.343381657263336"
"Never","1985","Not Employed","direct migration background","172","0.222988009882791","0.19553295253157","0.250443067234012"
"Never","1985","Not Employed","indirect migration background","15","","",""
"Never","1985","Employed","no migration background","572","0.124148457135633","0.114704110357572","0.133592803913694"
"Never","1985","Employed","direct migration background","316","0.138347155794663","0.123349945382345","0.15334436620698"
"Never","1985","Employed","indirect migration background","11","","",""
"Min 1x per week","1986","Not Employed","no migration background","252","0.0849608349986303","0.074976792661339","0.0949448773359216"
"Min 1x per week","1986","Not Employed","direct migration background","123","0.107879697767147","0.0870364743878923","0.128722921146402"
