"pli0095_h","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1985","Not Employed","921","0.197810083968474","0.185726864492766","0.209893303444182","3"
"Min 1x per month","1985","Employed","1926","0.274460723979357","0.263845827755968","0.285075620202745","3"
"Min 1x per week","1985","Not Employed","506","0.106671225895753","0.0973074900067871","0.116034961784719","2"
"Min 1x per week","1985","Employed","755","0.0942715007318839","0.0873207067933845","0.101222294670383","2"
"Never","1985","Employed","899","0.125737154798258","0.117850405931147","0.133623903665369","5"
"Never","1985","Not Employed","1105","0.318293723859883","0.304164037073767","0.332423410645999","5"
"Rarely","1985","Employed","3209","0.505530620490502","0.493637697103814","0.517423543877189","4"
"Rarely","1985","Not Employed","1643","0.37722496627589","0.362522653344191","0.391927279207589","4"
"Min 1x per month","1986","Not Employed","757","0.166849359416956","0.155164372751235","0.178534346082677","3"
"Min 1x per month","1986","Employed","1682","0.23592399114515","0.225725626630219","0.246122355660081","3"
"Min 1x per week","1986","Not Employed","382","0.0868783527702503","0.0780511258438341","0.0957055796966664","2"
"Min 1x per week","1986","Employed","531","0.0729579542276216","0.0667110875758874","0.0792048208793558","2"
"Never","1986","Employed","1023","0.143379892686243","0.134961785460786","0.1517979999117","5"
"Never","1986","Not Employed","1139","0.352850373210183","0.33787416648911","0.367826579931257","5"
"Rarely","1986","Employed","3422","0.547738161940985","0.5357829393269","0.559693384555071","4"
"Rarely","1986","Not Employed","1633","0.39342191460261","0.378111857348485","0.408731971856735","4"
"Min 1x per month","1987","Not Employed","","","","","3"
"Min 1x per month","1987","Employed","","","","","3"
"Min 1x per week","1987","Not Employed","","","","","2"
"Min 1x per week","1987","Employed","","","","","2"
"Never","1987","Not Employed","","","","","5"
"Never","1987","Employed","","","","","5"
"Rarely","1987","Not Employed","","","","","4"
"Rarely","1987","Employed","","","","","4"
"Min 1x per month","1988","Not Employed","628","0.157324314003565","0.145331715822584","0.169316912184546","3"
"Min 1x per month","1988","Employed","1602","0.243782839683053","0.233271842826805","0.2542938365393","3"
