"pli0095_h","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1985","West Germany","2847","0.240930367237917","0.232925573282229","0.248935161193604","3"
"Min 1x per month","1985","East Germany","","","","","3"
"Min 1x per week","1985","West Germany","1261","0.0996956851637596","0.0940878346979847","0.105303535629535","2"
"Min 1x per week","1985","East Germany","","","","","2"
"Never","1985","East Germany","","","","","5"
"Never","1985","West Germany","2004","0.209969855955448","0.202346189556672","0.217593522354224","5"
"Rarely","1985","East Germany","","","","","4"
"Rarely","1985","West Germany","4852","0.449404091642876","0.440093043363966","0.458715139921786","4"
"Min 1x per month","1986","West Germany","2439","0.206206993578687","0.198493760209424","0.21392022694795","3"
"Min 1x per month","1986","East Germany","","","","","3"
"Min 1x per week","1986","West Germany","913","0.0789467295459364","0.0738058125920144","0.0840876464998584","2"
"Min 1x per week","1986","East Germany","","","","","2"
"Never","1986","East Germany","","","","","5"
"Never","1986","West Germany","2162","0.233497401882242","0.22543194481118","0.241562858953304","5"
"Rarely","1986","East Germany","","","","","4"
"Rarely","1986","West Germany","5055","0.481348874993134","0.471823133649467","0.490874616336801","4"
"Min 1x per month","1987","West Germany","","","","","3"
"Min 1x per month","1987","East Germany","","","","","3"
"Min 1x per week","1987","West Germany","","","","","2"
"Min 1x per week","1987","East Germany","","","","","2"
"Never","1987","West Germany","","","","","5"
"Never","1987","East Germany","","","","","5"
"Rarely","1987","West Germany","","","","","4"
"Rarely","1987","East Germany","","","","","4"
"Min 1x per month","1988","West Germany","2230","0.208133041105155","0.20015655975824","0.21610952245207","3"
"Min 1x per month","1988","East Germany","","","","","3"
"Min 1x per week","1988","West Germany","866","0.0728752250411996","0.0677681319326728","0.0779823181497265","2"
"Min 1x per week","1988","East Germany","","","","","2"
"Never","1988","West Germany","2163","0.239447502779919","0.231062861589638","0.2478321439702","5"
"Never","1988","East Germany","","","","","5"
"Rarely","1988","West Germany","4692","0.479544231073726","0.469728537849021","0.48935992429843","4"
"Rarely","1988","East Germany","","","","","4"
"Min 1x per month","1989","West Germany","","","","","3"
"Min 1x per month","1989","East Germany","","","","","3"
"Min 1x per week","1989","West Germany","","","","","2"
"Min 1x per week","1989","East Germany","","","","","2"
"Never","1989","West Germany","","","","","5"
"Never","1989","East Germany","","","","","5"
"Rarely","1989","West Germany","","","","","4"
"Rarely","1989","East Germany","","","","","4"
"Min 1x per month","1990","East Germany","1274","0.280662614546612","0.26739073756137","0.293934491531854","3"
"Min 1x per month","1990","West Germany","","","","","3"
"Min 1x per week","1990","East Germany","771","0.171638683999821","0.160501093627584","0.182776274372059","2"
"Min 1x per week","1990","West Germany","","","","","2"
"Never","1990","East Germany","397","0.117442819762454","0.107933303848109","0.126952335676799","5"
"Never","1990","West Germany","","","","","5"
"Rarely","1990","East Germany","1961","0.430255881691113","0.415631514545948","0.444880248836277","4"
"Rarely","1990","West Germany","","","","","4"
"Min 1x per month","1991","East Germany","","","","","3"
"Min 1x per month","1991","West Germany","","","","","3"
"Min 1x per week","1991","East Germany","","","","","2"
"Min 1x per week","1991","West Germany","","","","","2"
