"pli0095_h","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","Urban Area","Male","506","0.0959640593659502","0.0871491627821892","0.104778955949711"
"Min 1x per week","1985","Urban Area","Female","526","0.109369008626772","0.100163885583409","0.118574131670134"
"Min 1x per week","1985","Rural Area","Male","120","0.092944540011718","0.0758634546215427","0.110025625401893"
"Min 1x per week","1985","Rural Area","Female","109","0.0848931260678838","0.0687770151190428","0.101009237016725"
"Min 1x per month","1985","Urban Area","Male","1253","0.273269056996832","0.259932242117339","0.286605871876326"
"Min 1x per month","1985","Urban Area","Female","1009","0.212879734576666","0.200806565972221","0.224952903181112"
"Min 1x per month","1985","Rural Area","Male","318","0.26568271127924","0.239698464895731","0.291666957662749"
"Min 1x per month","1985","Rural Area","Female","267","0.216739266001101","0.19291551981984","0.240563012182361"
"Rarely","1985","Urban Area","Male","1861","0.457562587951335","0.442652845575308","0.472472330327362"
"Rarely","1985","Urban Area","Female","1954","0.435990961043725","0.421365305748929","0.450616616338521"
"Rarely","1985","Rural Area","Male","509","0.468890929511692","0.439533746739111","0.498248112284274"
"Rarely","1985","Rural Area","Female","528","0.452127163945299","0.423349319481358","0.48090500840924"
"Never","1985","Urban Area","Male","669","0.173204295685882","0.161879027289471","0.184529564082293"
"Never","1985","Urban Area","Female","927","0.241760295752837","0.229132448826297","0.254388142679377"
"Never","1985","Rural Area","Male","163","0.172481819197349","0.150256549703151","0.194707088691547"
"Never","1985","Rural Area","Female","245","0.246240443985716","0.221329844166191","0.271151043805242"
"Min 1x per week","1986","Urban Area","Male","357","0.0719283307568137","0.0640817339586906","0.0797749275549367"
"Min 1x per week","1986","Urban Area","Female","401","0.0918903252095627","0.0831902014754709","0.100590448943654"
"Min 1x per week","1986","Rural Area","Male","72","0.0577973250251171","0.0437623427488643","0.0718323073013699"
"Min 1x per week","1986","Rural Area","Female","83","0.0760025769257235","0.060391825104258","0.0916133287471891"
"Min 1x per month","1986","Urban Area","Male","1104","0.242943764147951","0.229919369812271","0.255968158483632"
"Min 1x per month","1986","Urban Area","Female","849","0.179080508201372","0.167532799324503","0.190628217078242"
"Min 1x per month","1986","Rural Area","Male","272","0.234125206287429","0.208657560123013","0.259592852451845"
"Min 1x per month","1986","Rural Area","Female","214","0.162042626151691","0.140335622436589","0.183749629866793"
"Rarely","1986","Urban Area","Male","1970","0.496076924135847","0.480892538531797","0.511261309739898"
"Rarely","1986","Urban Area","Female","1990","0.455979391967849","0.440979032485707","0.470979751449991"
"Rarely","1986","Rural Area","Male","540","0.514563608213483","0.484504815590566","0.5446224008364"
"Rarely","1986","Rural Area","Female","555","0.491640708403716","0.462190824885246","0.521090591922187"
"Never","1986","Urban Area","Male","734","0.189050980959388","0.17715974951268","0.200942212406095"
"Never","1986","Urban Area","Female","995","0.273049774621216","0.259631563132368","0.286467986110065"
"Never","1986","Rural Area","Male","178","0.193513860473971","0.169754194815103","0.217273526132839"
"Never","1986","Rural Area","Female","255","0.270314088518869","0.244151747528236","0.296476429509502"
"Min 1x per week","1987","Urban Area","Male","","","",""
"Min 1x per week","1987","Urban Area","Female","","","",""
"Min 1x per week","1987","Rural Area","Male","","","",""
"Min 1x per week","1987","Rural Area","Female","","","",""
"Min 1x per month","1987","Urban Area","Male","","","",""
"Min 1x per month","1987","Urban Area","Female","","","",""
"Min 1x per month","1987","Rural Area","Male","","","",""
"Min 1x per month","1987","Rural Area","Female","","","",""
"Rarely","1987","Urban Area","Male","","","",""
"Rarely","1987","Urban Area","Female","","","",""
"Rarely","1987","Rural Area","Male","","","",""
"Rarely","1987","Rural Area","Female","","","",""
"Never","1987","Urban Area","Male","","","",""
"Never","1987","Urban Area","Female","","","",""
"Never","1987","Rural Area","Male","","","",""
"Never","1987","Rural Area","Female","","","",""
"Min 1x per week","1988","Urban Area","Male","336","0.0660924053747263","0.0583288859179892","0.0738559248314633"
"Min 1x per week","1988","Urban Area","Female","377","0.0799597737717428","0.0715638352607685","0.0883557122827172"
"Min 1x per week","1988","Rural Area","Male","77","0.0676538189167953","0.051977489175158","0.0833301486584326"
"Min 1x per week","1988","Rural Area","Female","76","0.0743370873766556","0.0582546508720249","0.0904195238812863"
"Min 1x per month","1988","Urban Area","Male","995","0.243925980676305","0.230506302513746","0.257345658838864"
"Min 1x per month","1988","Urban Area","Female","761","0.172848802709923","0.161144226275332","0.184553379144514"
"Min 1x per month","1988","Rural Area","Male","272","0.263302691311619","0.235812242875705","0.290793139747534"
"Min 1x per month","1988","Rural Area","Female","202","0.167656544617824","0.14475397651455","0.190559112721097"
"Rarely","1988","Urban Area","Male","1853","0.486812476499397","0.471193599384162","0.502431353614632"
"Rarely","1988","Urban Area","Female","1837","0.461020292575536","0.445589924314501","0.476450660836571"
"Rarely","1988","Rural Area","Male","473","0.486933846906939","0.455735520467782","0.518132173346096"
"Rarely","1988","Rural Area","Female","529","0.51402308906762","0.483380759812341","0.5446654183229"
"Never","1988","Urban Area","Male","750","0.203169137449572","0.190596023401342","0.215742251497801"
"Never","1988","Urban Area","Female","1034","0.286171130942798","0.272180412174691","0.300161849710905"
"Never","1988","Rural Area","Male","164","0.182109642864646","0.158020372338338","0.206198913390955"
"Never","1988","Rural Area","Female","215","0.243983278937901","0.217652216953312","0.27031434092249"
"Min 1x per week","1989","Urban Area","Male","","","",""
"Min 1x per week","1989","Urban Area","Female","","","",""
"Min 1x per week","1989","Rural Area","Male","","","",""
"Min 1x per week","1989","Rural Area","Female","","","",""
"Min 1x per month","1989","Urban Area","Male","","","",""
"Min 1x per month","1989","Urban Area","Female","","","",""
"Min 1x per month","1989","Rural Area","Male","","","",""
"Min 1x per month","1989","Rural Area","Female","","","",""
"Rarely","1989","Urban Area","Male","","","",""
"Rarely","1989","Urban Area","Female","","","",""
"Rarely","1989","Rural Area","Male","","","",""
"Rarely","1989","Rural Area","Female","","","",""
"Never","1989","Urban Area","Male","","","",""
"Never","1989","Urban Area","Female","","","",""
"Never","1989","Rural Area","Male","","","",""
"Never","1989","Rural Area","Female","","","",""
"Min 1x per week","1990","Urban Area","Male","122","0.169267224644366","0.141781184309609","0.196753264979123"
"Min 1x per week","1990","Urban Area","Female","138","0.165987184788641","0.140364229241218","0.191610140336063"
"Min 1x per week","1990","Rural Area","Male","280","0.197137121930882","0.175883622096448","0.218390621765316"
"Min 1x per week","1990","Rural Area","Female","212","0.149681589359419","0.131293401640377","0.168069777078461"
