"pli0095_h","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1985","1-pers.-HH","276","0.217554305845412","0.193872775716193","0.241235835974632","3"
"Min 1x per month","1985","(Married) couple without C. ","589","0.228294598867709","0.211498572205325","0.245090625530092","3"
"Min 1x per month","1985","Single parent ","127","0.222457213093385","0.187443848809547","0.257470577377222","3"
"Min 1x per month","1985","Couple + C. LE 16 ","801","0.302588496450207","0.285118017322427","0.320058975577987","3"
"Min 1x per month","1985","Couple + C. GT 16 ","502","0.230122960308543","0.211749392898342","0.248496527718743","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","402","0.262180211024915","0.239704323060388","0.284656098989442","3"
"Min 1x per week","1985","1-pers.-HH","163","0.129814529305268","0.110523012254281","0.149106046356256","2"
"Min 1x per week","1985","(Married) couple without C. ","245","0.0940917449162344","0.0824088401404247","0.105774649692044","2"
"Min 1x per week","1985","Single parent ","48","0.0813833640361505","0.0583645248064063","0.104402203265895","2"
"Min 1x per week","1985","Couple + C. LE 16 ","327","0.102391699681124","0.0908622159253186","0.113921183436929","2"
"Min 1x per week","1985","Couple + C. GT 16 ","217","0.0927662205218454","0.0801026152588191","0.105429825784872","2"
"Min 1x per week","1985","Couple + C. LE and GT 16","178","0.0817343536391678","0.0677343470704181","0.0957343602079175","2"
"Never","1985","1-pers.-HH","348","0.341297182247358","0.31408208266316","0.368512281831557","5"
"Never","1985","(Married) couple without C. ","527","0.242933354724441","0.225772314983258","0.260094394465624","5"
"Never","1985","Single parent ","128","0.225238323265303","0.190069838609798","0.260406807920808","5"
"Never","1985","Couple + C. GT 16 ","310","0.157194072739965","0.141305506793977","0.173082638685952","5"
"Never","1985","Couple + C. LE 16 ","312","0.100761863971339","0.089314130475899","0.112209597466779","5"
"Never","1985","Couple + C. LE and GT 16","197","0.131258731344071","0.114002296254011","0.148515166434131","5"
"Rarely","1985","1-pers.-HH","379","0.311333982601961","0.284756343127789","0.337911622076133","4"
"Rarely","1985","(Married) couple without C. ","1038","0.434680301491616","0.414843803338323","0.454516799644909","4"
"Rarely","1985","Single parent ","239","0.470921099605162","0.428898516609996","0.512943682600327","4"
"Rarely","1985","Couple + C. LE 16 ","1216","0.49425793989733","0.475243855395715","0.513272024398945","4"
"Rarely","1985","Couple + C. GT 16 ","987","0.519916746429647","0.498108135294232","0.541725357565062","4"
"Rarely","1985","Couple + C. LE and GT 16","694","0.524826703991846","0.499306994282878","0.550346413700815","4"
"Min 1x per month","1986","1-pers.-HH","237","0.183310405566189","0.1605791942618","0.206041616870577","3"
"Min 1x per month","1986","(Married) couple without C. ","512","0.196194870479578","0.180190016012895","0.21219972494626","3"
"Min 1x per month","1986","Single parent ","120","0.227339805256618","0.190893941587692","0.263785668925543","3"
"Min 1x per month","1986","Couple + C. GT 16 ","468","0.206338802957514","0.189001900566497","0.22367570534853","3"
"Min 1x per month","1986","Couple + C. LE 16 ","609","0.243888409571831","0.226718827101166","0.261057992042495","3"
"Min 1x per month","1986","Couple + C. LE and GT 16","357","0.226697040119585","0.204709821535497","0.248684258703673","3"
"Min 1x per week","1986","1-pers.-HH","119","0.100655709913756","0.082979762217388","0.118331657610125","2"
"Min 1x per week","1986","(Married) couple without C. ","199","0.0817917075082207","0.0707469099209314","0.09283650509551","2"
"Min 1x per week","1986","Single parent ","40","0.0836858492814302","0.0596054077602364","0.107766290802624","2"
"Min 1x per week","1986","Couple + C. LE 16 ","215","0.0760720985998769","0.06547216986402","0.0866720273357339","2"
"Min 1x per week","1986","Couple + C. GT 16 ","153","0.0626476293645506","0.0522659589160926","0.0730292998130086","2"
"Min 1x per week","1986","Couple + C. LE and GT 16","139","0.0821959909001045","0.0677724189362087","0.0966195628640003","2"
"Never","1986","1-pers.-HH","355","0.372788735535397","0.344380855581151","0.401196615489642","5"
"Never","1986","(Married) couple without C. ","549","0.255796732980402","0.238212403957847","0.273381062002956","5"
"Never","1986","Single parent ","117","0.223211702840136","0.187001908998073","0.259421496682199","5"
"Never","1986","Couple + C. LE 16 ","359","0.137877216157676","0.124092366942145","0.151662065373206","5"
"Never","1986","Couple + C. GT 16 ","370","0.171799619008819","0.155639584344899","0.187959653672739","5"
"Never","1986","Couple + C. LE and GT 16","212","0.136167142681888","0.11815673454466","0.154177550819116","5"
"Rarely","1986","1-pers.-HH","402","0.343245148984658","0.31535156254626","0.371138735423057","4"
"Rarely","1986","(Married) couple without C. ","1105","0.4662166890318","0.446111464760009","0.48632191330359","4"
"Rarely","1986","Single parent ","231","0.465762642621816","0.422385025837416","0.509140259406216","4"
"Rarely","1986","Couple + C. LE 16 ","1220","0.542162275670617","0.522242169880179","0.562082381461054","4"
"Rarely","1986","Couple + C. GT 16 ","1102","0.559213948669117","0.537944002240311","0.580483895097923","4"
"Rarely","1986","Couple + C. LE and GT 16","685","0.554939826298423","0.528841969348628","0.581037683248217","4"
"Min 1x per month","1987","1-pers.-HH","","","","","3"
"Min 1x per month","1987","Single parent ","","","","","3"
"Min 1x per month","1987","(Married) couple without C. ","","","","","3"
"Min 1x per month","1987","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1987","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1987","Couple + C. LE and GT 16","","","","","3"
"Min 1x per week","1987","1-pers.-HH","","","","","2"
"Min 1x per week","1987","(Married) couple without C. ","","","","","2"
"Min 1x per week","1987","Single parent ","","","","","2"
"Min 1x per week","1987","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1987","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","1987","Couple + C. LE and GT 16","","","","","2"
"Never","1987","1-pers.-HH","","","","","5"
"Never","1987","(Married) couple without C. ","","","","","5"
"Never","1987","Single parent ","","","","","5"
"Never","1987","Couple + C. GT 16 ","","","","","5"
"Never","1987","Couple + C. LE 16 ","","","","","5"
"Never","1987","Couple + C. LE and GT 16","","","","","5"
"Rarely","1987","(Married) couple without C. ","","","","","4"
"Rarely","1987","1-pers.-HH","","","","","4"
"Rarely","1987","Couple + C. LE 16 ","","","","","4"
"Rarely","1987","Single parent ","","","","","4"
"Rarely","1987","Couple + C. LE and GT 16","","","","","4"
"Rarely","1987","Couple + C. GT 16 ","","","","","4"
"Min 1x per month","1988","(Married) couple without C. ","485","0.196875298065141","0.180513992738149","0.213236603392132","3"
"Min 1x per month","1988","1-pers.-HH","218","0.180455494665142","0.157293741042742","0.203617248287542","3"
"Min 1x per month","1988","Single parent ","118","0.225982203150866","0.189649158526007","0.262315247775726","3"
"Min 1x per month","1988","Couple + C. LE 16 ","589","0.263728628899175","0.245398344669683","0.282058913128666","3"
"Min 1x per month","1988","Couple + C. GT 16 ","450","0.208017911687482","0.191033995998326","0.225001827376638","3"
"Min 1x per month","1988","Couple + C. LE and GT 16","247","0.200619178377262","0.176812631545746","0.224425725208779","3"
"Min 1x per week","1988","1-pers.-HH","102","0.098231100686193","0.0803055608848669","0.116156640487519","2"
"Min 1x per week","1988","(Married) couple without C. ","191","0.0693376361768911","0.0588853465650129","0.0797899257887694","2"
"Min 1x per week","1988","Single parent ","31","0.0577986188107369","0.0375255358156996","0.0780717018057742","2"
"Min 1x per week","1988","Couple + C. LE 16 ","183","0.0552772416800479","0.0457712599676547","0.0647832233924411","2"
"Min 1x per week","1988","Couple + C. GT 16 ","213","0.0751019985420111","0.0640738540664437","0.0861301430175785","2"
"Min 1x per week","1988","Couple + C. LE and GT 16","94","0.0779606929842957","0.0620222504024922","0.0938991355660991","2"
"Never","1988","1-pers.-HH","352","0.371598653296008","0.342494449002143","0.400702857589873","5"
"Never","1988","(Married) couple without C. ","578","0.27517665794957","0.256800584233041","0.293552731666099","5"
"Never","1988","Single parent ","118","0.231586611028918","0.194939192729693","0.268234029328144","5"
"Never","1988","Couple + C. GT 16 ","428","0.185541209035928","0.169275068201406","0.20180734987045","5"
"Never","1988","Couple + C. LE 16 ","336","0.12548885479189","0.111708612421121","0.139269097162659","5"
"Never","1988","Couple + C. LE and GT 16","187","0.140556468641297","0.119894703948884","0.161218233333709","5"
"Rarely","1988","1-pers.-HH","387","0.349714751352657","0.320993124340496","0.378436378364818","4"
"Rarely","1988","(Married) couple without C. ","1015","0.458610407808398","0.438107864045102","0.479112951571694","4"
"Rarely","1988","Single parent ","242","0.484632567009478","0.441216149692519","0.528048984326438","4"
"Rarely","1988","Couple + C. LE 16 ","1112","0.555505274628887","0.534834868808807","0.576175680448967","4"
"Rarely","1988","Couple + C. GT 16 ","1103","0.531338880734579","0.51045818137814","0.552219580091018","4"
"Rarely","1988","Couple + C. LE and GT 16","559","0.580863659997145","0.551531227437512","0.610196092556778","4"
"Min 1x per month","1989","1-pers.-HH","","","","","3"
"Min 1x per month","1989","(Married) couple without C. ","","","","","3"
"Min 1x per month","1989","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1989","Single parent ","","","","","3"
"Min 1x per month","1989","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1989","Couple + C. LE and GT 16","","","","","3"
"Min 1x per week","1989","1-pers.-HH","","","","","2"
"Min 1x per week","1989","(Married) couple without C. ","","","","","2"
"Min 1x per week","1989","Single parent ","","","","","2"
"Min 1x per week","1989","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1989","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","1989","Couple + C. LE and GT 16","","","","","2"
"Never","1989","1-pers.-HH","","","","","5"
"Never","1989","(Married) couple without C. ","","","","","5"
"Never","1989","Single parent ","","","","","5"
"Never","1989","Couple + C. GT 16 ","","","","","5"
"Never","1989","Couple + C. LE 16 ","","","","","5"
"Never","1989","Couple + C. LE and GT 16","","","","","5"
"Rarely","1989","1-pers.-HH","","","","","4"
"Rarely","1989","(Married) couple without C. ","","","","","4"
"Rarely","1989","Single parent ","","","","","4"
"Rarely","1989","Couple + C. LE 16 ","","","","","4"
"Rarely","1989","Couple + C. GT 16 ","","","","","4"
"Rarely","1989","Couple + C. LE and GT 16","","","","","4"
"Min 1x per month","1990","1-pers.-HH","71","0.214653969567999","0.170555251707051","0.258752687428948","3"
"Min 1x per month","1990","(Married) couple without C. ","250","0.263809933331779","0.235592413152771","0.292027453510786","3"
"Min 1x per month","1990","Couple + C. LE 16 ","495","0.34057769996095","0.31640112188799","0.364754278033911","3"
"Min 1x per month","1990","Single parent ","53","0.267954874583911","0.205308313733753","0.330601435434068","3"
"Min 1x per month","1990","Couple + C. GT 16 ","249","0.306051346099561","0.274546816600287","0.337555875598836","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","89","0.25670361403342","0.208693633141774","0.304713594925067","3"
"Min 1x per week","1990","1-pers.-HH","74","0.202183926004724","0.159046852547958","0.245320999461489","2"
"Min 1x per week","1990","(Married) couple without C. ","164","0.170668418196632","0.146579406678295","0.194757429714969","2"
"Min 1x per week","1990","Single parent ","26","","","","2"
"Min 1x per week","1990","Couple + C. LE 16 ","274","0.181649292817837","0.161979875303022","0.201318710332651","2"
"Min 1x per week","1990","Couple + C. GT 16 ","124","0.153512815053764","0.128869751678747","0.178155878428781","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","61","0.195562370955665","0.151968707546326","0.239156034365004","2"
"Never","1990","1-pers.-HH","105","0.34533651682254","0.294267642531942","0.396405391113138","5"
"Never","1990","(Married) couple without C. ","100","0.114677444803911","0.0942756646307771","0.135079224977044","5"
"Never","1990","Single parent ","18","","","","5"
"Never","1990","Couple + C. GT 16 ","56","0.0691040878131637","0.0517654644354071","0.0864427111909204","5"
"Never","1990","Couple + C. LE 16 ","59","0.0454451058141545","0.034819616812191","0.0560705948161179","5"
"Never","1990","Couple + C. LE and GT 16","12","","","","5"
"Rarely","1990","(Married) couple without C. ","423","0.450844203667679","0.418984676448061","0.482703730887297","4"
"Rarely","1990","1-pers.-HH","83","0.237825587604737","0.192097562472853","0.283553612736621","4"
"Rarely","1990","Single parent ","95","0.51051118346772","0.439802704718091","0.581219662217349","4"
"Rarely","1990","Couple + C. LE 16 ","648","0.432327901407059","0.407054696463794","0.457601106350323","4"
"Rarely","1990","Couple + C. GT 16 ","393","0.471331751033511","0.437207184403832","0.505456317663191","4"
"Rarely","1990","Couple + C. LE and GT 16","156","0.513536443100381","0.458601924781082","0.568470961419681","4"
"Min 1x per month","1991","1-pers.-HH","","","","","3"
"Min 1x per month","1991","(Married) couple without C. ","","","","","3"
"Min 1x per month","1991","Single parent ","","","","","3"
"Min 1x per month","1991","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1991","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1991","Couple + C. LE and GT 16","","","","","3"
"Min 1x per week","1991","1-pers.-HH","","","","","2"
"Min 1x per week","1991","(Married) couple without C. ","","","","","2"
"Min 1x per week","1991","Single parent ","","","","","2"
"Min 1x per week","1991","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1991","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","1991","Couple + C. LE and GT 16","","","","","2"
"Never","1991","1-pers.-HH","","","","","5"
"Never","1991","(Married) couple without C. ","","","","","5"
"Never","1991","Single parent ","","","","","5"
"Never","1991","Couple + C. LE 16 ","","","","","5"
"Never","1991","Couple + C. GT 16 ","","","","","5"
"Never","1991","Couple + C. LE and GT 16","","","","","5"
"Rarely","1991","1-pers.-HH","","","","","4"
"Rarely","1991","(Married) couple without C. ","","","","","4"
"Rarely","1991","Single parent ","","","","","4"
"Rarely","1991","Couple + C. GT 16 ","","","","","4"
"Rarely","1991","Couple + C. LE 16 ","","","","","4"
"Rarely","1991","Couple + C. LE and GT 16","","","","","4"
"Min 1x per month","1992","1-pers.-HH","314","0.216829768737157","0.194658008754141","0.239001528720174","3"
"Min 1x per month","1992","(Married) couple without C. ","802","0.231432782466592","0.216919654161274","0.24594591077191","3"
"Min 1x per month","1992","Single parent ","173","0.267015240298371","0.232686865031382","0.301343615565361","3"
"Min 1x per month","1992","Couple + C. LE 16 ","1018","0.314361324598092","0.298465901987347","0.330256747208836","3"
"Min 1x per month","1992","Couple + C. GT 16 ","777","0.274610722457042","0.257819300296206","0.291402144617877","3"
"Min 1x per month","1992","Couple + C. LE and GT 16","339","0.282933303221887","0.256889171210185","0.308977435233589","3"
"Min 1x per week","1992","1-pers.-HH","159","0.11450692265634","0.0973744090117032","0.131639436300976","2"
"Min 1x per week","1992","(Married) couple without C. ","337","0.0956224011843689","0.0855028234916073","0.105741978877131","2"
"Min 1x per week","1992","Single parent ","68","0.102396974478652","0.078872308379619","0.125921640577685","2"
"Min 1x per week","1992","Couple + C. LE 16 ","294","0.0751953956815631","0.0661665862528734","0.0842242051102529","2"
"Min 1x per week","1992","Couple + C. GT 16 ","244","0.0765917554128259","0.0665864337617965","0.0865970770638553","2"
"Min 1x per week","1992","Couple + C. LE and GT 16","100","0.0821518725965455","0.0662743688662563","0.0980293763268348","2"
"Never","1992","(Married) couple without C. ","542","0.200620850852338","0.186840124457414","0.214401577247262","5"
"Never","1992","1-pers.-HH","352","0.304069184737113","0.279318804917759","0.328819564556466","5"
"Never","1992","Single parent ","110","0.15440623347512","0.126367973865396","0.182444493084844","5"
"Never","1992","Couple + C. LE 16 ","271","0.0829682614945237","0.0735242164726854","0.092412306516362","5"
"Never","1992","Couple + C. GT 16 ","285","0.105683223268084","0.094116991687693","0.117249454848475","5"
"Never","1992","Couple + C. LE and GT 16","115","0.087131868054139","0.0708246224435653","0.103439113664713","5"
"Rarely","1992","1-pers.-HH","502","0.36459412386939","0.33869750438721","0.390490743351571","4"
"Rarely","1992","(Married) couple without C. ","1563","0.472323965496701","0.455144432877146","0.489503498116256","4"
"Rarely","1992","Single parent ","287","0.476181551747856","0.437427739626635","0.514935363869078","4"
"Rarely","1992","Couple + C. LE 16 ","1694","0.527475018225822","0.510381824873312","0.544568211578332","4"
"Rarely","1992","Couple + C. GT 16 ","1408","0.543114298862049","0.524373307046786","0.561855290677311","4"
"Rarely","1992","Couple + C. LE and GT 16","595","0.547782956127429","0.519004612252477","0.57656130000238","4"
"Min 1x per month","1993","1-pers.-HH","","","","","3"
"Min 1x per month","1993","(Married) couple without C. ","","","","","3"
"Min 1x per month","1993","Single parent ","","","","","3"
"Min 1x per month","1993","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1993","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1993","Couple + C. LE and GT 16","","","","","3"
"Min 1x per week","1993","1-pers.-HH","","","","","2"
"Min 1x per week","1993","(Married) couple without C. ","","","","","2"
"Min 1x per week","1993","Single parent ","","","","","2"
"Min 1x per week","1993","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1993","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","1993","Couple + C. LE and GT 16","","","","","2"
"Never","1993","1-pers.-HH","","","","","5"
"Never","1993","(Married) couple without C. ","","","","","5"
"Never","1993","Single parent ","","","","","5"
"Never","1993","Couple + C. LE 16 ","","","","","5"
"Never","1993","Couple + C. GT 16 ","","","","","5"
"Never","1993","Couple + C. LE and GT 16","","","","","5"
