"pli0095_h","year","e11103","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","Full Time","530","0.0883759286255889","0.0804623739425228","0.096289483308655"
"Min 1x per week","1985","Part Time","225","0.108838025650332","0.0946349207618781","0.123041130538786"
"Min 1x per week","1985","Not Working","506","0.106671225895753","0.0973074900067871","0.116034961784719"
"Min 1x per month","1985","Full Time","1427","0.279042053164113","0.266536971953003","0.291547134375223"
"Min 1x per month","1985","Part Time","499","0.263141373706614","0.243059635639391","0.283223111773837"
"Min 1x per month","1985","Not Working","921","0.197810083968474","0.185726864492766","0.209893303444182"
"Rarely","1985","Full Time","2340","0.512970258662912","0.499034822858754","0.52690569446707"
"Rarely","1985","Part Time","869","0.48714908382726","0.464354001964291","0.509944165690229"
"Rarely","1985","Not Working","1643","0.37722496627589","0.362522653344191","0.391927279207589"
"Never","1985","Full Time","645","0.119611759547387","0.110564422358452","0.128659096736321"
"Never","1985","Part Time","254","0.140871516815795","0.125005960770469","0.15673707286112"
"Never","1985","Not Working","1105","0.318293723859883","0.304164037073767","0.332423410645999"
"Min 1x per week","1986","Full Time","373","0.0668805911804748","0.0598361226177295","0.0739250597432202"
"Min 1x per week","1986","Part Time","158","0.088108964082167","0.0751114487565672","0.101106479407767"
"Min 1x per week","1986","Not Working","382","0.0868783527702503","0.0780511258438341","0.0957055796966664"
"Min 1x per month","1986","Full Time","1259","0.244882429275314","0.232756482080168","0.25700837647046"
"Min 1x per month","1986","Part Time","423","0.213590392948285","0.194797480959033","0.232383304937536"
"Min 1x per month","1986","Not Working","757","0.166849359416956","0.155164372751235","0.178534346082677"
"Rarely","1986","Full Time","2470","0.545132148742484","0.531090338772072","0.559173958712896"
"Rarely","1986","Part Time","952","0.554235014497804","0.531443206742943","0.577026822252664"
"Rarely","1986","Not Working","1633","0.39342191460261","0.378111857348485","0.408731971856735"
"Never","1986","Full Time","729","0.143104830801727","0.133230206825229","0.152979454778225"
"Never","1986","Part Time","294","0.144065628471745","0.127963650072568","0.160167606870922"
"Never","1986","Not Working","1139","0.352850373210183","0.33787416648911","0.367826579931257"
"Min 1x per week","1987","Full Time","","","",""
"Min 1x per week","1987","Part Time","","","",""
"Min 1x per week","1987","Not Working","","","",""
"Min 1x per month","1987","Full Time","","","",""
"Min 1x per month","1987","Part Time","","","",""
"Min 1x per month","1987","Not Working","","","",""
"Rarely","1987","Full Time","","","",""
"Rarely","1987","Part Time","","","",""
"Rarely","1987","Not Working","","","",""
"Never","1987","Full Time","","","",""
"Never","1987","Part Time","","","",""
"Never","1987","Not Working","","","",""
"Min 1x per week","1988","Full Time","353","0.0597300679202695","0.0528629371082214","0.0665971987323176"
"Min 1x per week","1988","Part Time","175","0.0789101714770642","0.0665749331871603","0.0912454097669681"
"Min 1x per week","1988","Not Working","338","0.0835298980811984","0.0744168165837909","0.0926429795786059"
"Min 1x per month","1988","Full Time","1171","0.246506617198449","0.234018224286308","0.258995010110591"
"Min 1x per month","1988","Part Time","431","0.237291722637942","0.217826894159899","0.256756551115984"
"Min 1x per month","1988","Not Working","628","0.157324314003565","0.145331715822584","0.169316912184546"
"Rarely","1988","Full Time","2294","0.549091984333236","0.534673517869778","0.563510450796694"
"Rarely","1988","Part Time","929","0.518234152556503","0.495372318049383","0.541095987063624"
"Rarely","1988","Not Working","1469","0.393423073470905","0.377333001593694","0.409513145348117"
"Never","1988","Full Time","757","0.144671330548045","0.134478136445454","0.154864524650637"
"Never","1988","Part Time","300","0.165563953328491","0.148557667303497","0.182570239353485"
"Never","1988","Not Working","1106","0.365722714444332","0.34985915375733","0.381586275131333"
"Min 1x per week","1989","Full Time","","","",""
"Min 1x per week","1989","Part Time","","","",""
"Min 1x per week","1989","Not Working","","","",""
"Min 1x per month","1989","Full Time","","","",""
"Min 1x per month","1989","Part Time","","","",""
"Min 1x per month","1989","Not Working","","","",""
"Rarely","1989","Full Time","","","",""
"Rarely","1989","Part Time","","","",""
"Rarely","1989","Not Working","","","",""
"Never","1989","Full Time","","","",""
"Never","1989","Part Time","","","",""
"Never","1989","Not Working","","","",""
"Min 1x per week","1990","Full Time","","","",""
"Min 1x per week","1990","Part Time","","","",""
"Min 1x per week","1990","Not Working","","","",""
"Min 1x per month","1990","Full Time","","","",""
"Min 1x per month","1990","Part Time","","","",""
"Min 1x per month","1990","Not Working","","","",""
"Rarely","1990","Full Time","","","",""
"Rarely","1990","Part Time","","","",""
"Rarely","1990","Not Working","","","",""
"Never","1990","Full Time","","","",""
"Never","1990","Part Time","","","",""
"Never","1990","Not Working","","","",""
"Min 1x per week","1991","Full Time","","","",""
"Min 1x per week","1991","Part Time","","","",""
"Min 1x per week","1991","Not Working","","","",""
"Min 1x per month","1991","Full Time","","","",""
"Min 1x per month","1991","Part Time","","","",""
"Min 1x per month","1991","Not Working","","","",""
