"pli0095_h","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","Urban Area","West Germany","1032","0.103076309375705","0.0966889569228998","0.10946366182851"
"Min 1x per week","1985","Urban Area","East Germany","","","",""
"Min 1x per week","1985","Rural Area","West Germany","229","0.0887134216458942","0.0769884411864887","0.1004384021053"
"Min 1x per week","1985","Rural Area","East Germany","","","",""
"Min 1x per month","1985","Urban Area","West Germany","2262","0.241228356908008","0.232240970204112","0.250215743611904"
"Min 1x per month","1985","Urban Area","East Germany","","","",""
"Min 1x per month","1985","Rural Area","West Germany","585","0.239962320842525","0.222351521694822","0.257573119990229"
"Min 1x per month","1985","Rural Area","East Germany","","","",""
"Rarely","1985","Urban Area","West Germany","3815","0.446117352262717","0.435675028818358","0.456559675707076"
"Rarely","1985","Urban Area","East Germany","","","",""
"Rarely","1985","Rural Area","West Germany","1037","0.460081361793137","0.439528540055135","0.480634183531138"
"Rarely","1985","Rural Area","East Germany","","","",""
"Never","1985","Urban Area","West Germany","1596","0.20957798145357","0.201027982831367","0.218127980075774"
"Never","1985","Urban Area","East Germany","","","",""
"Never","1985","Rural Area","West Germany","408","0.211242895718443","0.19441023872856","0.228075552708327"
"Never","1985","Rural Area","East Germany","","","",""
"Min 1x per week","1986","Urban Area","West Germany","758","0.0824550618459463","0.0765729838258043","0.0883371398660883"
"Min 1x per week","1986","Urban Area","East Germany","","","",""
"Min 1x per week","1986","Rural Area","West Germany","155","0.0673928729945388","0.0568423335495416","0.0779434124395361"
"Min 1x per week","1986","Rural Area","East Germany","","","",""
"Min 1x per month","1986","Urban Area","West Germany","1953","0.209266201346429","0.200567124954299","0.21796527773856"
"Min 1x per month","1986","Urban Area","East Germany","","","",""
"Min 1x per month","1986","Rural Area","West Germany","486","0.196132221668023","0.179421888863191","0.212842554472854"
"Min 1x per month","1986","Rural Area","East Germany","","","",""
"Rarely","1986","Urban Area","West Germany","3960","0.474931945888835","0.464252912669115","0.485610979108554"
"Rarely","1986","Urban Area","East Germany","","","",""
"Rarely","1986","Rural Area","West Germany","1095","0.502481502130922","0.481439698144567","0.523523306117278"
"Rarely","1986","Rural Area","East Germany","","","",""
"Never","1986","Urban Area","West Germany","1729","0.23334679091879","0.224301785252308","0.242391796585272"
"Never","1986","Urban Area","East Germany","","","",""
"Never","1986","Rural Area","West Germany","433","0.233993403206516","0.216176329491306","0.251810476921726"
"Never","1986","Rural Area","East Germany","","","",""
"Min 1x per week","1987","Urban Area","West Germany","","","",""
"Min 1x per week","1987","Urban Area","East Germany","","","",""
"Min 1x per week","1987","Rural Area","West Germany","","","",""
"Min 1x per week","1987","Rural Area","East Germany","","","",""
"Min 1x per month","1987","Urban Area","West Germany","","","",""
"Min 1x per month","1987","Urban Area","East Germany","","","",""
"Min 1x per month","1987","Rural Area","West Germany","","","",""
"Min 1x per month","1987","Rural Area","East Germany","","","",""
"Rarely","1987","Urban Area","West Germany","","","",""
"Rarely","1987","Urban Area","East Germany","","","",""
"Rarely","1987","Rural Area","West Germany","","","",""
"Rarely","1987","Rural Area","East Germany","","","",""
"Never","1987","Urban Area","West Germany","","","",""
"Never","1987","Urban Area","East Germany","","","",""
"Never","1987","Rural Area","West Germany","","","",""
"Never","1987","Rural Area","East Germany","","","",""
"Min 1x per week","1988","Urban Area","West Germany","713","0.0733881814234559","0.067653387844794","0.0791229750021178"
"Min 1x per week","1988","Urban Area","East Germany","","","",""
"Min 1x per week","1988","Rural Area","West Germany","153","0.0711275067644644","0.0598850019885282","0.0823700115404007"
"Min 1x per week","1988","Rural Area","East Germany","","","",""
"Min 1x per month","1988","Urban Area","West Germany","1756","0.206531490404453","0.19762895320477","0.215434027604136"
"Min 1x per month","1988","Urban Area","East Germany","","","",""
"Min 1x per month","1988","Rural Area","West Germany","474","0.213589761262186","0.195663858696242","0.23151566382813"
"Min 1x per month","1988","Rural Area","East Germany","","","",""
"Rarely","1988","Urban Area","West Germany","3690","0.473242922974258","0.462262904689123","0.484222941259393"
"Rarely","1988","Urban Area","East Germany","","","",""
"Rarely","1988","Rural Area","West Germany","1002","0.501013719930339","0.479144396448506","0.522883043412172"
"Rarely","1988","Rural Area","East Germany","","","",""
"Never","1988","Urban Area","West Germany","1784","0.246837405197833","0.237355280389031","0.256319530006635"
"Never","1988","Urban Area","East Germany","","","",""
"Never","1988","Rural Area","West Germany","379","0.214269012043011","0.196322384032825","0.232215640053197"
"Never","1988","Rural Area","East Germany","","","",""
