"pli0095_h","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1985","16-34 y.","Urban Area","1040","0.316316295598249","0.30050247985528","0.332130111341218","3"
"Min 1x per month","1985","16-34 y.","Rural Area","253","0.299397741903932","0.268126544450107","0.330668939357756","3"
"Min 1x per month","1985","35-65 y.","Urban Area","1132","0.23551208628329","0.223199129298698","0.247825043267881","3"
"Min 1x per month","1985","35-65 y.","Rural Area","288","0.233103311646114","0.208740687539922","0.257465935752306","3"
"Min 1x per month","1985","66 and older","Urban Area","90","0.107576366711006","0.0863819982592085","0.128770735162803","3"
"Min 1x per month","1985","66 and older","Rural Area","44","0.157864851704173","0.115004146438084","0.200725556970262","3"
"Min 1x per week","1985","16-34 y.","Urban Area","421","0.110073783000848","0.0994307055199589","0.120716860481736","2"
"Min 1x per week","1985","16-34 y.","Rural Area","85","0.0800298691273363","0.0615031975823037","0.0985565406723689","2"
"Min 1x per week","1985","35-65 y.","Urban Area","531","0.099086579399164","0.0904165734211527","0.107756585377175","2"
"Min 1x per week","1985","35-65 y.","Rural Area","126","0.10283328082186","0.0853313954582633","0.120335166185456","2"
"Min 1x per week","1985","66 and older","Urban Area","80","0.100643510262968","0.0800639857240332","0.121223034801903","2"
"Min 1x per week","1985","66 and older","Rural Area","18","","","","2"
"Never","1985","16-34 y.","Urban Area","370","0.0997567965971864","0.0895662037582491","0.109947389436124","5"
"Never","1985","16-34 y.","Rural Area","99","0.125368573382947","0.102759052145856","0.147978094620037","5"
"Never","1985","35-65 y.","Urban Area","799","0.175336084377307","0.164301789181989","0.186370379572625","5"
"Never","1985","66 and older","Urban Area","427","0.528561577291207","0.494415816394159","0.562707338188255","5"
"Never","1985","35-65 y.","Rural Area","180","0.161687644561393","0.140473634903066","0.18290165421972","5"
"Never","1985","66 and older","Rural Area","129","0.477624417076522","0.41890788628799","0.536340947865054","5"
"Rarely","1985","16-34 y.","Urban Area","1491","0.473853124803717","0.456873673602849","0.490832576004585","4"
"Rarely","1985","16-34 y.","Rural Area","387","0.495203815585786","0.461066095889103","0.529341535282468","4"
"Rarely","1985","35-65 y.","Urban Area","2100","0.49006524994024","0.475559014935279","0.504571484945201","4"
"Rarely","1985","35-65 y.","Rural Area","563","0.502375762970634","0.473565547040573","0.531185978900694","4"
"Rarely","1985","66 and older","Urban Area","224","0.26321854573482","0.233095138159496","0.293341953310144","4"
"Rarely","1985","66 and older","Rural Area","87","0.296398852819482","0.242717034029712","0.350080671609252","4"
"Min 1x per month","1986","16-34 y.","Urban Area","960","0.294145301053943","0.278520584904422","0.309770017203465","3"
"Min 1x per month","1986","16-34 y.","Rural Area","236","0.257538154248853","0.227480112870431","0.287596195627276","3"
"Min 1x per month","1986","35-65 y.","Urban Area","918","0.192501192937484","0.180794291327817","0.204208094547151","3"
"Min 1x per month","1986","66 and older","Urban Area","75","0.0906772518573405","0.0704738067006089","0.110880697014072","3"
"Min 1x per month","1986","35-65 y.","Rural Area","224","0.192822114158538","0.169497616854338","0.216146611462737","3"
"Min 1x per month","1986","66 and older","Rural Area","26","","","","3"
"Min 1x per week","1986","16-34 y.","Urban Area","310","0.0828210266006713","0.0733701765320103","0.0922718766693323","2"
"Min 1x per week","1986","16-34 y.","Rural Area","63","0.0667289435329706","0.04957500532265","0.0838828817432913","2"
"Min 1x per week","1986","35-65 y.","Urban Area","389","0.0850689564084764","0.0767850717118326","0.0933528411051201","2"
"Min 1x per week","1986","35-65 y.","Rural Area","74","0.0625410540990822","0.0482255062771222","0.0768566019210423","2"
"Min 1x per week","1986","66 and older","Urban Area","59","0.0742963663675372","0.0558446401645922","0.0927480925704823","2"
"Min 1x per week","1986","66 and older","Rural Area","18","","","","2"
"Never","1986","16-34 y.","Urban Area","433","0.119863582347543","0.108725968764795","0.131001195930291","5"
"Never","1986","16-34 y.","Rural Area","116","0.14665497458778","0.122337775620511","0.170972173555049","5"
"Never","1986","35-65 y.","Urban Area","876","0.195062850406454","0.18329702011556","0.206828680697348","5"
"Never","1986","35-65 y.","Rural Area","186","0.173763554034012","0.151361865004314","0.196165243063709","5"
"Never","1986","66 and older","Urban Area","420","0.564705602116153","0.529822121032111","0.599589083200196","5"
"Never","1986","66 and older","Rural Area","131","0.536121377430129","0.47515150712769","0.597091247732568","5"
"Rarely","1986","16-34 y.","Urban Area","1564","0.503170089997842","0.48602519620735","0.520314983788334","4"
