"pli0095_h","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","Schleswig-Holstein","(0) in school","","","",""
"Min 1x per week","1985","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Min 1x per week","1985","Schleswig-Holstein","(1b) general elementary school","","","",""
"Min 1x per week","1985","Schleswig-Holstein","(1c) basic vocational qualification","","","",""
"Min 1x per week","1985","Schleswig-Holstein","(2b) intermediate general qualification","","","",""
"Min 1x per week","1985","Schleswig-Holstein","(2a) intermediate vocational","","","",""
"Min 1x per week","1985","Schleswig-Holstein","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1985","Schleswig-Holstein","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1985","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"Min 1x per week","1985","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"Min 1x per week","1985","Hamburg","(0) in school","","","",""
"Min 1x per week","1985","Hamburg","(1a) inadequately completed","","","",""
"Min 1x per week","1985","Hamburg","(1b) general elementary school","","","",""
"Min 1x per week","1985","Hamburg","(1c) basic vocational qualification","","","",""
"Min 1x per week","1985","Hamburg","(2b) intermediate general qualification","","","",""
"Min 1x per week","1985","Hamburg","(2a) intermediate vocational","","","",""
"Min 1x per week","1985","Hamburg","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1985","Hamburg","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1985","Hamburg","(3a) lower tertiary education","","","",""
"Min 1x per week","1985","Hamburg","(3b) higher tertiary education","","","",""
"Min 1x per week","1985","Lower Saxony","(0) in school","","","",""
"Min 1x per week","1985","Lower Saxony","(1a) inadequately completed","","","",""
"Min 1x per week","1985","Lower Saxony","(1b) general elementary school","","","",""
"Min 1x per week","1985","Lower Saxony","(1c) basic vocational qualification","","","",""
"Min 1x per week","1985","Lower Saxony","(2b) intermediate general qualification","","","",""
"Min 1x per week","1985","Lower Saxony","(2a) intermediate vocational","","","",""
"Min 1x per week","1985","Lower Saxony","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1985","Lower Saxony","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1985","Lower Saxony","(3a) lower tertiary education","","","",""
"Min 1x per week","1985","Lower Saxony","(3b) higher tertiary education","","","",""
"Min 1x per week","1985","Bremen","(0) in school","","","",""
"Min 1x per week","1985","Bremen","(1a) inadequately completed","","","",""
"Min 1x per week","1985","Bremen","(1b) general elementary school","","","",""
"Min 1x per week","1985","Bremen","(1c) basic vocational qualification","","","",""
