"pli0095_h","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1985","16-34 y.","1293","0.312473886430851","0.298365254431971","0.326582518429731","3"
"Min 1x per month","1985","35-65 y.","1420","0.234953251617525","0.223965147663298","0.245941355571752","3"
"Min 1x per month","1985","66 and older","134","0.120681301104326","0.101421917163823","0.139940685044829","3"
"Min 1x per week","1985","16-34 y.","506","0.103250445014761","0.0939882271300082","0.112512662899513","2"
"Min 1x per week","1985","35-65 y.","657","0.0999558124959253","0.0921821803546892","0.107729444637161","2"
"Min 1x per week","1985","66 and older","98","0.0921659253579524","0.0750642885692737","0.109267562146631","2"
"Never","1985","16-34 y.","469","0.105573542383678","0.0962198451596992","0.114927239607656","5"
"Never","1985","35-65 y.","979","0.172169652289796","0.162385188832626","0.181954115746966","5"
"Never","1985","66 and older","556","0.5152876012928","0.485740413282338","0.544834789303262","5"
"Rarely","1985","16-34 y.","1878","0.47870212617071","0.463496332361287","0.493907919980133","4"
"Rarely","1985","35-65 y.","2663","0.492921283596754","0.479963983442296","0.505878583751212","4"
"Rarely","1985","66 and older","311","0.271865172244921","0.245560558162184","0.298169786327657","4"
"Min 1x per month","1986","35-65 y.","1142","0.192574214122221","0.182111092229994","0.203037336014448","3"
"Min 1x per month","1986","16-34 y.","1196","0.285701108907308","0.271839489818693","0.299562727995923","3"
"Min 1x per month","1986","66 and older","101","0.0923515751711574","0.0746961202212813","0.110007030121034","3"
"Min 1x per week","1986","16-34 y.","373","0.0791090563073627","0.070827056569838","0.0873910560448874","2"
"Min 1x per week","1986","35-65 y.","463","0.0799430438531106","0.0727467546751774","0.0871393330310437","2"
"Min 1x per week","1986","66 and older","77","0.0758911173451486","0.0597417699791526","0.0920404647111446","2"
"Never","1986","16-34 y.","549","0.126043568598779","0.115859454739803","0.136227682457755","5"
"Never","1986","35-65 y.","1062","0.190216490137463","0.179802444981585","0.200630535293341","5"
"Never","1986","66 and older","551","0.557500559106073","0.527212116220045","0.587789001992101","5"
"Rarely","1986","16-34 y.","1962","0.50914626618655","0.493806620072368","0.524485912300733","4"
"Rarely","1986","35-65 y.","2789","0.537266251887205","0.524035903565097","0.550496600209313","4"
"Rarely","1986","66 and older","304","0.274256748377621","0.247050535326247","0.301462961428994","4"
"Min 1x per month","1987","16-34 y.","","","","","3"
"Min 1x per month","1987","35-65 y.","","","","","3"
"Min 1x per month","1987","66 and older","","","","","3"
"Min 1x per week","1987","16-34 y.","","","","","2"
"Min 1x per week","1987","35-65 y.","","","","","2"
"Min 1x per week","1987","66 and older","","","","","2"
"Never","1987","16-34 y.","","","","","5"
"Never","1987","66 and older","","","","","5"
"Never","1987","35-65 y.","","","","","5"
"Rarely","1987","16-34 y.","","","","","4"
"Rarely","1987","35-65 y.","","","","","4"
"Rarely","1987","66 and older","","","","","4"
"Min 1x per month","1988","16-34 y.","1072","0.285092717017626","0.270813631289348","0.299371802745903","3"
"Min 1x per month","1988","35-65 y.","1049","0.197655215150866","0.186696735241105","0.208613695060627","3"
"Min 1x per month","1988","66 and older","109","0.0978316381221998","0.0797585288907812","0.115904747353618","3"
"Min 1x per week","1988","16-34 y.","347","0.0717711821039623","0.0636075194104766","0.0799348447974481","2"
"Min 1x per week","1988","35-65 y.","448","0.0750322009086627","0.0677827884526429","0.0822816133646826","2"
"Min 1x per week","1988","66 and older","71","0.0691904810255714","0.0537520558521053","0.0846289061990375","2"
"Never","1988","16-34 y.","576","0.131330844131539","0.12064784858709","0.142013839675988","5"
"Never","1988","66 and older","556","0.552423186821435","0.522173620438567","0.582672753204303","5"
"Never","1988","35-65 y.","1031","0.193965054987948","0.183084417472934","0.204845692502963","5"
"Rarely","1988","16-34 y.","1845","0.511805256746873","0.495995273879262","0.527615239614484","4"
"Rarely","1988","35-65 y.","2545","0.533347528952523","0.519619202799511","0.547075855105535","4"
