"pli0095_h","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","Full Time","West Germany","530","0.0883759286255889","0.0804623739425228","0.096289483308655"
"Min 1x per week","1985","Full Time","East Germany","","","",""
"Min 1x per week","1985","Part Time","West Germany","225","0.108838025650332","0.0946349207618781","0.123041130538786"
"Min 1x per week","1985","Part Time","East Germany","","","",""
"Min 1x per week","1985","Not Working","West Germany","506","0.106671225895753","0.0973074900067871","0.116034961784719"
"Min 1x per week","1985","Not Working","East Germany","","","",""
"Min 1x per month","1985","Full Time","West Germany","1427","0.279042053164113","0.266536971953003","0.291547134375223"
"Min 1x per month","1985","Full Time","East Germany","","","",""
"Min 1x per month","1985","Part Time","West Germany","499","0.263141373706614","0.243059635639391","0.283223111773837"
"Min 1x per month","1985","Part Time","East Germany","","","",""
"Min 1x per month","1985","Not Working","West Germany","921","0.197810083968474","0.185726864492766","0.209893303444182"
"Min 1x per month","1985","Not Working","East Germany","","","",""
"Rarely","1985","Full Time","West Germany","2340","0.512970258662912","0.499034822858754","0.52690569446707"
"Rarely","1985","Full Time","East Germany","","","",""
"Rarely","1985","Part Time","West Germany","869","0.48714908382726","0.464354001964291","0.509944165690229"
"Rarely","1985","Part Time","East Germany","","","",""
"Rarely","1985","Not Working","West Germany","1643","0.37722496627589","0.362522653344191","0.391927279207589"
"Rarely","1985","Not Working","East Germany","","","",""
"Never","1985","Full Time","West Germany","645","0.119611759547387","0.110564422358452","0.128659096736321"
"Never","1985","Full Time","East Germany","","","",""
"Never","1985","Part Time","West Germany","254","0.140871516815795","0.125005960770469","0.15673707286112"
"Never","1985","Part Time","East Germany","","","",""
"Never","1985","Not Working","West Germany","1105","0.318293723859883","0.304164037073767","0.332423410645999"
"Never","1985","Not Working","East Germany","","","",""
"Min 1x per week","1986","Full Time","West Germany","373","0.0668805911804748","0.0598361226177295","0.0739250597432202"
"Min 1x per week","1986","Full Time","East Germany","","","",""
"Min 1x per week","1986","Part Time","West Germany","158","0.088108964082167","0.0751114487565672","0.101106479407767"
"Min 1x per week","1986","Part Time","East Germany","","","",""
"Min 1x per week","1986","Not Working","West Germany","382","0.0868783527702503","0.0780511258438341","0.0957055796966664"
"Min 1x per week","1986","Not Working","East Germany","","","",""
"Min 1x per month","1986","Full Time","West Germany","1259","0.244882429275314","0.232756482080168","0.25700837647046"
"Min 1x per month","1986","Full Time","East Germany","","","",""
"Min 1x per month","1986","Part Time","West Germany","423","0.213590392948285","0.194797480959033","0.232383304937536"
"Min 1x per month","1986","Part Time","East Germany","","","",""
"Min 1x per month","1986","Not Working","West Germany","757","0.166849359416956","0.155164372751235","0.178534346082677"
"Min 1x per month","1986","Not Working","East Germany","","","",""
"Rarely","1986","Full Time","West Germany","2470","0.545132148742484","0.531090338772072","0.559173958712896"
"Rarely","1986","Full Time","East Germany","","","",""
"Rarely","1986","Part Time","West Germany","952","0.554235014497804","0.531443206742943","0.577026822252664"
"Rarely","1986","Part Time","East Germany","","","",""
"Rarely","1986","Not Working","West Germany","1633","0.39342191460261","0.378111857348485","0.408731971856735"
"Rarely","1986","Not Working","East Germany","","","",""
"Never","1986","Full Time","West Germany","729","0.143104830801727","0.133230206825229","0.152979454778225"
"Never","1986","Full Time","East Germany","","","",""
"Never","1986","Part Time","West Germany","294","0.144065628471745","0.127963650072568","0.160167606870922"
