"ple0009","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"No, not limited","2011","West Germany","Male","5348","0.712656200220416","0.702371535234748","0.722940865206084","3"
"No, not limited","2011","West Germany","Female","5693","0.643315083781566","0.633048610486929","0.653581557076204","3"
"No, not limited","2011","East Germany","Male","1562","0.666176839216236","0.647016513101001","0.685337165331471","3"
"No, not limited","2011","East Germany","Female","1626","0.601557900847338","0.582622613124093","0.620493188570583","3"
"Yes, somewhat limited","2011","West Germany","Male","1405","0.189851345087667","0.180938047692692","0.198764642482643","2"
"Yes, somewhat limited","2011","West Germany","Female","1816","0.236693098685555","0.227583286260109","0.245802911111002","2"
"Yes, somewhat limited","2011","East Germany","Male","520","0.231003952165906","0.213879303965169","0.248128600366643","2"
"Yes, somewhat limited","2011","East Germany","Female","643","0.275123516594466","0.257851364901183","0.29239566828775","2"
"Yes, strongly limited","2011","West Germany","Male","684","0.0974924546919163","0.0907508990451586","0.104234010338674","1"
"Yes, strongly limited","2011","West Germany","Female","854","0.119991817532878","0.11302737733357","0.126956257732187","1"
"Yes, strongly limited","2011","East Germany","Male","245","0.102819208617858","0.0904788718660955","0.115159545369621","1"
"Yes, strongly limited","2011","East Germany","Female","299","0.123318582558195","0.110601551146721","0.13603561396967","1"
"No, not limited","2012","West Germany","Female","7571","0.60408303619113","0.595163056135866","0.613003016246395","3"
"No, not limited","2012","West Germany","Male","6612","0.665279959201568","0.655814646541114","0.674745271862022","3"
"No, not limited","2012","East Germany","Male","1730","0.614234166698086","0.596024341289406","0.632443992106766","3"
"No, not limited","2012","East Germany","Female","1982","0.545575946427915","0.528569620868088","0.562582271987741","3"
"Yes, somewhat limited","2012","West Germany","Male","2120","0.240618317018826","0.232044261586796","0.249192372450856","2"
"Yes, somewhat limited","2012","West Germany","Female","2913","0.281202159752096","0.27300192631192","0.289402393192273","2"
"Yes, somewhat limited","2012","East Germany","Male","718","0.27199487923855","0.255348319348737","0.288641439128363","2"
"Yes, somewhat limited","2012","East Germany","Female","944","0.31320452428926","0.297363620659446","0.329045427919074","2"
"Yes, strongly limited","2012","West Germany","Male","816","0.094101723779606","0.0882453283639992","0.0999581191952129","1"
